,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Abarth,500,C 1.4t Jet Secuencial 140,2015,12,55.363 km,Gasolina,140 CV,automática secuencial,2 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-c-14t-jet-secuencial-140-en-madrid.htm?id=8037051,13990
1,Abarth,595,1.4t Jet Pista 121kw,2019,,54.875 km,Gasolina,165 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-595-abarth--14t-jet-pista-121kw-en-barcelona.htm?id=7905984,18499
2,Evo,Cross 4,,2023,09,NUEVO,Diesel,136 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-evo-cross+4--en-alava.htm?id=8059959,30600
3,Evo,Evo 5,5 1.6 Glp,2023,09,NUEVO,Gasolina,122 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-evo-evo+5-evo-5-16-glp-en-alava.htm?id=8059953,22700
4,Evo,Evo 4,4 1.6,2023,09,NUEVO,Gasolina,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-evo-evo+4-evo-4-16-en-alava.htm?id=8055344,20900
5,Abarth,500,595c 1.4t Jet,2018,11,31.394 km,Gasolina,135 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=8036227,17600
6,Abarth,595,1.4t Jet Competizione 132kw,2019,,43.900 km,Gasolina,180 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-595-14t-jet-competizione-132kw-en-zaragoza.htm?id=8021057,24500
7,Abarth,500,595 1.4t Jet Turismo 160,2017,06,57.474 km,Gasolina,160 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-turismo-160-en-madrid.htm?id=8020784,17490
8,Abarth,595,1.4t Jet Competizione 132kw,2016,,56.500 km,Gasolina,180 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-595-abarth--14t-jet-competizione-132kw-en-granada.htm?id=7993200,19490
9,Abarth,500,595 1.4t Jet Turismo 160,2019,04,75.730 km,Gasolina,160 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-turismo-160-en-malaga.htm?id=7434987,19490
10,Abarth,595,1.4t Jet Competizione 132kw,2020,,76.000 km,Gasolina,180 CV,manual,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-595-abarth--14t-jet-competizione-132kw-en-palmas+las.htm?id=8053842,21950
11,Abarth,595,695 1.4t Jet Rivale Aut. 132kw,2023,10,11 km,Gasolina,180 CV,automática secuencial,3 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-abarth-595-abarth-695-14t-jet-rivale-aut-132kw-en-alava.htm?id=8035490,33699
12,Abarth,595,695 1.4t Jet Rivale Aut. 132kw,2023,10,14 km,Gasolina,180 CV,automática secuencial,3 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-abarth-595-abarth-695-14t-jet-rivale-aut-132kw-en-alava.htm?id=8035466,33699
13,Abarth,595,695 1.4t Jet Esseesse Aut. 132kw,2023,10,1 km,Gasolina,180 CV,automática secuencial,3 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-abarth-595-abarth-695-14t-jet-esseesse-aut-132kw-en-alava.htm?id=8035465,33699
14,Abarth,595,695 1.4t Jet Rivale 175 Aniversario Aut. 132kw,2023,10,11 km,Gasolina,180 CV,automática secuencial,3 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-abarth-595-abarth-695-14t-jet-rivale-175-aniversario-aut-132kw-en-alava.htm?id=8035464,33699
15,Abarth,595,695 1.4t Jet Rivale 132kw,2023,06,4.000 km,Gasolina,180 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-abarth-595-abarth-695-14t-jet-rivale-132kw-en-sevilla.htm?id=7908920,30500
16,Abarth,500,595c 1.4t Jet,2018,06,44.128 km,Gasolina,135 CV,manual,2 puertas,AZUL/NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth-595c-14t-jet-en-madrid.htm?id=7879837,23360
17,Abarth,595,1.4t Jet Competizione Aut. 132kw,2018,12,58.000 km,Gasolina,180 CV,automática secuencial,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-595-abarth--14t-jet-competizione-aut-132kw-en-alicante.htm?id=7751608,22900
18,Abarth,500,595 1.4t Jet Competizione Secuencial,2021,09,5.000 km,Gasolina,135 CV,automática secuencial,3 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-competizione-secuencial-en-alava.htm?id=7885135,28500
19,Abarth,500,595 1.4t Jet 140,2016,,75.000 km,Gasolina,140 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth-595-14t-jet-140-en-barcelona.htm?id=8047125,16000
20,Abarth,500,595c 1.4t Jet,2017,11,93.081 km,Gasolina,135 CV,manual,2 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=8127742,16990
21,Abarth,500,1.4t Jet Secuencial,2015,03,105.469 km,Gasolina,140 CV,automática secuencial,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-14t-jet-secuencial-en-madrid.htm?id=8127367,16990
22,Evo,Cross 4,,2023,11,11 km,Diesel,136 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-evo-cross+4--en-malaga.htm?id=8126765,30600
23,Abarth,500,595 1.4t Jet Competizione 180,2017,09,75.775 km,Gasolina,180 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-competizione-180-en-madrid.htm?id=8124865,19650
24,Evo,Evo 4,4 1.6 Glp,2023,11,12 km,Gasolina,106 CV,manual,5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-evo-evo+4-4-16-glp-en-malaga.htm?id=8123775,21900
25,Abarth,500,595c 1.4t Jet,2019,03,51.848 km,Gasolina,135 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=8121815,16490
26,Abarth,500,595 1.4t Jet Competizione Secuencial,2019,01,99.840 km,Gasolina,135 CV,automática secuencial,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-competizione-secuencial-en-madrid.htm?id=8121648,20990
27,Abarth,500,595c 1.4t Jet,2019,04,85.078 km,Gasolina,135 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=8121607,19890
28,Abarth,500,595c 1.4t Jet,2018,11,89.338 km,Gasolina,135 CV,manual,2 puertas,Amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=8121558,17490
29,Evo,Cross 4,,2023,12,1 km,Diesel,136 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-evo-cross+4--en-sevilla.htm?id=8120195,30590
30,Abarth,595,695 1.4t Jet Rivale 175 Aniversario 132kw,2020,08,53.399 km,Gasolina,180 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-595-695-14t-jet-rivale-175-aniversario-132kw-en-granada.htm?id=8119765,20990
31,Abarth,595,695 1.4t Jet 132kw,2023,01,10 km,Gasolina,180 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-abarth-595-695-14t-jet-132kw-en-barcelona.htm?id=8119266,28990
32,Abarth,595,695 1.4t Jet 132kw,2023,01,10 km,Gasolina,180 CV,manual,3 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-abarth-595-695-14t-jet-132kw-en-barcelona.htm?id=8119265,28990
33,Abarth,595,695 1.4t Jet Xsr Yamaha 121kw,2023,01,10 km,Gasolina,165 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-abarth-595-695-14t-jet-xsr-yamaha-121kw-en-barcelona.htm?id=8116980,28990
34,Abarth,595,695 1.4t Jet Rivale 132kw,2023,01,10 km,Gasolina,180 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-abarth-595-695-14t-jet-rivale-132kw-en-barcelona.htm?id=8116970,28990
35,Abarth,500,595 1.4t Jet Competizione 180,2021,06,4.908 km,Gasolina,180 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-competizione-180-en-barcelona.htm?id=8114131,27900
36,Abarth,500,595 1.4t Jet Competizione Secuencial,2018,01,73.002 km,Gasolina,135 CV,automática secuencial,3 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-competizione-secuencial-en-madrid.htm?id=8111887,21490
37,Abarth,500,595c 1.4t Jet,2019,04,51.741 km,Gasolina,135 CV,manual,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=8110285,19990
38,Abarth,124 Spider,1.4,2018,07,87.950 km,Gasolina,170 CV,manual,2 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-124+spider-124-spider-14-en-valencia.htm?id=8106992,24900
39,Abarth,500,595c 1.4t Jet,2018,03,100.000 km,Gasolina,135 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=8105757,15490
40,Abarth,500,595c 1.4t Jet Competizione 180,2017,08,97.000 km,Gasolina,180 CV,manual,2 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-competizione-180-en-madrid.htm?id=8104899,19990
41,Abarth,500,C 1.4t Jet Secuencial 140,2015,12,73.819 km,Gasolina,140 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-c-14t-jet-secuencial-140-en-madrid.htm?id=8102781,15990
42,Abarth,500,595 1.4t Jet Turismo 160,2021,01,44.284 km,Gasolina,160 CV,manual,3 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-turismo-160-en-madrid.htm?id=8102685,20990
43,Abarth,500,595c 1.4t Jet,2018,04,83.915 km,Gasolina,135 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=8102358,16490
44,Abarth,500,595 1.4t Jet Competizione Secuencial,2022,06,24.202 km,Gasolina,135 CV,automática secuencial,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-competizione-secuencial-en-madrid.htm?id=8092742,26890
45,Abarth,500,1.4t Jet Secuencial,2015,05,61.500 km,Gasolina,140 CV,automática secuencial,3 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth--14t-jet-secuencial-en-madrid.htm?id=8091170,14490
46,Abarth,500,595c 1.4t Jet,2016,03,73.000 km,Gasolina,135 CV,manual,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth-595c-14t-jet-en-madrid.htm?id=8086089,14490
47,Abarth,595,695 1.4t Jet Esseesse 132kw,2022,03,12.326 km,Gasolina,180 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-595-abarth-695-14t-jet-esseesse-132kw-en-madrid.htm?id=8082511,31995
48,Abarth,500,595c 1.4t Jet,2021,11,8.007 km,Gasolina,135 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=8080724,23480
49,Abarth,500,E Turismo,2024,01,1 km,Eléctrico,154 CV,"directo, sin caja de cambios",3 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-abarth-500-abarth-e-turismo-en-madrid.htm?id=8080515,34160
50,Abarth,500,595c 1.4t Jet,2018,07,29.900 km,Gasolina,135 CV,manual,2 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth-595c-14t-jet-en-madrid.htm?id=8065921,20990
51,Abarth,500,595 1.4t Jet Turismo Secuencial 160,2016,04,113.033 km,Gasolina,160 CV,automática secuencial,3 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth-595-14t-jet-turismo-secuencial-160-en-madrid.htm?id=8065889,14990
52,Abarth,500,1.4t Jet,2020,11,34.230 km,Gasolina,135 CV,manual,3 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth--14t-jet-en-madrid.htm?id=8064374,20990
53,Abarth,500,595c 1.4t Jet,2020,06,35.295 km,Gasolina,135 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth-595c-14t-jet-en-madrid.htm?id=8063781,20300
54,Abarth,595,695 1.4t Jet 132kw,2023,11,10 km,Gasolina,180 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-abarth-595-abarth-695-14t-jet-132kw-en-badajoz.htm?id=8063598,31800
55,Abarth,500,595c 1.4t Jet,2019,08,65.000 km,Gasolina,135 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth-595c-14t-jet-en-madrid.htm?id=8059087,16390
56,Abarth,500,595c 1.4t Jet,2022,01,22.500 km,Gasolina,135 CV,manual,2 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth-595c-14t-jet-en-madrid.htm?id=8058990,20490
