,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Alfa Romeo,Mito,1.4 Tb Distinctive 155,2009,02,137.000 km,Gasolina,155 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-tb-distinctive-155-en-madrid.htm?id=7885010,7490
1,Alfa Romeo,Mito,1.3jtdm S&s  85,2014,09,34.853 km,Diesel,85 CV,manual,3 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s--85-en-toledo.htm?id=8100842,9199
2,Alfa Romeo,Mito,1.4 Tb Distinctive 155,2010,03,97.400 km,Gasolina,155 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-tb-distinctive-155-en-madrid.htm?id=7965254,8750
3,Alfa Romeo,Mito,1.4 S&s Junior 78,2013,05,105.000 km,Gasolina,78 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-s_s-junior-78-en-madrid.htm?id=7901131,7450
4,Alfa Romeo,Mito,1.4 S&s Racer 78,2017,07,77.500 km,Gasolina,78 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-s_s-racer-78-en-madrid.htm?id=7898409,9650
5,Alfa Romeo,Mito,1.4 Tb Multi-air Limited Edition 170,2010,,149.000 km,Gasolina,170 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-tb-multi-air-limited-edition-170-en-pontevedra.htm?id=7833370,16000
6,Alfa Romeo,Mito,1.3jtdm S&s Distinctive 95,2013,,51.000 km,Diesel,95 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s-distinctive-95-en-zaragoza.htm?id=7739281,10990
7,Alfa Romeo,Mito,1.3jtdm Super 95,2019,01,13.000 km,Diesel,95 CV,manual,3 puertas,GRIS CLARO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-super-95-en-alicante.htm?id=7665597,15700
8,Alfa Romeo,Mito,1.6jtdm Progression 120,2009,02,206.963 km,Diesel,120 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-16jtdm-progression-120-en-almeria.htm?id=7211370,6900
9,Alfa Romeo,Mito,1.3jtdm S&s Distinctive 85,2013,,245.000 km,Diesel,85 CV,manual,3 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s-distinctive-85-en-madrid.htm?id=8128020,5000
10,Alfa Romeo,Mito,1.4 Junior 78,2010,,140.000 km,Gasolina,78 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-junior-78-en-girona.htm?id=8087929,5990
11,Alfa Romeo,Mito,1.3jtdm S&s Distinctive 95,2011,,149.000 km,Diesel,95 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s-distinctive-95-en-avila.htm?id=8125690,5600
12,Alfa Romeo,Mito,1.4 Tb Distinctive 120,2009,,136.000 km,Gasolina,120 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-tb-distinctive-120-en-barcelona.htm?id=7853840,6999
13,Alfa Romeo,Mito,1.3jtdm S&s Junior 85,2015,,86.000 km,Diesel,85 CV,manual,3 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s-junior-85-en-madrid.htm?id=7818175,8000
14,Alfa Romeo,Mito,1.6jtdm Distinctive 120,2009,,244.000 km,Diesel,120 CV,manual,3 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-16jtdm-distinctive-120-en-ciudad+real.htm?id=7747519,4500
15,Alfa Romeo,Mito,1.4  70,2014,,100.000 km,Gasolina,70 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14--70-en-valencia.htm?id=7955502,5000
16,Alfa Romeo,Mito,1.6jtdm Distinctive 120,2009,,113.000 km,Diesel,120 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-16jtdm-distinctive-120-en-madrid.htm?id=7402377,4500
17,Alfa Romeo,Mito,1.3jtdm S&s  85,2014,01,80.000 km,Diesel,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s--85-en-madrid.htm?id=8121528,8990
18,Alfa Romeo,Mito,1.3jtdm S&s Sbk 85,2015,09,45.302 km,Diesel,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s-sbk-85-en-madrid.htm?id=8110384,9990
19,Alfa Romeo,Mito,1.4 Tb Distinctive 155,2009,12,163.731 km,Gasolina,155 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-tb-distinctive-155-en-madrid.htm?id=8060689,7520
20,Alfa Romeo,Mito,1.4 Tb Distinctive 155,2009,12,163.731 km,Gasolina,155 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-tb-distinctive-155-en-madrid.htm?id=8060443,7520
21,Alfa Romeo,Mito,1.4 Super 78,2019,04,62.690 km,Gasolina,78 CV,manual,3 puertas,ROJO ALFA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-super-78-en-barcelona.htm?id=7993722,11890
22,Alfa Romeo,Mito,1.3jtdm Super 95,2018,01,71.637 km,Diesel,95 CV,manual,3 puertas,ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-super-95-en-barcelona.htm?id=7917049,12600
23,Alfa Romeo,Mito,1.3jtdm S&s Racer 85,2015,06,148.606 km,Diesel,85 CV,manual,3 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s-racer-85-en-madrid.htm?id=7911923,7990
24,Alfa Romeo,Mito,1.6jtdm S&s Distinctive 120,2014,09,146.325 km,Diesel,120 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-16jtdm-s_s-distinctive-120-en-madrid.htm?id=7809409,8990
25,Alfa Romeo,Mito,1.3jtdm S&s Distinctive 95,2013,12,131.181 km,Diesel,95 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s-distinctive-95-en-madrid.htm?id=7686374,8950
26,Alfa Romeo,Mito,0.9 Twinair S&s Distinctive 85,2012,08,47.957 km,Gasolina,85 CV,manual,3 puertas,Violeta,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-09-twinair-s_s-distinctive-85-en-madrid.htm?id=7648213,8990
27,Alfa Romeo,Mito,0.9 Twinair Super 105,2017,10,29.783 km,Gasolina,105 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-09-twinair-super-105-en-madrid.htm?id=7638241,12590
28,Alfa Romeo,Mito,0.9 Twinair S&s Distinctive 85,2012,08,47.957 km,Gasolina,85 CV,manual,3 puertas,Violeta,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-09-twinair-s_s-distinctive-85-en-madrid.htm?id=7397533,8990
29,Alfa Romeo,Mito,1.3jtdm S&s Distinctive 95,2013,02,132.796 km,Diesel,95 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s-distinctive-95-en-madrid.htm?id=7188217,8150
30,Alfa Romeo,Mito,0.9 Twinair Super 105,2017,10,29.783 km,Gasolina,105 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-09-twinair-super-105-en-madrid.htm?id=7178055,12590
31,Alfa Romeo,Mito,1.3jtdm S&s Distinctive 95,2013,12,131.181 km,Diesel,95 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s-distinctive-95-en-madrid.htm?id=7133823,8950
32,Alfa Romeo,Mito,1.4 Tb Distinctive 155,2009,02,137.000 km,Gasolina,155 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-14-tb-distinctive-155-en-madrid.htm?id=7885010,7490
33,Alfa Romeo,Mito,1.3jtdm S&s  85,2014,09,34.853 km,Diesel,85 CV,manual,3 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-mito-13jtdm-s_s--85-en-toledo.htm?id=8100842,9199
