,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Audi,A6 Allroad,Allroad 2.7tdi Tiptronic Dpf,2006,,284.000 km,Diesel,180 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-allroad-27tdi-tiptronic-dpf-en-murcia.htm?id=7925536,4900
1,Audi,A6 Allroad,55 Tdi Quattro Tiptronic 253kw,2021,06,23.303 km,Diesel,344 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-55-tdi-quattro-tiptronic-253kw-en-coruna+a.htm?id=7247832,73990
2,Audi,A6 Allroad,50 Tdi Quattro Tiptronic 210kw,2020,,87.100 km,Diesel,285 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-50-tdi-quattro-tiptronic-210kw-en-pontevedra.htm?id=8089691,53900
3,Audi,A6 Allroad,Allroad 3.2 Fsi Tiptronic,2007,01,219.999 km,Gasolina,255 CV,automática secuencial,5 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-allroad-32-fsi-tiptronic-en-barcelona.htm?id=8037514,7999
4,Audi,A6 Allroad,Quattro 3.0tdi S-tronic 200kw,2015,07,110.000 km,Diesel,272 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-quattro-30tdi-s-tronic-200kw-en-madrid.htm?id=7700200,29390
5,Audi,A6 Allroad,Quattro 3.0bitdi Tiptronic,2015,07,175.000 km,Diesel,313 CV,automática secuencial,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-quattro-30bitdi-tiptronic-en-murcia.htm?id=7878512,31900
6,Audi,A6 Allroad,Quattro 3.0tdi S-tronic 204,2013,10,219.000 km,Diesel,204 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-quattro-30tdi-s-tronic-204-en-barcelona.htm?id=7568309,17990
7,Audi,A6 Allroad,Q. 3.0tdi Advanced Ed. S-t 272,2016,,170.900 km,Diesel,272 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-q-30tdi-advanced-ed-s-t-272-en-sevilla.htm?id=8004170,23900
8,Audi,A6 Allroad,Allroad 4.2 Fsi Tiptronic,2006,,183.000 km,Gasolina,350 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-allroad-42-fsi-tiptronic-en-barcelona.htm?id=6878492,12995
9,Audi,A6 Allroad,45 Tdi Quattro Tiptronic 180kw,2001,06,385.000 km,Diesel,245 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a6+allroad-45-tdi-quattro-tiptronic-180kw-en-almeria.htm?id=7771905,2900
