,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Bmw,X5,Sdrive 25da,2018,,68.804 km,Diesel,231 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-sdrive-25da-en-malaga.htm?id=8035282,31900
1,Bmw,X5,M Competition,2021,,20.570 km,Gasolina,625 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-m-competition-en-malaga.htm?id=8023409,114900
2,Bmw,X5,M,2020,10,84.833 km,Gasolina,600 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-m-en-murcia.htm?id=7855132,89900
3,Bmw,X5,4.4i Aut.,2003,,260.000 km,Gasolina,320 CV,automática secuencial,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-44i-aut-en-toledo.htm?id=8123684,3900
4,Bmw,X5,M50da,2013,,193.000 km,Diesel,381 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-m50da-en-lleida.htm?id=8003843,22900
5,Bmw,X5,Xdrive 45e,2021,11,68.175 km,Híbrido,398 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-xdrive-45e-en-sevilla.htm?id=8123300,69890
6,Bmw,X5,Xdrive 45e,2021,11,68.175 km,Híbrido,398 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-xdrive-45e-en-madrid.htm?id=8123248,69890
7,Bmw,X5,Xdrive 45e,2021,11,68.175 km,Híbrido,398 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-xdrive-45e-en-malaga.htm?id=8121202,69890
8,Bmw,X5,Xdrive 40ia Xline M Sport Pro,2023,,4.100 km,Gasolina,381 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-bmw-x5-xdrive-40ia-xline-m-sport-pro-en-barcelona.htm?id=8077101,112900
9,Bmw,X5,3.0d Aut.,2001,,251.000 km,Diesel,184 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-30d-aut-en-madrid.htm?id=8065974,4755
10,Bmw,X5,M Competition,2023,,4.100 km,Gasolina,625 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-bmw-x5-m-competition-en-barcelona.htm?id=8036959,186900
11,Bmw,X5,Xdrive 30da,2020,01,118.702 km,Diesel,265 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-xdrive-30da-en-madrid.htm?id=8002675,46890
12,Bmw,X5,Xdrive 30da,2020,01,118.702 km,Diesel,265 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-xdrive-30da-en-sevilla.htm?id=8001889,46890
13,Bmw,X5,Xdrive 30da,2020,01,118.702 km,Diesel,265 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-xdrive-30da-en-malaga.htm?id=8001308,46890
