,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Bmw,Xm,,2023,,4.100 km,Híbrido,489 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-bmw-xm--en-barcelona.htm?id=8023883,185900
1,Bmw,Xm,,2023,07,5.308 km,Híbrido,489 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-xm--en-cadiz.htm?id=7967248,179000
2,Bmw,Xm,,2023,07,5.308 km,Híbrido,489 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-xm--en-cadiz.htm?id=7967242,179000
3,Bmw,Xm,,2023,07,5.308 km,Híbrido,489 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-xm--en-sevilla.htm?id=7967229,179000
4,Bmw,Xm,,2023,07,NUEVO,Híbrido,489 CV,automática secuencial,5 puertas,Gris-negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-xm--en-cadiz.htm?id=7892588,194573
5,Bmw,Xm,,2023,07,NUEVO,Híbrido,489 CV,automática secuencial,5 puertas,Gris-negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-xm--en-cadiz.htm?id=7892582,194573
6,Bmw,Xm,,2022,12,0 km,Híbrido,489 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-bmw-xm--en-cadiz.htm?id=7714213,177900
7,Bmw,Xm,,2022,12,0 km,Híbrido,489 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-bmw-xm--en-cadiz.htm?id=7714164,177900
8,Bmw,Xm,,2022,12,0 km,Híbrido,489 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-bmw-xm--en-sevilla.htm?id=7511648,177900
9,Bmw,Xm,,2023,09,500 km,Híbrido,489 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-bmw-xm--en-alicante.htm?id=7993659,175500
