,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Chevrolet,Aveo,Sedán 1.2 16v Ls,2010,,13.000 km,Gasolina,84 CV,manual,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-sedan-12-16v-ls-en-barcelona.htm?id=7271700,5950
1,Chevrolet,Aveo,1.2 16v Ls,2012,,50.000 km,Gasolina,86 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-12-16v-ls-en-barcelona.htm?id=7271702,6450
2,Chevrolet,Aveo,1.4 16v Ls,2011,,117.000 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-14-16v-ls-en-madrid.htm?id=8125737,4495
3,Chevrolet,Aveo,1.2 16v Ls,2010,06,71.800 km,Gasolina,84 CV,manual,5 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-12-16v-ls-en-barcelona.htm?id=7273086,6000
4,Chevrolet,Aveo,1.4 16v Lt+,2012,,130.486 km,Gasolina,100 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-14-16v-lt+-en-sevilla.htm?id=8062818,6000
5,Chevrolet,Aveo,1.4 16v Ls,2008,,88.000 km,Gasolina,100 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-14-16v-ls-en-cordoba.htm?id=8126985,4000
6,Chevrolet,Aveo,1.3d Lt+ 95,2012,,210.000 km,Diesel,95 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-13d-lt+-95-en-barcelona.htm?id=8062504,4000
7,Chevrolet,Aveo,Sedán 1.4 16v Lt,2007,,81.500 km,Gasolina,94 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-sedan-14-16v-lt-en-badajoz.htm?id=7926740,3600
8,Chevrolet,Aveo,1.4 16v Lt+,2012,,135.000 km,Gasolina,100 CV,automática,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-14-16v-lt+-en-tenerife.htm?id=7856065,5500
9,Chevrolet,Aveo,1.2 16v Lt,2012,,98.618 km,Gasolina,86 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-12-16v-lt-en-sevilla.htm?id=7810306,5990
10,Chevrolet,Aveo,1.4 16v Lt,2009,,149.000 km,Gasolina,100 CV,manual,5 puertas,azul avatar,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-14-16v-lt-en-madrid.htm?id=8012345,3100
11,Chevrolet,Aveo,1.2 16v Ls,2009,,26.500 km,Gasolina,84 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-12-16v-ls-en-madrid.htm?id=7975335,7000
12,Chevrolet,Aveo,1.2 16v Ls,2011,,135.507 km,Gasolina,86 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-12-16v-ls-en-sevilla.htm?id=7851102,5500
13,Chevrolet,Aveo,1.4 16v Ls,2010,,147.000 km,Gasolina,100 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-14-16v-ls-en-cadiz.htm?id=7910606,3600
14,Chevrolet,Aveo,1.4 16v Ls,2010,,136.600 km,Gasolina,100 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-14-16v-ls-en-tarragona.htm?id=7621985,4000
15,Chevrolet,Aveo,1.2 16v Ls,2010,,194.000 km,Gasolina,84 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-12-16v-ls-en-lleida.htm?id=7171695,3000
16,Chevrolet,Aveo,1.2 16v Ls,2008,,67.000 km,Gasolina,84 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-12-16v-ls-en-soria.htm?id=7913105,5000
17,Chevrolet,Aveo,1.2 16v Ls,2013,05,107.000 km,Gasolina,86 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-12-16v-ls-en-asturias.htm?id=8124602,7900
18,Chevrolet,Aveo,1.4 16v Lt+ Aut.,2012,04,102.081 km,Gasolina,100 CV,automática,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-14-16v-lt+-aut-en-madrid.htm?id=8118345,6750
19,Chevrolet,Aveo,1.2 16v Lt,2012,04,57.000 km,Gasolina,86 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-aveo-12-16v-lt-en-barcelona.htm?id=8085816,6999
