,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Citroen,Ds3,1.2 Vti Puretech Design 82,2013,06,29.437 km,Gasolina,82 CV,manual,3 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-12-vti-puretech-design-82-en-toledo.htm?id=8106247,9299
1,Citroen,Ds3,1.6e-hdi Edition Ii,2012,08,99.000 km,Diesel,92 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16e-hdi-edition-ii-en-toledo.htm?id=8105276,8199
2,Citroen,Ds3,1.6 Thp Racing,2012,06,99.800 km,Gasolina,202 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16-thp-racing-en-coruna+a.htm?id=8060854,18990
3,Citroen,Ds3,1.6 Vti Edition I 120,2012,,173.000 km,Gasolina,120 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16-vti-edition-i-120-en-alicante.htm?id=8104339,7399
4,Citroen,Ds3,1.6e-hdi Style Cmp,2013,03,98.523 km,Diesel,92 CV,manual automatizada,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16e-hdi-style-cmp-en-toledo.htm?id=8097118,9099
5,Citroen,Ds3,1.6 Thp Sport 155,2012,,127.600 km,Gasolina,156 CV,manual,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16-thp-sport-155-en-barcelona.htm?id=8007682,8300
6,Citroen,Ds3,1.6 Thp 150,2010,,169.000 km,Gasolina,156 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16-thp-150-en-vizcaya.htm?id=7897426,8000
7,Citroen,Ds3,1.4 Vti,2010,11,150.000 km,Gasolina,95 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-14-vti-en-madrid.htm?id=6535689,5999
8,Citroen,Ds3,1.6e-bluehdi Style 120,2014,,140.000 km,Diesel,120 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16e-bluehdi-style-120-en-barcelona.htm?id=7836553,11500
9,Citroen,Ds3,1.4hdi Design 70,2013,,130.000 km,Diesel,68 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-14hdi-design-70-en-barcelona.htm?id=7802491,7000
10,Citroen,Ds3,1.2 E-vti Urban Shot Etg,2014,,86.000 km,Gasolina,82 CV,manual automatizada,3 puertas,azul muy oscuro y techo blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-12-e-vti-urban-shot-etg-en-madrid.htm?id=7760042,7500
11,Citroen,Ds3,1.6 Thp 150,2010,,78.900 km,Gasolina,156 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16-thp-150-en-barcelona.htm?id=7718403,8200
12,Citroen,Ds3,1.6hdi Airdream,2011,,160.000 km,Diesel,92 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16hdi-airdream-en-madrid.htm?id=7813974,6500
13,Citroen,Ds3,1.6 Thp 150,2010,,98.000 km,Gasolina,156 CV,manual,3 puertas,amarillo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16-thp-150-en-malaga.htm?id=7703535,9500
14,Citroen,Ds3,1.6e-hdi Edition I,2011,,295.000 km,Diesel,92 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16e-hdi-edition-i-en-madrid.htm?id=7906157,3800
15,Citroen,Ds3,1.6 Vti 120,2012,04,64.218 km,Gasolina,120 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16-vti-120-en-toledo.htm?id=8128899,8799
16,Citroen,Ds3,1.6e-bluehdi Sport 120,2016,06,57.582 km,Diesel,120 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16e-bluehdi-sport-120-en-albacete.htm?id=8072469,15989
17,Citroen,Ds3,1.6e-hdi Style 90,2012,09,115.423 km,Diesel,92 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-16e-hdi-style-90-en-girona.htm?id=8048362,6990
18,Citroen,Ds3,1.4hdi Design 70,2014,04,78.154 km,Diesel,68 CV,manual,3 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds3-14hdi-design-70-en-madrid.htm?id=7352112,8890
