,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Dacia,Dokker,1.5blue Dci Essential 70kw,2020,12,44.496 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15blue-dci-essential-70kw-en-barcelona.htm?id=8025887,16000
1,Dacia,Dokker,Van 1.5dci Ambiance 55kw,2018,,181.000 km,Diesel,75 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-15dci-ambiance-55kw-en-madrid.htm?id=8112694,6200
2,Dacia,Dokker,Van 1.5blue Dci Essential 70kw,2019,,102.971 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-15blue-dci-essential-70kw-en-zaragoza.htm?id=8098182,9990
3,Dacia,Dokker,Van 1.5dci Ambiance 66kw,2017,,130.000 km,Diesel,90 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-15dci-ambiance-66kw-en-malaga.htm?id=8035270,8500
4,Dacia,Dokker,1.5dci Ambiance N1 66kw,2015,,202.905 km,Diesel,90 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15dci-ambiance-n1-66kw-en-murcia.htm?id=8120781,6500
5,Dacia,Dokker,1.5dci Ambiance N1 66kw,2014,,149.000 km,Diesel,90 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15dci-ambiance-n1-66kw-en-madrid.htm?id=8104727,7355
6,Dacia,Dokker,Van 1.6 Glp Essential 75kw,2019,,99.000 km,Gasolina,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-16-glp-essential-75kw-en-madrid.htm?id=8120897,12950
7,Dacia,Dokker,Van 1.6 Glp Essential 75kw,2018,,78.000 km,Gasolina,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-16-glp-essential-75kw-en-madrid.htm?id=8120895,12950
8,Dacia,Dokker,Van 1.6 Glp Essential 75kw,2019,,89.000 km,Gasolina,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-16-glp-essential-75kw-en-madrid.htm?id=8120893,14950
9,Dacia,Dokker,1.5dci Ambiance Ss 66kw,2015,07,74.569 km,Diesel,90 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15dci-ambiance-ss-66kw-en-toledo.htm?id=8115943,12199
10,Dacia,Dokker,1.5blue Dci Essential 70kw,2020,05,55.953 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15blue-dci-essential-70kw-en-toledo.htm?id=8113609,15399
11,Dacia,Dokker,1.5blue Dci Sl Nómada 70kw,2019,01,77.053 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15blue-dci-sl-nomada-70kw-en-toledo.htm?id=8110523,14899
12,Dacia,Dokker,1.6 Ambiance Ss 75kw,2016,,129.000 km,Gasolina,100 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-16-ambiance-ss-75kw-en-salamanca.htm?id=8106455,9999
13,Dacia,Dokker,1.6 Ambiance Ss 75kw,2017,06,25.943 km,Gasolina,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-16-ambiance-ss-75kw-en-toledo.htm?id=8095045,12899
14,Dacia,Dokker,Van 1.5dci Ambiance 66kw,2014,,160.000 km,Diesel,90 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-15dci-ambiance-66kw-en-huesca.htm?id=8083587,7990
15,Dacia,Dokker,1.5blue Dci Sl Nómada 70kw,2019,06,64.538 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15blue-dci-sl-nomada-70kw-en-toledo.htm?id=8069000,15599
16,Dacia,Dokker,Van 1.6 Glp Essential 75kw,2019,06,138.718 km,Gasolina,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-16-glp-essential-75kw-en-madrid.htm?id=8065270,8500
17,Dacia,Dokker,Tce Gpf Essential 96kw,2020,11,26.340 km,Gasolina,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-tce-gpf-essential-96kw-en-barcelona.htm?id=8035195,13990
18,Dacia,Dokker,Van 1.6 Glp Essential 75kw,2019,03,80.661 km,Gasolina,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-16-glp-essential-75kw-en-madrid.htm?id=7981491,12800
19,Dacia,Dokker,Van 1.5dci Ambiance 55kw,2018,,187.300 km,Diesel,75 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-15dci-ambiance-55kw-en-alicante.htm?id=7819594,8990
20,Dacia,Dokker,1.5blue Dci Essential 70kw,2019,,210.833 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15blue-dci-essential-70kw-en-malaga.htm?id=8125303,12500
21,Dacia,Dokker,Van 1.6 Glp Ambiance 73kw,2018,,54.000 km,Gasolina,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-16-glp-ambiance-73kw-en-madrid.htm?id=8113645,9500
22,Dacia,Dokker,Van 1.6 Glp Ambiance 62kw,2016,,210.000 km,Gasolina,85 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-16-glp-ambiance-62kw-en-madrid.htm?id=8113643,6200
23,Dacia,Dokker,1.6 Essential 75kw,2019,,73.624 km,Gasolina,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-16-essential-75kw-en-zaragoza.htm?id=8110882,10990
24,Dacia,Dokker,Van 1.5dci Essential 55kw,2018,,209.000 km,Diesel,75 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-15dci-essential-55kw-en-barcelona.htm?id=8086529,8490
25,Dacia,Dokker,1.5blue Dci Essential 70kw,2020,,89.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15blue-dci-essential-70kw-en-madrid.htm?id=8057740,14900
26,Dacia,Dokker,1.6 Ambiance 62kw,2015,05,110.000 km,Gasolina,85 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-16-ambiance-62kw-en-murcia.htm?id=8053293,7900
27,Dacia,Dokker,1.5dci Sl Eficacia 55kw,2017,01,114.730 km,Diesel,75 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15dci-sl-eficacia-55kw-en-rioja+la.htm?id=8051560,12705
28,Dacia,Dokker,1.5dci Ambiance N1 55kw,2018,01,77.670 km,Diesel,75 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15dci-ambiance-n1-55kw-en-vizcaya.htm?id=8043533,10800
29,Dacia,Dokker,1.5dci Ambiance N1 55kw,2017,,200.000 km,Diesel,75 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15dci-ambiance-n1-55kw-en-salamanca.htm?id=8040714,7990
30,Dacia,Dokker,Van 1.6 Glp Essential 75kw,2019,03,47.897 km,Gasolina,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-16-glp-essential-75kw-en-valencia.htm?id=8040359,13500
31,Dacia,Dokker,Van 1.6 Glp Essential 75kw,2019,10,60.983 km,Gasolina,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-van-16-glp-essential-75kw-en-valencia.htm?id=8040357,13500
32,Dacia,Dokker,1.6 Sl Nómada 75kw,2019,03,104.849 km,Gasolina,102 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-16-sl-nomada-75kw-en-valladolid.htm?id=8035077,11900
33,Dacia,Dokker,1.5dci Ambiance N1 66kw,2017,04,140.000 km,Diesel,90 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15dci-ambiance-n1-66kw-en-valencia.htm?id=8035026,10900
34,Dacia,Dokker,1.5dci Ambiance N1 55kw,2018,11,91.698 km,Diesel,75 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15dci-ambiance-n1-55kw-en-vizcaya.htm?id=8006605,10700
35,Dacia,Dokker,1.5blue Dci Essential 70kw,2018,12,68.000 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-dokker-15blue-dci-essential-70kw-en-madrid.htm?id=8003333,15390
