,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Dacia,Logan,Mcv 1.5blue Dci Stepway Comfort 70kw,2019,01,83.125 km,Diesel,95 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-mcv-15blue-dci-stepway-comfort-70kw-en-toledo.htm?id=8126651,10599
1,Dacia,Logan,Break 1.5dci Laureate 5pl.,2007,09,183.099 km,Diesel,70 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-break-15dci-laureate-5pl-en-madrid.htm?id=8073102,7250
2,Dacia,Logan,1.0 Ambiance 54kw,2018,,82.000 km,Gasolina,73 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-10-ambiance-54kw-en-salamanca.htm?id=8108523,7999
3,Dacia,Logan,Break 1.5dci Ambiance 5pl.,2008,,175.000 km,Diesel,70 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-break-15dci-ambiance-5pl-en-murcia.htm?id=8086751,3201
4,Dacia,Logan,Break 1.5dci Laureate 5pl. 90,2011,,173.000 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-break-15dci-laureate-5pl-90-en-barcelona.htm?id=8051992,6200
5,Dacia,Logan,1.4 Base,2007,,220.000 km,Gasolina,75 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-14-base-en-tarragona.htm?id=8107123,2990
6,Dacia,Logan,1.0 Ambiance 54kw,2017,04,30.800 km,Gasolina,73 CV,manual,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-10-ambiance-54kw-en-barcelona.htm?id=7861934,7900
7,Dacia,Logan,Mcv 1.0 Essential 75,2019,07,30.000 km,Gasolina,75 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-mcv-10-essential-75-en-madrid.htm?id=8046582,10690
8,Dacia,Logan,1.5dci Ambiance 75,2014,,163.000 km,Diesel,75 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-15dci-ambiance-75-en-madrid.htm?id=8032013,6900
9,Dacia,Logan,Mcv 0.9 Tce Glp Comfort,2019,01,117.300 km,Gasolina,90 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-mcv-09-tce-glp-comfort-en-vizcaya.htm?id=8002072,10990
10,Dacia,Logan,1.5dci Ambiance 75,2015,,144.000 km,Diesel,75 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-15dci-ambiance-75-en-granada.htm?id=7964927,7499
11,Dacia,Logan,Mcv 0.9 Tce Laureate,2018,12,60.000 km,Gasolina,90 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-mcv-09-tce-laureate-en-madrid.htm?id=7901286,11250
12,Dacia,Logan,Mcv 1.0 Essential 75,2018,02,42.500 km,Gasolina,75 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-mcv-10-essential-75-en-madrid.htm?id=7785448,9882
13,Dacia,Logan,1.0 Ambiance 54kw,2018,,85.000 km,Gasolina,73 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-10-ambiance-54kw-en-salamanca.htm?id=7698760,8999
14,Dacia,Logan,Mcv 0.9 Tce Comfort,2020,02,35.750 km,Gasolina,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-logan-mcv-09-tce-comfort-en-madrid.htm?id=7264680,11950
