,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Dfsk,F5,1.5t Classic 4x2 Aut,2023,08,74 km,Gasolina,137 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-alava.htm?id=7998026,27100
1,Dfsk,F5,1.5t Classic 4x2 Aut,2022,08,45 km,Gasolina,137 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-alava.htm?id=7996425,27100
2,Dfsk,F5,1.5t Classic 4x2 Aut,2023,,1 km,Gasolina,137 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-sevilla.htm?id=7822858,32400
3,Dfsk,F5,1.5t Classic 4x2 Aut,2023,09,NUEVO,Gasolina,137 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-burgos.htm?id=7988791,35990
4,Dfsk,F5,1.5t Classic 4x2 Aut,2023,02,NUEVO,Gasolina,137 CV,automática secuencial,5 puertas,Granate,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-burgos.htm?id=7627209,22500
5,Dfsk,F5,1.5t Classic 4x2 Aut,2023,,100 km,Gasolina,137 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-alava.htm?id=7622809,21995
6,Dfsk,F5,1.5t Classic 4x2 Aut,2022,12,7 km,Gasolina,137 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-almeria.htm?id=7471030,33900
7,Dfsk,F5,1.5t Classic 4x2 Aut,2021,,30.000 km,Gasolina,137 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-f5-15t-classic-4x2-aut-en-guadalajara.htm?id=8034944,21900
8,Dfsk,F5,1.5t Classic 4x2 Aut,2020,12,2.900 km,Gasolina,137 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-f5-15t-classic-4x2-aut-en-burgos.htm?id=7872798,27900
9,Dfsk,F5,1.5t Classic 4x2 Aut,2022,,9.990 km,Gasolina,137 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-f5-15t-classic-4x2-aut-en-alicante.htm?id=7982046,22900
10,Dfsk,F5,1.5t Classic 4x2 Aut,2023,,1 km,Gasolina,137 CV,automática secuencial,5 puertas,Burdeos,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-f5-15t-classic-4x2-aut-en-sevilla.htm?id=7781217,33827
11,Dfsk,F5,1.5t Classic 4x2 Aut,2023,06,250 km,Gasolina,137 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-toledo.htm?id=7835806,29490
12,Dfsk,F5,1.5t Classic 4x2 Aut,2023,01,20.700 km,Gasolina,137 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-f5-15t-classic-4x2-aut-en-malaga.htm?id=8094474,26500
13,Dfsk,F5,1.5t Classic 4x2 Aut,2023,01,10 km,Gasolina,137 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-barcelona.htm?id=8088504,29400
14,Dfsk,F5,1.5t Classic 4x2 Aut,2023,11,10 km,Gasolina,137 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-granada.htm?id=8082670,33800
15,Dfsk,F5,1.5t Classic 4x2 Aut,2023,09,NUEVO,Gasolina,137 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-dfsk-f5-15t-classic-4x2-aut-en-burgos.htm?id=7627211,22500
16,Dfsk,F5,1.5t Classic 4x2 Aut,2021,12,190 km,Gasolina,137 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dfsk-f5-15t-classic-4x2-aut-en-burgos.htm?id=7060284,27900
