,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Fiat,Panda,1.2 Lounge,2020,02,65.496 km,Gasolina,69 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-malaga.htm?id=8105044,10100
1,Fiat,Panda,1.2 Lounge,2020,01,60.697 km,Gasolina,69 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-malaga.htm?id=8105043,9950
2,Fiat,Panda,1.2 Lounge,2020,02,66.970 km,Gasolina,69 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-illes+balears.htm?id=8103652,9650
3,Fiat,Panda,1.2 Lounge,2020,01,72.340 km,Gasolina,69 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-illes+balears.htm?id=8103651,8900
4,Fiat,Panda,1.2 Lounge,2019,02,81.021 km,Gasolina,69 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-illes+balears.htm?id=8103638,8700
5,Fiat,Panda,1.2 Lounge,2020,02,69.633 km,Gasolina,69 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-illes+balears.htm?id=8103449,9650
6,Fiat,Panda,1.2 Lounge,2020,01,69.585 km,Gasolina,69 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-illes+balears.htm?id=8103448,9200
7,Fiat,Panda,1.2 Lounge,2019,02,73.368 km,Gasolina,69 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-illes+balears.htm?id=8103441,9300
8,Fiat,Panda,1.2 Lounge,2020,02,52.937 km,Gasolina,69 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-illes+balears.htm?id=8103321,10650
9,Fiat,Panda,1.2 Lounge,2020,01,66.926 km,Gasolina,69 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-illes+balears.htm?id=8103320,9350
10,Fiat,Panda,1.2 Lounge,2019,02,74.276 km,Gasolina,69 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-illes+balears.htm?id=8103253,9250
11,Fiat,Panda,1.2 Lounge,2020,02,54.523 km,Gasolina,69 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-valencia.htm?id=8103045,10150
12,Fiat,Panda,1.2 Lounge,2020,01,67.919 km,Gasolina,69 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-valencia.htm?id=8103044,8900
13,Fiat,Panda,1.2 Lounge,2019,02,68.855 km,Gasolina,69 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-valencia.htm?id=8103030,9200
14,Fiat,Panda,1.2 Lounge,2020,02,59.017 km,Gasolina,69 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-alicante.htm?id=8102979,9850
15,Fiat,Panda,1.2 Lounge,2020,01,63.110 km,Gasolina,69 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-alicante.htm?id=8102978,9200
16,Fiat,Panda,1.2 Lounge,2019,02,67.993 km,Gasolina,69 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-alicante.htm?id=8102970,9250
17,Fiat,Panda,1.2 Lounge,2020,02,57.311 km,Gasolina,69 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-asturias.htm?id=8101931,9950
18,Fiat,Panda,1.2 Lounge,2020,01,63.532 km,Gasolina,69 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-asturias.htm?id=8101930,9150
19,Fiat,Panda,1.2 Lounge,2019,02,69.460 km,Gasolina,69 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-asturias.htm?id=8101923,9150
20,Fiat,500X,1.0 Firefly S&s Connect,2022,05,28.631 km,Gasolina,120 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-500x-10-firefly-s_s-connect-en-malaga.htm?id=8078051,18450
21,Fiat,500X,1.0 Firefly S&s Connect,2022,05,26.847 km,Gasolina,120 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-500x-10-firefly-s_s-connect-en-malaga.htm?id=7971403,18450
22,Fiat,500X,1.6mjt S&s Club 97kw,2023,03,10 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-fiat-500x-16mjt-s_s-club-97kw-en-huesca.htm?id=7829848,25500
