,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Fiat,Ducato,Fg. 35 2.3mjt Lpegr Largo T.a. 95kw,2020,01,79.867 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-fg-35-23mjt-lpegr-largo-ta-95kw-en-ourense.htm?id=7845236,20850
1,Fiat,Ducato,Fg. 33 2.3mjt Medio 95kw,2015,,198.000 km,Diesel,130 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-fg-33-23mjt-medio-95kw-en-palmas+las.htm?id=7903110,18995
2,Fiat,Ducato,Fg. 33 2.3mjt Lpegr Medio 95kw,2018,,124.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-fg-33-23mjt-lpegr-medio-95kw-en-palmas+las.htm?id=7903103,21995
3,Fiat,Ducato,Fg. 33 2.0mjt Medio T.alto 85kw,2015,,102.000 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-fg-33-20mjt-medio-talto-85kw-en-navarra.htm?id=8073488,14600
4,Fiat,Ducato,Ch.cb.35 2.3mjt Largo 110kw,2016,,204.000 km,Diesel,150 CV,manual,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-chcb35-23mjt-largo-110kw-en-murcia.htm?id=8062489,7900
5,Fiat,Ducato,Ch.cb.33 2.3mjt Lpegr Corto 95kw,2017,,128.000 km,Diesel,130 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-chcb33-23mjt-lpegr-corto-95kw-en-lleida.htm?id=8051901,11500
6,Fiat,Ducato,Fg. 33 2.0mjt Lpegr Medio T.alto 85kw,2017,,61.000 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-fg-33-20mjt-lpegr-medio-talto-85kw-en-barcelona.htm?id=7733397,15990
7,Fiat,Ducato,Fg. 33 2.0mjt Lpegr Medio T.alto 85kw,2017,,103.000 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-fg-33-20mjt-lpegr-medio-talto-85kw-en-barcelona.htm?id=7733388,14990
8,Fiat,Ducato,Furgón 30 2.3mjt Medio 130 E5,2013,,85.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-furgon-30-23mjt-medio-130-e5-en-madrid.htm?id=8097954,9834
9,Fiat,Ducato,Fg. 30 2.0mjt Lpegr Corto 85kw,2018,,68.000 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-fg-30-20mjt-lpegr-corto-85kw-en-navarra.htm?id=8080874,17300
10,Fiat,Ducato,Fg. 30 2.0mjt Lpegr Corto 85kw,2017,,74.000 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-fg-30-20mjt-lpegr-corto-85kw-en-navarra.htm?id=8080871,16600
11,Fiat,Ducato,Fg. 33 2.3mjt L2 H2 120cv,2020,,66.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-ducato-fg-33-23mjt-l2-h2-120cv-en-navarra.htm?id=8073561,20900
