,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Fiat,Fiorino,Combi 1.3mjt Base 5pl. 75,2014,10,85.763 km,Diesel,75 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-base-5pl-75-en-palmas+las.htm?id=7149909,8495
1,Fiat,Fiorino,Combi 1.3mjt Sx,2018,06,103.137 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-pontevedra.htm?id=8097723,6500
2,Fiat,Fiorino,Combi 1.3mjt Sx,2017,12,110.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-lugo.htm?id=8088511,7900
3,Fiat,Fiorino,Combi 1.3mjt Sx,2017,09,124.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-lugo.htm?id=8084479,7900
4,Fiat,Fiorino,Combi 1.3mjt Sx,2017,12,132.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-lugo.htm?id=8084478,7900
5,Fiat,Fiorino,Combi 1.3mjt Sx,2017,12,123.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-lugo.htm?id=8084477,7900
6,Fiat,Fiorino,Combi 1.3mjt Sx,2018,02,115.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-lugo.htm?id=8083761,7900
7,Fiat,Fiorino,Combi 1.3mjt Sx,2017,12,113.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-lugo.htm?id=8073728,7900
8,Fiat,Fiorino,Combi 1.3mjt Adventure,2018,,85.000 km,Diesel,80 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-adventure-en-palmas+las.htm?id=7991582,7990
9,Fiat,Fiorino,Combi 1.3mjt Sx,2017,12,150.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-lugo.htm?id=8080648,7900
10,Fiat,Fiorino,Combi 1.3mjt Base 5pl.,2018,04,95.112 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-base-5pl-en-murcia.htm?id=8073570,9995
11,Fiat,Fiorino,Combi 1.3mjt Sx 80,2018,09,135.887 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-80-en-sevilla.htm?id=7999555,7950
12,Fiat,Fiorino,Combi 1.3mjt Sx,2017,09,184.356 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-lugo.htm?id=8088512,7900
13,Fiat,Fiorino,Combi 1.3mjt Sx,2018,02,149.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-lugo.htm?id=8088510,7900
14,Fiat,Fiorino,Combi 1.3mjt Sx 80,2017,06,133.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-80-en-lugo.htm?id=8075874,7900
15,Fiat,Fiorino,Combi 1.3mjt Sx 80,2017,12,149.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-80-en-lugo.htm?id=8075873,7900
16,Fiat,Fiorino,Combi 1.3mjt Sx,2017,09,168.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-lugo.htm?id=8073730,7900
17,Fiat,Fiorino,Combi 1.3mjt Base 5pl.,2017,,119.000 km,Diesel,80 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-base-5pl-en-girona.htm?id=8068341,8800
18,Fiat,Fiorino,Combi 1.3mjt Base 5pl. 75,2014,,187.000 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-base-5pl-75-en-girona.htm?id=8068339,6170
19,Fiat,Fiorino,Combi 1.3mjt Base 5pl.,2018,05,103.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-base-5pl-en-vizcaya.htm?id=8028167,7000
20,Fiat,Fiorino,Combi 1.3mjt Base 5pl.,2018,03,122.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-base-5pl-en-vizcaya.htm?id=7958893,7020
21,Fiat,Fiorino,Combi 1.3mjt Base 5pl. 80,2017,09,126.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-base-5pl-80-en-jaen.htm?id=7947338,7399
22,Fiat,Fiorino,Combi 1.3mjt Base 5pl. 80,2017,01,133.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-base-5pl-80-en-vizcaya.htm?id=7902443,6600
23,Fiat,Fiorino,Combi 1.3mjt Sx,2018,09,114.200 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-madrid.htm?id=7898398,8750
24,Fiat,Fiorino,Combi 1.3mjt Sx 80,2017,10,155.900 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-80-en-valencia.htm?id=7865605,10970
25,Fiat,Fiorino,Combi 1.3mjt Sx,2017,07,160.000 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-barcelona.htm?id=7849192,5980
26,Fiat,Fiorino,Combi 1.3mjt Sx,2017,06,173.277 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-valencia.htm?id=7835515,11470
27,Fiat,Fiorino,Combi 1.3mjt Sx,2017,09,172.600 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-valencia.htm?id=7833414,11470
28,Fiat,Fiorino,Combi 1.3mjt Base 5pl. 75,2016,02,101.000 km,Diesel,75 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-base-5pl-75-en-vizcaya.htm?id=7822254,7050
29,Fiat,Fiorino,Combi 1.3mjt Sx,2017,08,167.200 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-valencia.htm?id=7821611,11470
30,Fiat,Fiorino,Combi 1.3mjt Sx,2017,07,174.100 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-valencia.htm?id=7814352,11470
31,Fiat,Fiorino,Combi 1.3mjt Sx,2017,07,121.920 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-valencia.htm?id=7812058,11970
32,Fiat,Fiorino,Combi 1.3mjt Sx,2018,09,153.630 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-fiorino-combi-13mjt-sx-en-valencia.htm?id=7810609,12470
