,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Fiat,Tipo,1.3 Multijet Cross 70kw,2020,02,38.151 km,Diesel,95 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-13-multijet-cross-70kw-en-valencia.htm?id=8113521,13800
1,Fiat,Tipo,Sw 1.0 Life,2021,,19.841 km,Gasolina,100 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sw-10-life-en-barcelona.htm?id=8059267,17700
2,Fiat,Tipo,Sw 1.6 Multijet Ii Business,2019,,135.000 km,Diesel,120 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sw-16-multijet-ii-business-en-tarragona.htm?id=8005770,12900
3,Fiat,Tipo,Sw 1.3 Multijet Ii Mirror,2020,06,49.629 km,Diesel,95 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sw-13-multijet-ii-mirror-en-jaen.htm?id=7769066,15650
4,Fiat,Tipo,Sw 1.3 Multijet Ii Mirror,2020,06,34.500 km,Diesel,95 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sw-13-multijet-ii-mirror-en-jaen.htm?id=7384161,15650
5,Fiat,Tipo,1.3 Multijet Life 70kw,2020,,60.000 km,Diesel,95 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-13-multijet-life-70kw-en-alicante.htm?id=8112161,13500
6,Fiat,Tipo,1.3 Multijet Ii Mirror,2019,,48.000 km,Diesel,95 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-13-multijet-ii-mirror-en-malaga.htm?id=8003465,13995
7,Fiat,Tipo,1.5 Hybrid Dct,2023,,NUEVO,Gasolina,130 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-fiat-tipo-15-hybrid-dct-en-toledo.htm?id=8115301,22500
8,Fiat,Tipo,Sedán 1.4 Easy,2017,,73.912 km,Gasolina,95 CV,manual,4 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sedan-14-easy-en-malaga.htm?id=8111116,8900
9,Fiat,Tipo,Sedán 1.3 Multijet Ii Easy,2016,,55.000 km,Diesel,95 CV,manual,4 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sedan-13-multijet-ii-easy-en-barcelona.htm?id=7959946,9950
10,Fiat,Tipo,Sedán 1.6 Multijet Ii Lounge,2016,,93.182 km,Diesel,120 CV,automática,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sedan-16-multijet-ii-lounge-en-madrid.htm?id=7891676,9900
11,Fiat,Tipo,Sedán 1.3 Multijet Ii Easy,2016,,280.000 km,Diesel,95 CV,manual,4 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sedan-13-multijet-ii-easy-en-tarragona.htm?id=8125672,6000
12,Fiat,Tipo,Sedán 1.4 Easy,2017,,87.847 km,Gasolina,95 CV,manual,4 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sedan-14-easy-en-malaga.htm?id=8125099,8900
13,Fiat,Tipo,Sw 1.3 Multijet Ii Business,2019,03,39.623 km,Diesel,95 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sw-13-multijet-ii-business-en-toledo.htm?id=8097658,12599
14,Fiat,Tipo,Sedán 1.4 Easy,2017,,90.165 km,Gasolina,95 CV,manual,4 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-sedan-14-easy-en-malaga.htm?id=8073505,8900
15,Fiat,Tipo,1.6 Multijet Ii Business,2018,,99.000 km,Diesel,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-16-multijet-ii-business-en-palmas+las.htm?id=8072781,10900
16,Fiat,Tipo,1.4 T-jet Easy,2018,,159.000 km,Gasolina,120 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-14-t-jet-easy-en-cadiz.htm?id=8062839,10900
17,Fiat,Tipo,1.4 Lounge,2019,,80.600 km,Gasolina,95 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-tipo-14-lounge-en-palmas+las.htm?id=8062800,11490
