,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,B-Max,1.5tdci Trend 95,2018,,120.400 km,Diesel,95 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-15tdci-trend-95-en-navarra.htm?id=8061290,9990
1,Ford,B-Max,1.0 Ecoboost A S&s Titanium 125,2017,10,39.336 km,Gasolina,125 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-10-ecoboost-a-s_s-titanium-125-en-toledo.htm?id=8043115,12899
2,Ford,B-Max,1.0 Ecoboost Trend,2014,,57.000 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-10-ecoboost-trend-en-alicante.htm?id=8015402,11499
3,Ford,B-Max,1.0 Ecoboost Trend,2015,,99.000 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-10-ecoboost-trend-en-malaga.htm?id=8009110,9995
4,Ford,B-Max,1.0 Ecoboost A S&s Titanium 125,2014,06,48.400 km,Gasolina,125 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-10-ecoboost-a-s_s-titanium-125-en-madrid.htm?id=7898384,11700
5,Ford,B-Max,1.5tdci Titanium 95,2015,,78.000 km,Diesel,95 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-15tdci-titanium-95-en-zaragoza.htm?id=7742597,13990
6,Ford,B-Max,1.4 Trend,2015,,95.000 km,Gasolina,90 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-14-trend-en-coruna+a.htm?id=7932616,8000
7,Ford,B-Max,1.6tdci Titanium X 95,2014,03,116.928 km,Diesel,95 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-16tdci-titanium-x-95-en-madrid.htm?id=8121468,7990
8,Ford,B-Max,1.0 Ecoboost A S&s Titanium 120,2013,11,132.280 km,Gasolina,120 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-10-ecoboost-a-s_s-titanium-120-en-jaen.htm?id=8114517,8000
9,Ford,B-Max,1.0 Ecoboost Trend,2014,06,88.133 km,Gasolina,100 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-10-ecoboost-trend-en-pontevedra.htm?id=8084789,10900
10,Ford,B-Max,1.0 Ecoboost Trend,2016,03,88.745 km,Gasolina,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-10-ecoboost-trend-en-barcelona.htm?id=7977179,11699
11,Ford,B-Max,1.6tdci Titanium 95,2015,04,102.741 km,Diesel,95 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-16tdci-titanium-95-en-madrid.htm?id=7637655,10950
12,Ford,B-Max,1.6tdci Titanium 95,2015,04,102.741 km,Diesel,95 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-b-max-16tdci-titanium-95-en-madrid.htm?id=7320037,10950
