,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Edge,2.0tdci St-line 4x4 190,2019,06,111.128 km,Diesel,190 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-st-line-4x4-190-en-valencia.htm?id=7949631,29000
1,Ford,Edge,2.0tdci Titanium 4x4 Powershift 210,2018,04,87.291 km,Diesel,210 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-titanium-4x4-powershift-210-en-madrid.htm?id=8060652,27950
2,Ford,Edge,2.0tdci St-line 4x4 Powershift 240,2019,,99.000 km,Diesel,240 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-st-line-4x4-powershift-240-en-madrid.htm?id=6920291,32990
3,Ford,Edge,2.0tdci St-line 4x4 Powershift 210,2018,,166.022 km,Diesel,210 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-st-line-4x4-powershift-210-en-toledo.htm?id=8105253,22950
4,Ford,Edge,2.0tdci Titanium 4x4 Powershift 210,2018,04,87.291 km,Diesel,210 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-titanium-4x4-powershift-210-en-madrid.htm?id=8056772,27950
5,Ford,Edge,2.0tdci Sport 4x4 180,2018,08,111.000 km,Diesel,180 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-sport-4x4-180-en-madrid.htm?id=7898611,24500
6,Ford,Edge,2.0tdci Titanium 4x4 Powershift 210,2017,,108.000 km,Diesel,210 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-titanium-4x4-powershift-210-en-guipuzcoa.htm?id=8020762,25000
7,Ford,Edge,2.0tdci St-line 4x4 Powershift 210,2018,05,71.032 km,Diesel,210 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-st-line-4x4-powershift-210-en-madrid.htm?id=8126135,25900
8,Ford,Edge,Vignale  2.0tdci 4x4 Powershift 240,2018,03,28.827 km,Diesel,240 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-vignale--20tdci-4x4-powershift-240-en-alicante.htm?id=8111411,32750
9,Ford,Edge,2.0tdci Sport 4x4 Powershift 210,2016,08,115.300 km,Diesel,210 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-sport-4x4-powershift-210-en-madrid.htm?id=8092004,19990
10,Ford,Edge,2.0tdci Titanium 4x4 180,2018,08,52.800 km,Diesel,180 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-titanium-4x4-180-en-madrid.htm?id=8071165,24490
11,Ford,Edge,2.0tdci Sport 4x4 Powershift 210,2016,06,170.312 km,Diesel,210 CV,automática secuencial,5 puertas,NARANJA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-sport-4x4-powershift-210-en-coruna+a.htm?id=8016784,22990
12,Ford,Edge,2.0tdci St-line 4x4 Powershift 210,2017,07,146.000 km,Diesel,210 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-st-line-4x4-powershift-210-en-toledo.htm?id=8007549,22990
13,Ford,Edge,2.0tdci Titanium 4x4 Powershift 210,2018,08,105.831 km,Diesel,210 CV,automática secuencial,5 puertas,Violeta,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-titanium-4x4-powershift-210-en-madrid.htm?id=7949422,24790
14,Ford,Edge,2.0tdci Titanium 4x4 Powershift 210,2018,08,105.831 km,Diesel,210 CV,automática secuencial,5 puertas,Violeta,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-titanium-4x4-powershift-210-en-madrid.htm?id=7949379,24790
15,Ford,Edge,2.0tdci Sport 4x4 Powershift 210,2016,10,136.000 km,Diesel,210 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-sport-4x4-powershift-210-en-madrid.htm?id=7943130,23290
16,Ford,Edge,2.0tdci Titanium 4x4 Powershift 210,2016,08,101.000 km,Diesel,210 CV,automática secuencial,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-titanium-4x4-powershift-210-en-madrid.htm?id=7849643,22990
17,Ford,Edge,2.0tdci Titanium 4x4 Powershift 210,2017,12,99.800 km,Diesel,210 CV,automática secuencial,5 puertas,Azul Puro ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-titanium-4x4-powershift-210-en-zaragoza.htm?id=7833926,26995
18,Ford,Edge,2.0tdci Titanium 4x4 Powershift 210,2017,11,142.767 km,Diesel,210 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-edge-20tdci-titanium-4x4-powershift-210-en-madrid.htm?id=7035432,22890
