,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Galaxy,2.0tdci Ghia,2006,,334.740 km,Diesel,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-20tdci-ghia-en-malaga.htm?id=8110644,6500
1,Ford,Galaxy,1.8tdci Trend,2008,,82.000 km,Diesel,125 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-18tdci-trend-en-granada.htm?id=8047269,11499
2,Ford,Galaxy,1.8tdci Trend,2008,,82.000 km,Diesel,125 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-18tdci-trend-en-granada.htm?id=8027550,11499
3,Ford,Galaxy,2.0tdci Titanium Edition 150,2021,09,75.000 km,Diesel,150 CV,manual,5 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-20tdci-titanium-edition-150-en-madrid.htm?id=8024710,25990
4,Ford,Galaxy,1.9tdi Trend 150,2005,,138.000 km,Diesel,150 CV,manual,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-19tdi-trend-150-en-granada.htm?id=7880287,8099
5,Ford,Galaxy,2.0tdci Trend 120,2017,08,160.000 km,Diesel,120 CV,manual,5 puertas,Gris / Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-20tdci-trend-120-en-vizcaya.htm?id=7641405,17890
6,Ford,Galaxy,2.0tdci Trend 140,2011,,270.000 km,Diesel,140 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-20tdci-trend-140-en-valencia.htm?id=8009700,7950
7,Ford,Galaxy,2.0tdci Titanium 163,2011,,210.657 km,Diesel,163 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-20tdci-titanium-163-en-alicante.htm?id=7940163,8000
8,Ford,Galaxy,2.0tdci Titanium Edition Aut. 190,2022,07,16.000 km,Diesel,191 CV,automática secuencial,5 puertas,Azul Chrome (metalizada),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-20tdci-titanium-edition-aut-190-en-madrid.htm?id=8127258,31990
9,Ford,Galaxy,2.0tdci Titanium 140,2012,09,191.500 km,Diesel,140 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-20tdci-titanium-140-en-madrid.htm?id=8019268,12890
10,Ford,Galaxy,2.0tdci Titanium Aut. 150,2020,02,63.856 km,Diesel,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-20tdci-titanium-aut-150-en-madrid.htm?id=7978499,25950
11,Ford,Galaxy,2.0tdci Titanium Aut. 150,2020,02,63.856 km,Diesel,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-20tdci-titanium-aut-150-en-madrid.htm?id=7978107,25950
12,Ford,Galaxy,2.0tdci Titanium Awd Powershift 180,2018,01,167.773 km,Diesel,180 CV,automática secuencial,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-galaxy-20tdci-titanium-awd-powershift-180-en-madrid.htm?id=7777807,20980
