,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Ka,+ 1.19 Ti-vct Active,2018,01,52.380 km,Gasolina,85 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ka-+-119-ti-vct-active-en-barcelona.htm?id=8023951,10990
1,Ford,Ka,1.20 Auto-s&s Urban,2014,,47.000 km,Gasolina,69 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ka-120-auto-s_s-urban-en-madrid.htm?id=8125634,5750
2,Ford,Ka,1.20 Auto-s&s Black Edition,2012,,90.000 km,Gasolina,69 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ka-120-auto-s_s-black-edition-en-madrid.htm?id=8085650,5000
3,Ford,Ka,1.20 Auto-s&s Trend+,2016,,91.000 km,Gasolina,69 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ka-120-auto-s_s-trend+-en-tenerife.htm?id=8095379,5990
4,Ford,Ka,+ 1.5tdci White Edition,2019,06,41.467 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ka-+-15tdci-white-edition-en-toledo.htm?id=8088913,12399
5,Ford,Ka,+ 1.19 Ti-vct Essential,2018,05,74.000 km,Gasolina,70 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ka-+-119-ti-vct-essential-en-barcelona.htm?id=8061204,45975
6,Ford,Ka,+ 1.19 Ti-vct White Edition,2019,01,56.139 km,Gasolina,85 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ka-+-119-ti-vct-white-edition-en-vizcaya.htm?id=8108660,11901
7,Ford,Ka,+ 1.19 Ti-vct Ultimate,2019,01,69.250 km,Gasolina,85 CV,manual,5 puertas,GRISSMOKE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ka-+-119-ti-vct-ultimate-en-vizcaya.htm?id=8108658,11901
8,Ford,Ka,+ 1.19 Ti-vct Essential,2017,09,57.450 km,Gasolina,70 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ka-+-119-ti-vct-essential-en-madrid.htm?id=8106327,9890
9,Ford,Ka,1.20 Auto-s&s Black & White Edition,2016,,89.586 km,Gasolina,69 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ka-120-auto-s_s-black-_-white-edition-en-sevilla.htm?id=8097500,9990
