,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Mustang Mach-E,Rwd Rango Extendido,2022,07,18.000 km,Eléctrico,294 CV,"directo, sin caja de cambios",5 puertas,Rojo Rapid Metálico,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mustang+mach-e-rwd-rango-extendido-en-barcelona.htm?id=7723732,50000
1,Ford,Mustang Mach-E,Awd Rango Estandar,2023,12,NUEVO,Eléctrico,269 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-ford-mustang+mach-e-awd-rango-estandar-en-cantabria.htm?id=6998549,52266
2,Ford,Mustang Mach-E,Premium Awd Rango Extendido,2023,,3.000 km,Eléctrico,351 CV,"directo, sin caja de cambios",5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-ford-mustang+mach-e-premium-awd-rango-extendido-en-segovia.htm?id=8050483,68500
3,Ford,Mustang Mach-E,Awd Rango Extendido,2021,,13.798 km,Eléctrico,351 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mustang+mach-e-awd-rango-extendido-en-madrid.htm?id=8115405,45490
4,Ford,Mustang Mach-E,Awd Rango Estandar,2022,07,164 km,Eléctrico,269 CV,"directo, sin caja de cambios",5 puertas,ROJO LUCID,Profesional,https://www.coches.com/km0/seminuevo-ford-mustang+mach-e-awd-rango-estandar-en-valencia.htm?id=8045355,45900
5,Ford,Mustang Mach-E,Gt Awd Rango Extendido,2022,,24.973 km,Eléctrico,487 CV,automática,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mustang+mach-e-gt-awd-rango-extendido-en-madrid.htm?id=7868519,54490
6,Ford,Mustang Mach-E,Rwd Rango Extendido,2021,,22.900 km,Eléctrico,294 CV,"directo, sin caja de cambios",5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-mustang+mach-e-rwd-rango-extendido-en-valencia.htm?id=8112545,48750
7,Ford,Mustang Mach-E,Rwd Rango Extendido,2023,07,3.000 km,Eléctrico,294 CV,"directo, sin caja de cambios",5 puertas,Negro Absoluto sólido,Profesional,https://www.coches.com/km0/seminuevo-ford-mustang+mach-e-rwd-rango-extendido-en-barcelona.htm?id=7889911,58300
8,Ford,Mustang Mach-E,Awd Rango Extendido,2022,10,25 km,Eléctrico,351 CV,"directo, sin caja de cambios",5 puertas,Azul Grabber,Profesional,https://www.coches.com/km0/seminuevo-ford-mustang+mach-e-awd-rango-extendido-en-valencia.htm?id=7967010,60950
9,Ford,Mustang Mach-E,Awd Rango Extendido,2022,10,3.000 km,Eléctrico,351 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-ford-mustang+mach-e-awd-rango-extendido-en-valencia.htm?id=7950383,61900
10,Ford,Mustang Mach-E,Gt Awd Rango Extendido,2023,06,5.000 km,Eléctrico,487 CV,"directo, sin caja de cambios",5 puertas,Negro Absoluto sólido,Profesional,https://www.coches.com/km0/seminuevo-ford-mustang+mach-e-gt-awd-rango-extendido-en-barcelona.htm?id=7842917,74900
11,Ford,Mustang Mach-E,Awd Rango Extendido,2022,12,8.000 km,Eléctrico,351 CV,"directo, sin caja de cambios",5 puertas,Blanco Estrella Platino Metáli,Profesional,https://www.coches.com/km0/seminuevo-ford-mustang+mach-e-awd-rango-extendido-en-barcelona.htm?id=7644493,59900
