,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Fiesta,1.0 Ecoboost St-line,2016,,132.000 km,Gasolina,100 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-10-ecoboost-st-line-en-madrid.htm?id=8065016,10000
1,Ford,Focus,1.5ecoblue St Line 120,2020,07,97.000 km,Diesel,120 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-15ecoblue-st-line-120-en-madrid.htm?id=8124767,18990
2,Ford,Focus,1.0 Ecoboost Mhev St-line X 125,2021,12,64.204 km,Gasolina,125 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-mhev-st-line-x-125-en-madrid.htm?id=8124758,17990
3,Ford,Ranger,3.2tdci S&s Dcb. Wildtrak 4x4 200,2019,02,55.783 km,Diesel,200 CV,manual,4 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-ranger-32tdci-s_s-dcb-wildtrak-4x4-200-en-madrid.htm?id=8106588,33490
4,Ford,Focus,1.0 Ecoboost Mhev St-line 125,2021,12,67.687 km,Gasolina,125 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-10-ecoboost-mhev-st-line-125-en-madrid.htm?id=8102658,18990
5,Ford,Focus,Sportbreak 1.0 Ecoboost Mhev St Line,2022,08,42.881 km,Gasolina,125 CV,manual,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-sportbreak-10-ecoboost-mhev-st-line-en-madrid.htm?id=8078787,20490
6,Ford,Kuga,2.0tdci Auto S&s St-line 4x4 Ps 150,2019,10,121.546 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-20tdci-auto-s_s-st-line-4x4-ps-150-en-madrid.htm?id=8076331,18990
7,Ford,Transit Courier,Van 1.5tdci Trend 100,2019,01,86.713 km,Diesel,100 CV,manual,4 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+courier-van-15tdci-trend-100-en-madrid.htm?id=8065846,12490
8,Ford,Focus,1.5ecoblue Trend+ 120,2020,06,28.601 km,Diesel,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-15ecoblue-trend+-120-en-madrid.htm?id=8057517,16990
9,Ford,Puma,1.0 Ecoboost Mhev St-line 125,2022,04,39.964 km,Gasolina,125 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-puma-10-ecoboost-mhev-st-line-125-en-madrid.htm?id=7949242,19990
10,Ford,Puma,1.0 Ecoboost Mhev St-line 125,2022,04,36.424 km,Gasolina,125 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-puma-10-ecoboost-mhev-st-line-125-en-madrid.htm?id=7920863,19990
