,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Hyundai,Accent,1.5crdi Gls 5p.,2005,,138.000 km,Diesel,82 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-15crdi-gls-5p-en-malaga.htm?id=8052110,2990
1,Hyundai,Accent,1.3i Gls 12v,2003,,168.000 km,Gasolina,85 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-13i-gls-12v-en-madrid.htm?id=8127576,1850
2,Hyundai,Accent,1.6 Full,2008,,158.090 km,Gasolina,112 CV,manual,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-16-full-en-vizcaya.htm?id=8023890,4974
3,Hyundai,Accent,1.3i Gl,2005,,205.000 km,Gasolina,85 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-13i-gl-en-sevilla.htm?id=8046594,2000
4,Hyundai,Accent,1.5 Crdi Gl 5p.,2003,,195.000 km,Diesel,82 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-15-crdi-gl-5p-en-malaga.htm?id=7953463,1900
5,Hyundai,Accent,1.6i Gls,2004,,300.000 km,Gasolina,105 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-16i-gls-en-tenerife.htm?id=7707106,1200
6,Hyundai,Accent,1.3i Gl,2004,,155.000 km,Gasolina,85 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-13i-gl-en-alicante.htm?id=8081259,1200
7,Hyundai,Accent,1.5i Gls 12v,1999,,190.000 km,Gasolina,90 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-15i-gls-12v-en-madrid.htm?id=8100052,500
8,Hyundai,Accent,1.3i Gls,2004,,220.000 km,Gasolina,85 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-13i-gls-en-huelva.htm?id=7982097,3500
9,Hyundai,Accent,1.3i Gl 12v,2000,12,242.340 km,Gasolina,85 CV,manual,4 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-13i-gl-12v-en-cantabria.htm?id=8124689,1499
10,Hyundai,Accent,1.5crdi Gl 4p.,2005,02,235.110 km,Diesel,82 CV,manual,4 puertas,Ebony Black,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-accent-15crdi-gl-4p-en-badajoz.htm?id=7998366,3499
