,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Hyundai,Coupé,1.6 Gk,2008,,178.000 km,Gasolina,105 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-coupe-16-gk-en-malaga.htm?id=8077140,5000
1,Hyundai,Coupé,1.6 16v Gls,2005,,168.000 km,Gasolina,105 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-coupe-16-16v-gls-en-barcelona.htm?id=8000668,2500
2,Hyundai,Coupé,2.7 V6 Full,2005,,53.800 km,Gasolina,167 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-coupe-27-v6-full-en-madrid.htm?id=7915349,5800
3,Hyundai,Coupé,1.6 F/l,2007,,232.000 km,Gasolina,105 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-coupe-16-fl-en-barcelona.htm?id=8060378,1800
4,Hyundai,Coupé,2.0 Vvt Full,2006,,156.000 km,Gasolina,143 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-coupe-20-vvt-full-en-valencia.htm?id=7914631,2700
5,Hyundai,Coupé,1.6 16v Gls,2002,,347.000 km,Gasolina,105 CV,manual,2 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-coupe-16-16v-gls-en-castellon.htm?id=7946610,500
6,Hyundai,Coupé,2.0 16v Fx,2000,,5.000 km,Gasolina,138 CV,manual,2 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-coupe-20-16v-fx-en-zaragoza.htm?id=7752587,11000
7,Hyundai,Coupé,2.0 Vvt Full,2005,,133.000 km,Gasolina,143 CV,manual,2 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-coupe-20-vvt-full-en-tenerife.htm?id=8039779,5500
8,Hyundai,Coupé,1.6 16v Gls,2005,,187.000 km,Gasolina,105 CV,manual,2 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-coupe-16-16v-gls-en-tarragona.htm?id=7742593,2500
9,Hyundai,Coupé,1.6 16v Gls,2004,11,43.500 km,Gasolina,105 CV,manual,2 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-coupe-16-16v-gls-en-teruel.htm?id=8090909,4900
