,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Hyundai,Santa Fe,2.2crdi Comfort F 5pl.,2007,,153.000 km,Diesel,155 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-22crdi-comfort-f-5pl-en-albacete.htm?id=8082464,8900
1,Hyundai,Santa Fe,1.6tgdi Phev Style 7pl 4wd 6at,2022,12,24.856 km,Híbrido,265 CV,automática secuencial,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-16tgdi-phev-style-7pl-4wd-6at-en-palmas+las.htm?id=8107550,40990
2,Hyundai,Santa Fe,1.6tgdi Phev Tecno 7pl 4wd 6at,2022,08,17.522 km,Híbrido,265 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-16tgdi-phev-tecno-7pl-4wd-6at-en-valencia.htm?id=7950056,45990
3,Hyundai,Santa Fe,2.2crdi Klass 2wd 8dct,2024,,NUEVO,Diesel,194 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-22crdi-klass-2wd-8dct-en-valladolid.htm?id=8128218,40600
4,Hyundai,Santa Fe,1.6tgdi Phev Maxx 7pl 4wd 6at,2023,08,5.000 km,Híbrido,265 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-16tgdi-phev-maxx-7pl-4wd-6at-en-palmas+las.htm?id=8106607,42990
5,Hyundai,Santa Fe,1.6tgdi Phev Style 7pl 4wd 6at,2022,07,22.428 km,Híbrido,265 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-16tgdi-phev-style-7pl-4wd-6at-en-palmas+las.htm?id=8106569,42990
6,Hyundai,Santa Fe,1.6tgdi Phev Maxx 7pl 4wd 6at,2021,12,18.904 km,Híbrido,265 CV,automática secuencial,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-16tgdi-phev-maxx-7pl-4wd-6at-en-palmas+las.htm?id=8107469,42990
7,Hyundai,Santa Fe,1.6tgdi Phev Maxx 7pl 4wd 6at,2023,08,6.400 km,Híbrido,265 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-hyundai-santa+fe-16tgdi-phev-maxx-7pl-4wd-6at-en-palmas+las.htm?id=8106601,48540
8,Hyundai,Santa Fe,1.6tgdi Phev Style 7pl 4wd 6at,2022,03,25.914 km,Híbrido,265 CV,automática secuencial,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-16tgdi-phev-style-7pl-4wd-6at-en-palmas+las.htm?id=8106478,42990
9,Hyundai,Santa Fe,2.2crdi 4x2 Link 7s,2018,02,74.506 km,Diesel,200 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-22crdi-4x2-link-7s-en-toledo.htm?id=8099650,22199
10,Hyundai,Santa Fe,2.2crdi 4x2 Klass Sky 7s,2016,01,229.817 km,Diesel,200 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-santa+fe-22crdi-4x2-klass-sky-7s-en-madrid.htm?id=8062189,16490
