,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Hyundai,I20 Active,1.4crdi Style 90,2016,,170.230 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-14crdi-style-90-en-castellon.htm?id=8118673,9600
1,Hyundai,I20 Active,1.0 Tgdi Klass 100,2019,01,99.578 km,Gasolina,100 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-klass-100-en-toledo.htm?id=8127081,11999
2,Hyundai,I20 Active,1.0 Tgdi Tecno 100,2018,08,49.241 km,Gasolina,100 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-tecno-100-en-toledo.htm?id=8116647,13399
3,Hyundai,I20 Active,1.0 Tgdi Bd Klass 100,2016,,44.900 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-bd-klass-100-en-malaga.htm?id=8095753,12899
4,Hyundai,I20 Active,1.0 Tgdi Bd Tecno 100,2016,,28.000 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-bd-tecno-100-en-alicante.htm?id=8009089,12799
5,Hyundai,I20 Active,1.0 Tgdi Klass 100,2020,06,56.375 km,Gasolina,100 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-klass-100-en-palmas+las.htm?id=8017088,14995
6,Hyundai,I20 Active,1.0 Tgdi Tecno 100,2020,06,60.976 km,Gasolina,100 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-tecno-100-en-palmas+las.htm?id=8008756,14995
7,Hyundai,I20 Active,1.0 Tgdi Bd Tecno 100,2017,,116.000 km,Gasolina,100 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-bd-tecno-100-en-cordoba.htm?id=7733634,11000
8,Hyundai,I20 Active,1.4crdi Style 90,2016,,172.000 km,Diesel,90 CV,manual,5 puertas,marron,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-14crdi-style-90-en-madrid.htm?id=8001845,7900
9,Hyundai,I20 Active,1.0 Tgdi Klass 100,2019,,24.500 km,Gasolina,100 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-klass-100-en-alava.htm?id=7664529,12500
10,Hyundai,I20 Active,1.0 Tgdi Tecno Dt 100,2018,08,96.550 km,Gasolina,100 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-tecno-dt-100-en-madrid.htm?id=8126249,10900
11,Hyundai,I20 Active,1.0 Tgdi Klass 100,2019,07,68.653 km,Gasolina,100 CV,manual,5 puertas,Passion Red (mica),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-klass-100-en-madrid.htm?id=8117979,14990
12,Hyundai,I20 Active,1.0 Tgdi Bd Klass 100,2016,10,89.568 km,Gasolina,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-bd-klass-100-en-madrid.htm?id=8070048,12990
13,Hyundai,I20 Active,1.0 Tgdi Bd Klass 100,2017,01,85.936 km,Gasolina,100 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-bd-klass-100-en-barcelona.htm?id=8027994,11500
14,Hyundai,I20 Active,1.0 Tgdi Link 100,2019,07,55.452 km,Gasolina,100 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-10-tgdi-link-100-en-madrid.htm?id=8026497,13990
15,Hyundai,I20 Active,1.4crdi Klass 90,2016,05,142.755 km,Diesel,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-14crdi-klass-90-en-madrid.htm?id=7989107,11900
16,Hyundai,I20 Active,1.4crdi Tecno 90,2017,02,108.000 km,Diesel,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20+active-14crdi-tecno-90-en-madrid.htm?id=7954894,11990
