,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Hyundai,I20,1.2 Fresh,2017,,45.035 km,Gasolina,85 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-fresh-en-illes+balears.htm?id=8099981,10990
1,Hyundai,I20,1.0 Tgdi Klass 100,2022,10,5.600 km,Gasolina,100 CV,manual,5 puertas,Polar White (sólido),Profesional,https://www.coches.com/km0/seminuevo-hyundai-i20-10-tgdi-klass-100-en-cadiz.htm?id=7909682,17900
2,Hyundai,I20,1.2 Klass,2017,,3.500 km,Gasolina,85 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-klass-en-malaga.htm?id=8116994,9990
3,Hyundai,I20,1.0 Tgdi Slx Dt 100,2023,03,1.595 km,Gasolina,100 CV,automática secuencial,5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i20-10-tgdi-slx-dt-100-en-palmas+las.htm?id=8106393,16190
4,Hyundai,I20,1.2 Mpi Sle,2023,09,2.600 km,Gasolina,84 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i20-12-mpi-sle-en-palmas+las.htm?id=8101549,14790
5,Hyundai,I20,1.2 Mpi Essence Le,2019,07,96.448 km,Gasolina,75 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-mpi-essence-le-en-barcelona.htm?id=8090034,9980
6,Hyundai,I20,1.2 Mpi Essence,2019,07,78.899 km,Gasolina,75 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-mpi-essence-en-toledo.htm?id=8064742,10499
7,Hyundai,I20,1.0 Tgdi Slx Dt 100,2023,11,8 km,Gasolina,100 CV,automática secuencial,5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i20-10-tgdi-slx-dt-100-en-palmas+las.htm?id=8107491,16990
8,Hyundai,I20,1.2 Mpi Sle,2023,08,10.402 km,Gasolina,84 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-mpi-sle-en-palmas+las.htm?id=8101494,14790
9,Hyundai,I20,1.2 Mpi Link,2019,03,80.642 km,Gasolina,85 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-mpi-link-en-palmas+las.htm?id=8101368,9990
10,Hyundai,I20,1.2 Comfort,2010,,53.700 km,Gasolina,78 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-comfort-en-malaga.htm?id=8091615,6900
11,Hyundai,I20,1.0 Tgdi Essence 48v 100,2020,,33.000 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-10-tgdi-essence-48v-100-en-illes+balears.htm?id=8086486,10800
12,Hyundai,I20,1.2 Mpi Essence Le,2019,01,62.379 km,Gasolina,75 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-mpi-essence-le-en-toledo.htm?id=8084140,11199
13,Hyundai,I20,1.0 Tgdi Klass 100,2023,03,15.180 km,Gasolina,100 CV,manual,5 puertas,ATLAS WHITE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-10-tgdi-klass-100-en-lugo.htm?id=8062022,17900
14,Hyundai,I20,1.2 Fresh,2017,,33.854 km,Gasolina,85 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-fresh-en-jaen.htm?id=8022148,10500
15,Hyundai,I20,1.2 Classic,2010,,96.000 km,Gasolina,78 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-classic-en-malaga.htm?id=7896033,5990
16,Hyundai,I20,1.6t N,2022,02,21.804 km,Gasolina,204 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-16t-n-en-toledo.htm?id=8116646,25799
17,Hyundai,I20,1.0 Tgdi Slx Dt 100,2023,08,6.000 km,Gasolina,100 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i20-10-tgdi-slx-dt-100-en-palmas+las.htm?id=8107297,16690
18,Hyundai,I20,1.2 Mpi Link,2019,07,82.854 km,Gasolina,85 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i20-12-mpi-link-en-palmas+las.htm?id=8101338,9990
19,Hyundai,I20,1.0 Tgdi Klass 100,2023,,5.000 km,Gasolina,100 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i20-10-tgdi-klass-100-en-lleida.htm?id=8101143,17400
