,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Infiniti,Qx30,2.2d Premium Awd 7dct,2018,,104.490 km,Diesel,170 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-22d-premium-awd-7dct-en-burgos.htm?id=8025302,22000
1,Infiniti,Qx30,2.2d Premium Awd 7dct,2018,,157.512 km,Diesel,170 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-22d-premium-awd-7dct-en-castellon.htm?id=8091624,19500
2,Infiniti,Qx30,2.2d Premium Tech Awd 7dct,2018,02,96.052 km,Diesel,170 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-22d-premium-tech-awd-7dct-en-madrid.htm?id=8041329,24990
3,Infiniti,Qx30,2.2d Premium Awd 7dct,2018,02,117.480 km,Diesel,170 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-22d-premium-awd-7dct-en-madrid.htm?id=8041318,24490
4,Infiniti,Qx30,2.2d Premium Tech Awd 7dct,2017,,72.000 km,Diesel,170 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-22d-premium-tech-awd-7dct-en-burgos.htm?id=8025298,23000
5,Infiniti,Qx30,2.2d Premium Awd 7dct,2018,08,80.372 km,Diesel,170 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-22d-premium-awd-7dct-en-toledo.htm?id=7984167,23990
6,Infiniti,Qx30,2.0t Premium Tech Awd 7dct,2019,01,76.800 km,Gasolina,211 CV,automática secuencial,5 puertas,Marron,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-20t-premium-tech-awd-7dct-en-madrid.htm?id=7967166,22850
7,Infiniti,Qx30,2.2d Premium Awd 7dct,2017,,103.000 km,Diesel,170 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-22d-premium-awd-7dct-en-tenerife.htm?id=8033600,18000
8,Infiniti,Qx30,2.2d Premium Awd 7dct,2017,07,118.000 km,Diesel,170 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-22d-premium-awd-7dct-en-madrid.htm?id=8121937,17850
9,Infiniti,Qx30,2.2d Premium Awd 7dct,2018,02,79.055 km,Diesel,170 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-22d-premium-awd-7dct-en-madrid.htm?id=7996487,22560
10,Infiniti,Qx30,2.2d Premium Awd 7dct,2018,02,79.055 km,Diesel,170 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-qx30-22d-premium-awd-7dct-en-madrid.htm?id=7996444,22560
