,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jeep,Compass,1.6 Mjt Sport 4x2,2020,03,3.743 km,Diesel,120 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-16-mjt-sport-4x2-en-sevilla.htm?id=8089039,19890
1,Jeep,Compass,1.6 Mjt Sport 4x2,2020,03,3.743 km,Diesel,120 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-16-mjt-sport-4x2-en-madrid.htm?id=8089019,19890
2,Jeep,Compass,1.6 Mjt Sport 4x2,2020,03,3.743 km,Diesel,120 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-16-mjt-sport-4x2-en-malaga.htm?id=8087712,19890
3,Jeep,Compass,1.3 Phev Limited Eawd Aut. 190,2023,12,20 km,Híbrido,190 CV,automática secuencial,5 puertas,NEGRO SOLIDO,Profesional,https://www.coches.com/km0/seminuevo-jeep-compass-13-phev-limited-eawd-aut-190-en-barcelona.htm?id=8017019,37400
4,Jeep,Compass,1.6 Mjt Limited Fwd,2022,03,21.727 km,Diesel,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-16-mjt-limited-fwd-en-madrid.htm?id=7965659,25790
5,Jeep,Compass,1.6 Mjt Limited Fwd,2022,03,29.017 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-16-mjt-limited-fwd-en-madrid.htm?id=8066113,25790
6,Jeep,Compass,1.6 Mjt Limited Fwd,2021,,17.190 km,Diesel,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-16-mjt-limited-fwd-en-toledo.htm?id=8061427,29950
7,Jeep,Compass,1.6 Mjt Longitude 4x2,2017,11,112.680 km,Diesel,120 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-16-mjt-longitude-4x2-en-toledo.htm?id=8049020,16199
8,Jeep,Compass,1.3 Phev Longitude 4x4 Aut. 190,2023,03,2 km,Híbrido,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-jeep-compass-13-phev-longitude-4x4-aut-190-en-valencia.htm?id=7812031,34900
9,Jeep,Compass,1.3 Phev Upland E6d Aut. 240,2023,,NUEVO,Híbrido,240 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-jeep-compass-13-phev-upland-e6d-aut-240-en-toledo.htm?id=8104759,41990
