,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jeep,Gladiator,3.0 Crd Overland,2022,,10 km,Diesel,264 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-toledo.htm?id=8128729,59900
1,Jeep,Gladiator,3.0 Crd Overland,2023,07,NUEVO,Diesel,264 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-sevilla.htm?id=7491934,72389
2,Jeep,Gladiator,3.0 Crd Overland,2023,07,NUEVO,Diesel,264 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-sevilla.htm?id=6763996,72389
3,Jeep,Gladiator,3.0 Crd Overland,2023,01,8.937 km,Diesel,264 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-illes+balears.htm?id=8116011,70900
4,Jeep,Gladiator,3.0 Crd Overland,2024,01,NUEVO,Diesel,264 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-avila.htm?id=8113136,68900
5,Jeep,Gladiator,3.0 Crd Overland,2023,12,5 km,Diesel,264 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-avila.htm?id=8111628,68900
6,Jeep,Gladiator,3.0 Crd Overland,2022,07,1 km,Diesel,264 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-madrid.htm?id=8082532,75900
7,Jeep,Gladiator,3.0 Crd Overland,2023,03,500 km,Diesel,264 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-cadiz.htm?id=8075679,66990
8,Jeep,Gladiator,3.0 Crd Overland,2023,03,500 km,Diesel,264 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-cadiz.htm?id=8075675,66990
9,Jeep,Gladiator,3.0 Crd Overland,2023,03,500 km,Diesel,264 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-sevilla.htm?id=8075667,66990
10,Jeep,Gladiator,3.0 Crd Overland,2022,03,6.399 km,Diesel,264 CV,automática secuencial,4 puertas,GRIS,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-girona.htm?id=8067774,55900
11,Jeep,Gladiator,3.0 Crd Overland,2022,09,10 km,Diesel,264 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-jeep-gladiator-30-crd-overland-en-huesca.htm?id=7829860,67500
