,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Jeep,Renegade,1.0 Limited 4x2,2021,,24.600 km,Gasolina,120 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-10-limited-4x2-en-barcelona.htm?id=8125134,19990
1,Jeep,Renegade,1.3 Limited 4x2 Ddct,2022,05,10.898 km,Gasolina,150 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-13-limited-4x2-ddct-en-barcelona.htm?id=7826577,24900
2,Jeep,Renegade,1.5 Mhev Longitude,2023,11,11 km,Gasolina,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-jeep-renegade-15-mhev-longitude-en-alava.htm?id=8069392,30600
3,Jeep,Renegade,1.3 Phev Limited 4x4 Aut. 190,2023,06,12 km,Híbrido,190 CV,automática secuencial,5 puertas,Otros,Profesional,https://www.coches.com/km0/seminuevo-jeep-renegade-13-phev-limited-4x4-aut-190-en-jaen.htm?id=7823175,37350
4,Jeep,Renegade,1.6mjt Limited 4x2 96kw,2021,07,37.820 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-16mjt-limited-4x2-96kw-en-jaen.htm?id=7724463,24252
5,Jeep,Renegade,1.4 Multiair Limited 4x2 103kw,2016,10,97.720 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-14-multiair-limited-4x2-103kw-en-toledo.htm?id=8127064,12999
6,Jeep,Renegade,2.0mjt Trailhawk 4x4 Adlow Aut. 125kw,2017,,249.000 km,Diesel,170 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-20mjt-trailhawk-4x4-adlow-aut-125kw-en-toledo.htm?id=8118666,11875
7,Jeep,Renegade,2.0mjt Trailhawk 4x4 Low Auto 170,2018,,134.000 km,Diesel,170 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-20mjt-trailhawk-4x4-low-auto-170-en-alicante.htm?id=8030122,17900
8,Jeep,Renegade,1.3 Phev Trailhawk 4x4 Aut. 240,2022,07,10.272 km,Híbrido,240 CV,automática secuencial,5 puertas,AZUL OSCURO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-13-phev-trailhawk-4x4-aut-240-en-valencia.htm?id=7943907,29900
9,Jeep,Renegade,2.0mjt Trailhawk 4x4 Low Auto 170,2018,,191.300 km,Diesel,170 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-20mjt-trailhawk-4x4-low-auto-170-en-navarra.htm?id=8061270,14990
10,Jeep,Renegade,1.6mjt Limited 4x2 96kw,2022,07,39.952 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-16mjt-limited-4x2-96kw-en-madrid.htm?id=8021812,19590
11,Jeep,Renegade,2.0mjt Longitude 4x4 Ad 103kw,2016,,82.000 km,Diesel,140 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-20mjt-longitude-4x4-ad-103kw-en-malaga.htm?id=8097914,15999
12,Jeep,Renegade,1.6mjt Limited 4x2 Ddct,2020,12,34.198 km,Diesel,120 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-16mjt-limited-4x2-ddct-en-toledo.htm?id=8090206,19199
13,Jeep,Renegade,2.0mjt Trailhawk 4x4 Adlow Aut. 125kw,2018,,100.468 km,Diesel,170 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-20mjt-trailhawk-4x4-adlow-aut-125kw-en-navarra.htm?id=8082087,18990
14,Jeep,Renegade,2.0mjt Night Eagle Ii 4x4 Ad 103kw,2019,08,98.793 km,Diesel,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-20mjt-night-eagle-ii-4x4-ad-103kw-en-madrid.htm?id=8062334,16990
15,Jeep,Renegade,1.4 Multiair Longitude 4x2 103kw,2015,01,76.000 km,Gasolina,140 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-14-multiair-longitude-4x2-103kw-en-barcelona.htm?id=8000364,15299
16,Jeep,Renegade,1.3 Phev S 4x4 Aut. 240,2022,10,30 km,Híbrido,240 CV,automática secuencial,5 puertas,NEGRO SOLIDO,Profesional,https://www.coches.com/km0/seminuevo-jeep-renegade-13-phev-s-4x4-aut-240-en-barcelona.htm?id=7919401,35400
17,Jeep,Renegade,2.0mjt Trailhawk 4x4 Adlow Aut. 125kw,2015,,181.700 km,Diesel,170 CV,automática secuencial,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-20mjt-trailhawk-4x4-adlow-aut-125kw-en-malaga.htm?id=8104779,15500
18,Jeep,Renegade,1.6mjt Limited 4x2 96kw,2021,04,96.200 km,Diesel,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-16mjt-limited-4x2-96kw-en-madrid.htm?id=8062323,17990
19,Jeep,Renegade,1.6mjt Limited 4x2 96kw,2021,07,71.440 km,Diesel,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-16mjt-limited-4x2-96kw-en-madrid.htm?id=8062322,18990
20,Jeep,Renegade,1.0 Longitude 4x2,2022,01,50.000 km,Gasolina,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-10-longitude-4x2-en-barcelona.htm?id=8062080,17990
21,Jeep,Renegade,1.0 Night Eagle Ii 4x2,2021,01,39.000 km,Gasolina,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-10-night-eagle-ii-4x2-en-barcelona.htm?id=8062079,18490
22,Jeep,Renegade,1.6mjt Limited 4x2 96kw,2022,05,27.335 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-16mjt-limited-4x2-96kw-en-madrid.htm?id=8043977,21890
23,Jeep,Renegade,1.6mjt Limited 4x2 96kw,2021,07,37.300 km,Diesel,130 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-16mjt-limited-4x2-96kw-en-valencia.htm?id=7818955,20990
24,Jeep,Renegade,1.0 Change The Way 4x2,2019,,50.382 km,Gasolina,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-jeep-renegade-10-change-the-way-4x2-en-malaga.htm?id=8114127,16900
