,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Land Rover,Discovery Sport,2.0td4 Se 4x4 150,2019,,110.000 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20td4-se-4x4-150-en-sevilla.htm?id=8009576,22990
1,Land Rover,Discovery Sport,2.2td4 Se 4x4 150,2015,07,185.000 km,Diesel,150 CV,manual,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-22td4-se-4x4-150-en-sevilla.htm?id=7984568,17000
2,Land Rover,Discovery Sport,2.0ed4 Pure 4x2 150,2017,03,50.454 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20ed4-pure-4x2-150-en-toledo.htm?id=8064764,20999
3,Land Rover,Discovery Sport,2.0td4 Pure 4x4 150,2018,08,79.047 km,Diesel,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20td4-pure-4x4-150-en-barcelona.htm?id=7827048,21500
4,Land Rover,Discovery Sport,2.0ed4 Pure 4x2 150,2018,,113.000 km,Diesel,150 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20ed4-pure-4x2-150-en-sevilla.htm?id=8122751,21900
5,Land Rover,Discovery Sport,2.0td4 Se 4x4 150,2017,,174.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20td4-se-4x4-150-en-lleida.htm?id=7910679,17950
6,Land Rover,Discovery Sport,1.5 I3 Phev S Awd Auto,2022,11,11.000 km,Híbrido,308 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-15-i3-phev-s-awd-auto-en-madrid.htm?id=7869467,51995
7,Land Rover,Discovery Sport,2.0td4 Pure 4x4 Aut. 150,2019,,33.464 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20td4-pure-4x4-aut-150-en-madrid.htm?id=7957994,26990
8,Land Rover,Discovery Sport,2.0td4 Se 4x4 150,2017,09,122.000 km,Diesel,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20td4-se-4x4-150-en-badajoz.htm?id=7850496,20900
9,Land Rover,Discovery Sport,2.0d Td4 Mhev R-dynamic S Awd Auto 163,2022,04,18.561 km,Diesel,163 CV,automática secuencial,5 puertas,Firenze Red,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery+sport-20d-td4-mhev-r-dynamic-s-awd-auto-163-en-barcelona.htm?id=7753229,49900
