,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 240,2018,06,76.565 km,Diesel,240 CV,automática secuencial,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-240-en-valencia.htm?id=7996675,38700
1,Land Rover,Range Rover Velar,2.0d Standard 4wd Aut. 180,2018,01,143.772 km,Diesel,180 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-standard-4wd-aut-180-en-madrid.htm?id=7915721,30490
2,Land Rover,Range Rover Velar,2.0d R-dynamic Hse 4wd Aut. 180,2018,,137.100 km,Diesel,180 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-r-dynamic-hse-4wd-aut-180-en-sevilla.htm?id=8012440,35900
3,Land Rover,Range Rover Velar,2.0d I4 Mhev R-dynamic S 4wd Aut. 204,2021,09,24.528 km,Diesel,204 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-i4-mhev-r-dynamic-s-4wd-aut-204-en-madrid.htm?id=8120602,55990
4,Land Rover,Range Rover Velar,2.0d I4 Mhev R-dynamic S 4wd Aut. 204,2021,07,43.535 km,Diesel,204 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-i4-mhev-r-dynamic-s-4wd-aut-204-en-madrid.htm?id=8070249,49490
5,Land Rover,Range Rover Velar,2.0d I4 Mhev Hse 4wd Aut. 204,2021,07,31.163 km,Diesel,204 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-i4-mhev-hse-4wd-aut-204-en-madrid.htm?id=8048671,56990
6,Land Rover,Range Rover Velar,2.0 S 4wd Aut. 300,2019,,59.899 km,Gasolina,300 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20-s-4wd-aut-300-en-madrid.htm?id=8046334,40490
7,Land Rover,Range Rover Velar,2.0d Standard 4wd Aut. 180,2019,,65.830 km,Diesel,180 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-standard-4wd-aut-180-en-madrid.htm?id=8042394,37490
8,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 180,2020,,69.534 km,Diesel,180 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-180-en-madrid.htm?id=8030567,40990
9,Land Rover,Range Rover Velar,2.0d I4 Mhev R-dynamic Base 4wd Aut. 204,2021,07,30.331 km,Diesel,204 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-i4-mhev-r-dynamic-base-4wd-aut-204-en-madrid.htm?id=7995004,56490
10,Land Rover,Range Rover Velar,2.0d I4 Mhev Hse 4wd Aut. 204,2021,06,35.495 km,Diesel,204 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-i4-mhev-hse-4wd-aut-204-en-madrid.htm?id=7939609,56490
11,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 180,2019,03,109.000 km,Diesel,180 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-180-en-madrid.htm?id=7915773,30890
12,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 180,2019,03,109.000 km,Diesel,180 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-180-en-sevilla.htm?id=7889147,30890
13,Land Rover,Range Rover Velar,2.0 R-dynamic S 4wd Aut. 300,2019,03,47.150 km,Gasolina,300 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20-r-dynamic-s-4wd-aut-300-en-sevilla.htm?id=7883537,48900
14,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 180,2020,,84.993 km,Diesel,180 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-180-en-sevilla.htm?id=7852316,39900
15,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 180,2019,03,109.000 km,Diesel,180 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-180-en-malaga.htm?id=7802724,30890
16,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 240,2019,,51.984 km,Diesel,240 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-240-en-madrid.htm?id=8112083,41990
17,Land Rover,Range Rover Velar,2.0 I4 Phev R-dynamic Se 4wd Aut. 404,2023,01,15.299 km,Híbrido,404 CV,automática secuencial,5 puertas,Firenze Red,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20-i4-phev-r-dynamic-se-4wd-aut-404-en-barcelona.htm?id=7943063,68900
18,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 240,2019,04,84.360 km,Diesel,240 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-240-en-alicante.htm?id=7912244,40675
19,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 240,2019,04,84.360 km,Diesel,240 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-240-en-murcia.htm?id=7911643,40675
20,Land Rover,Range Rover Velar,2.0 I4 Phev R-dynamic Base 4wd Aut. 404,2022,09,16.098 km,Híbrido,404 CV,automática secuencial,5 puertas,Eiger Grey,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20-i4-phev-r-dynamic-base-4wd-aut-404-en-barcelona.htm?id=7868837,72900
21,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 180,2018,,72.000 km,Diesel,180 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-180-en-madrid.htm?id=8117048,34990
22,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 180,2019,07,109.308 km,Diesel,180 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-180-en-sevilla.htm?id=7964000,34890
23,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 180,2019,07,109.308 km,Diesel,180 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-180-en-madrid.htm?id=7963969,34890
24,Land Rover,Range Rover Velar,2.0d S 4wd Aut. 180,2019,07,109.308 km,Diesel,180 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-20d-s-4wd-aut-180-en-malaga.htm?id=7962468,34890
25,Land Rover,Range Rover Velar,3.0d R-dynamic Se 4wd Aut. 300,2019,09,66.395 km,Diesel,300 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+velar-30d-r-dynamic-se-4wd-aut-300-en-madrid.htm?id=8073377,50990
