,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mg,Marvel R,Luxury Rwd 70kwh 132kw,2022,04,13.238 km,Eléctrico,179 CV,no link (0018),5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-marvel+r-luxury-rwd-70kwh-132kw-en-madrid.htm?id=8120620,37990
1,Mg,Marvel R,Luxury Rwd 70kwh 132kw,2022,01,13.238 km,Eléctrico,179 CV,no link (0018),5 puertas,BLACK PRISM BLUE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-marvel+r-luxury-rwd-70kwh-132kw-en-barcelona.htm?id=8079065,37990
2,Mg,Marvel R,Comfort Rwd 70kwh 132kw,2023,01,5 km,Eléctrico,179 CV,no link (0018),5 puertas,Night-watch Grey,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-comfort-rwd-70kwh-132kw-en-vizcaya.htm?id=8113872,42900
3,Mg,Marvel R,Luxury Rwd 70kwh 132kw,2022,09,17.450 km,Eléctrico,179 CV,no link (0018),5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-marvel+r-luxury-rwd-70kwh-132kw-en-madrid.htm?id=8049087,38900
4,Mg,Marvel R,Luxury Rwd 70kwh 132kw,2023,,100 km,Eléctrico,179 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-luxury-rwd-70kwh-132kw-en-burgos.htm?id=8023732,46890
5,Mg,Marvel R,Performance Awd 70kwh 212kw,2023,05,6.000 km,Eléctrico,288 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-performance-awd-70kwh-212kw-en-guipuzcoa.htm?id=8016216,45900
6,Mg,Marvel R,Performance Awd 70kwh 212kw,2024,01,NUEVO,Eléctrico,288 CV,"directo, sin caja de cambios",5 puertas,PEBBLE BLACK,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-performance-awd-70kwh-212kw-en-jaen.htm?id=8113719,44380
7,Mg,Marvel R,Performance Awd 70kwh 212kw,2024,01,10 km,Eléctrico,288 CV,"directo, sin caja de cambios",5 puertas,PEBBLE BLACK,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-performance-awd-70kwh-212kw-en-jaen.htm?id=8113250,44380
8,Mg,Marvel R,Performance Awd 70kwh 212kw,2023,10,50 km,Eléctrico,288 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-performance-awd-70kwh-212kw-en-tenerife.htm?id=8092066,34900
9,Mg,Marvel R,Performance Awd 70kwh 212kw,2024,01,NUEVO,Eléctrico,288 CV,"directo, sin caja de cambios",5 puertas,BLANCO,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-performance-awd-70kwh-212kw-en-lugo.htm?id=8063980,44925
10,Mg,Marvel R,Performance Awd 70kwh 212kw,2024,01,15 km,Eléctrico,288 CV,"directo, sin caja de cambios",5 puertas,BLANCO,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-performance-awd-70kwh-212kw-en-lugo.htm?id=8063467,44925
11,Mg,Marvel R,Performance Awd 70kwh 212kw,2022,05,16.000 km,Eléctrico,288 CV,"directo, sin caja de cambios",5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-marvel+r-performance-awd-70kwh-212kw-en-madrid.htm?id=8058983,38000
12,Mg,Marvel R,Luxury Rwd 70kwh 132kw,2022,06,14.193 km,Eléctrico,179 CV,no link (0018),5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-marvel+r-luxury-rwd-70kwh-132kw-en-tenerife.htm?id=7982228,33900
13,Mg,Marvel R,Luxury Rwd 70kwh 132kw,2024,01,NUEVO,Eléctrico,179 CV,no link (0018),5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-luxury-rwd-70kwh-132kw-en-valladolid.htm?id=7789521,46300
14,Mg,Marvel R,Performance Awd 70kwh 212kw,2024,01,NUEVO,Eléctrico,288 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-performance-awd-70kwh-212kw-en-valladolid.htm?id=7789519,45900
15,Mg,Marvel R,Comfort Rwd 70kwh 132kw,2024,01,NUEVO,Eléctrico,179 CV,no link (0018),5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-comfort-rwd-70kwh-132kw-en-valladolid.htm?id=7735919,42980
16,Mg,Marvel R,Luxury Rwd 70kwh 132kw,2024,01,NUEVO,Eléctrico,179 CV,no link (0018),5 puertas,BLANCO,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-luxury-rwd-70kwh-132kw-en-cadiz.htm?id=7600805,48230
17,Mg,Marvel R,Luxury Rwd 70kwh 132kw,2024,01,0 km,Eléctrico,179 CV,no link (0018),5 puertas,BLANCO,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-luxury-rwd-70kwh-132kw-en-cadiz.htm?id=7599537,48230
18,Mg,Marvel R,Comfort Rwd 70kwh 132kw,2023,12,NUEVO,Eléctrico,179 CV,no link (0018),5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-marvel+r-comfort-rwd-70kwh-132kw-en-ourense.htm?id=7552487,41990
