,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Maserati,Quattroporte,4.2 Aut.,2008,01,60.000 km,Gasolina,400 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-42-aut-en-palmas+las.htm?id=7502181,24990
1,Maserati,Quattroporte,4.2 Duoselect,2004,12,92.280 km,Gasolina,400 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-42-duoselect-en-burgos.htm?id=8017583,23990
2,Maserati,Quattroporte,4.2 Duoselect,2005,,109.680 km,Gasolina,400 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-42-duoselect-en-alicante.htm?id=7677809,18800
3,Maserati,Quattroporte,S Q4 Aut.,2014,,98.000 km,Gasolina,410 CV,automática secuencial,4 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-s-q4-aut-en-navarra.htm?id=7402843,42000
4,Maserati,Quattroporte,4.7 Sport Gts Aut.,2010,,140.000 km,Gasolina,440 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-47-sport-gts-aut-en-barcelona.htm?id=7966987,22500
5,Maserati,Quattroporte,4.2 Executive Gt Duoselect,2006,,153.000 km,Gasolina,400 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-42-executive-gt-duoselect-en-tarragona.htm?id=7957790,17500
6,Maserati,Quattroporte,4.2 Executive Gt Aut.,2008,,60.000 km,Gasolina,400 CV,automática secuencial,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-42-executive-gt-aut-en-tarragona.htm?id=7781028,20000
7,Maserati,Quattroporte,S Granlusso Aut. 430,2020,,60.000 km,Gasolina,430 CV,automática secuencial,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-s-granlusso-aut-430-en-madrid.htm?id=7611807,72000
8,Maserati,Quattroporte,Diesel Aut.,2015,12,124.800 km,Diesel,275 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-diesel-aut-en-madrid.htm?id=8106509,37990
9,Maserati,Quattroporte,4.2 Aut.,2008,05,60.000 km,Gasolina,400 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-42-aut-en-madrid.htm?id=8072190,27980
10,Maserati,Quattroporte,4.2 Sport Gt Duoselect,2007,05,140.000 km,Gasolina,400 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-42-sport-gt-duoselect-en-coruna+a.htm?id=8065476,29990
11,Maserati,Quattroporte,Diesel Aut.,2015,10,99.000 km,Diesel,275 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-maserati-quattroporte-diesel-aut-en-alicante.htm?id=6335767,45999
