,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase V,V 250d Marco Polo Activity,2020,,122.260 km,Diesel,190 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-250d-marco-polo-activity-en-valencia.htm?id=8097549,38998
1,Mercedes,Clase V,V 220cdi Largo Avantgarde,2014,,220.000 km,Diesel,163 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220cdi-largo-avantgarde-en-madrid.htm?id=8122836,28990
2,Mercedes,Clase V,V 220d Largo 7g Tronic,2017,05,69.360 km,Diesel,163 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220d-largo-7g-tronic-en-toledo.htm?id=8079593,36999
3,Mercedes,Clase V,V 220cdi Largo Avantgarde 7g Tronic,2015,,99.000 km,Diesel,163 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220cdi-largo-avantgarde-7g-tronic-en-palencia.htm?id=8123828,35750
4,Mercedes,Clase V,V 220d Extralargo,2017,,73.100 km,Diesel,163 CV,automática,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220d-extralargo-en-cordoba.htm?id=8062335,42900
5,Mercedes,Clase V,V 220d Largo,2022,06,26.829 km,Diesel,163 CV,automática secuencial,4 puertas,Azul Cavansita,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220d-largo-en-barcelona.htm?id=8058769,53698
6,Mercedes,Clase V,V 250d Largo 7g Tronic,2018,,243.566 km,Diesel,190 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-250d-largo-7g-tronic-en-sevilla.htm?id=8022161,37999
7,Mercedes,Clase V,V 220d Extralargo Avantgarde 7gt,2018,,170.000 km,Diesel,163 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220d-extralargo-avantgarde-7gt-en-sevilla.htm?id=8129291,37990
8,Mercedes,Clase V,V 220d Largo Avantgarde,2022,,35.600 km,Diesel,163 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220d-largo-avantgarde-en-malaga.htm?id=8106429,66900
9,Mercedes,Clase V,V 220d Largo,2019,04,49.000 km,Diesel,163 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220d-largo-en-vizcaya.htm?id=8104592,48400
10,Mercedes,Clase V,V 220d Largo,2019,02,19.963 km,Diesel,163 CV,manual,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220d-largo-en-madrid.htm?id=8100615,47890
11,Mercedes,Clase V,V 220d Largo 7g Tronic,2019,,53.000 km,Diesel,163 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220d-largo-7g-tronic-en-sevilla.htm?id=8099775,74990
12,Mercedes,Clase V,V 220d Largo,2019,02,19.963 km,Diesel,163 CV,manual,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220d-largo-en-malaga.htm?id=8099107,47890
13,Mercedes,Clase V,V 220d Largo,2019,02,19.963 km,Diesel,163 CV,manual,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+v-v-220d-largo-en-sevilla.htm?id=8099053,47890
