,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Sprinter,Furgón 314cdi Medio T.e. Tt,2019,,179.950 km,Diesel,143 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-314cdi-medio-te-tt-en-girona.htm?id=7946933,18950
1,Mercedes,Sprinter,Furgón 211cdi Medio T.e. Td,2020,11,117.659 km,Diesel,114 CV,manual,4 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-211cdi-medio-te-td-en-valladolid.htm?id=7776363,25900
2,Mercedes,Sprinter,Furgón 315cdi Medio T.e. Tt,2023,,6 km,Diesel,150 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-mercedes-sprinter-furgon-315cdi-medio-te-tt-en-coruna+a.htm?id=7601697,39990
3,Mercedes,Sprinter,Ch.cb. 313bluetec Medio Rebajado,2016,,249.800 km,Diesel,129 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chcb-313bluetec-medio-rebajado-en-alicante.htm?id=7924290,12900
4,Mercedes,Sprinter,Ch.cb. 312 D 3000mm/3500kg,1996,,390.000 km,Diesel,122 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chcb-312-d-3000mm3500kg-en-sevilla.htm?id=8079224,10990
5,Mercedes,Sprinter,Furgón 316cdi Medio T.e.,2016,,322.544 km,Diesel,163 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-316cdi-medio-te-en-madrid.htm?id=8033827,13900
6,Mercedes,Sprinter,Chasis Cabina 311cdi Medio Td,2021,,1.000 km,Diesel,114 CV,manual,2 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chasis-cabina-311cdi-medio-td-en-palmas+las.htm?id=8020886,33990
7,Mercedes,Sprinter,Mixto 311cdi Largo T.e. Tt,2020,12,127.000 km,Diesel,114 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-mixto-311cdi-largo-te-tt-en-lugo.htm?id=8086079,24900
8,Mercedes,Sprinter,Mixto 311cdi Largo T.e. Tt,2020,12,114.000 km,Diesel,114 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-mixto-311cdi-largo-te-tt-en-lugo.htm?id=8085143,24900
9,Mercedes,Sprinter,Mixto 311cdi Largo T.e. Tt,2020,12,129.000 km,Diesel,114 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-mixto-311cdi-largo-te-tt-en-lugo.htm?id=8085142,24900
10,Mercedes,Sprinter,Mixto 311cdi Largo T.e. Tt,2020,12,107.000 km,Diesel,114 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-mixto-311cdi-largo-te-tt-en-lugo.htm?id=8077044,24900
11,Mercedes,Sprinter,Furgón 314cdi Medio T.e. Tt,2019,,90.000 km,Diesel,143 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-314cdi-medio-te-tt-en-sevilla.htm?id=8061614,32990
12,Mercedes,Sprinter,Mixto 313cdi Largo T.e.,2015,05,313.392 km,Diesel,129 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-mixto-313cdi-largo-te-en-sevilla.htm?id=8002638,17450
13,Mercedes,Sprinter,Mixto 314cdi Medio T.e Tt,2019,,78.948 km,Diesel,143 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-mixto-314cdi-medio-te-tt-en-coruna+a.htm?id=7944814,29990
14,Mercedes,Sprinter,Furgón 211cdi Medio T.e. Td,2023,,6 km,Diesel,114 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-mercedes-sprinter-furgon-211cdi-medio-te-td-en-girona.htm?id=8106642,39981
15,Mercedes,Sprinter,Furgón 314cdi Compacto,2017,,198.999 km,Diesel,143 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-314cdi-compacto-en-sevilla.htm?id=8097488,42000
16,Mercedes,Sprinter,Furgón 214cdi Medio T.e,2017,,197.654 km,Diesel,143 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-214cdi-medio-te-en-sevilla.htm?id=8097486,41999
17,Mercedes,Sprinter,Furgón 314cdi Largo T.e,2018,,165.000 km,Diesel,143 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-314cdi-largo-te-en-madrid.htm?id=8084909,22990
18,Mercedes,Sprinter,Furgón 311cdi Medio T.e. Td,2023,,5 km,Diesel,114 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-mercedes-sprinter-furgon-311cdi-medio-te-td-en-girona.htm?id=8083534,42363
19,Mercedes,Sprinter,Furgón 316cdi Largo T.e. Tt,2020,,79.500 km,Diesel,163 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-316cdi-largo-te-tt-en-coruna+a.htm?id=8083133,39890
20,Mercedes,Sprinter,Mixto 316cdi Medio,2012,,199.765 km,Diesel,163 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-mixto-316cdi-medio-en-sevilla.htm?id=8071714,22499
21,Mercedes,Sprinter,Furgón 311cdi Largo T.e. Tt,2019,,20.000 km,Diesel,114 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-311cdi-largo-te-tt-en-sevilla.htm?id=8037164,37990
22,Mercedes,Sprinter,Ch.dcb. 313cdi Largo,2016,08,415.925 km,Diesel,129 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chdcb-313cdi-largo-en-sevilla.htm?id=7969250,19750
23,Mercedes,Sprinter,Furgón 316cdi Medio T.e.,2014,,189.351 km,Diesel,163 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-316cdi-medio-te-en-granada.htm?id=7828536,27000
24,Mercedes,Sprinter,Furgón 311cdi Medio T.e. Td 7g-tronic Plus,2018,,184.342 km,Diesel,114 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-311cdi-medio-te-td-7g-tronic-plus-en-granada.htm?id=7762065,23000
25,Mercedes,Sprinter,Ch.dcb. 314cdi Largo,2019,01,706.000 km,Diesel,143 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chdcb-314cdi-largo-en-lugo.htm?id=8073003,15900
26,Mercedes,Sprinter,Furgón 315cdi Medio T.e. Td,2023,04,8.510 km,Diesel,150 CV,manual,4 puertas,Blanco Artico,Profesional,https://www.coches.com/km0/seminuevo-mercedes-sprinter-furgon-315cdi-medio-te-td-en-zamora.htm?id=8014932,43500
27,Mercedes,Sprinter,Furgón 313cdi Medio,2011,,166.587 km,Diesel,129 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-313cdi-medio-en-granada.htm?id=8009564,18900
28,Mercedes,Sprinter,Ch.dcb. 314cdi Largo,2017,07,152.477 km,Diesel,143 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chdcb-314cdi-largo-en-barcelona.htm?id=8003166,16550
29,Mercedes,Sprinter,Chasis Cabina 311cdi Compacto Td,2021,09,107.003 km,Diesel,114 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chasis-cabina-311cdi-compacto-td-en-sevilla.htm?id=7990351,28900
30,Mercedes,Sprinter,Ch.dcb. 316cdi Largo,2019,05,156.804 km,Diesel,163 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chdcb-316cdi-largo-en-zaragoza.htm?id=7979537,38500
31,Mercedes,Sprinter,Ch.dcb. 314cdi Largo,2017,11,148.816 km,Diesel,143 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chdcb-314cdi-largo-en-madrid.htm?id=7967047,22850
32,Mercedes,Sprinter,Chasis Cabina 311cdi Medio,2017,,234.499 km,Diesel,114 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-chasis-cabina-311cdi-medio-en-ciudad+real.htm?id=7955465,17990
33,Mercedes,Sprinter,Chasis Cabina 215cdi Medio Td,2023,08,4 km,Diesel,150 CV,manual,2 puertas,Blanco Ártico,Profesional,https://www.coches.com/km0/seminuevo-mercedes-sprinter-chasis-cabina-215cdi-medio-td-en-rioja+la.htm?id=7954813,45900
34,Mercedes,Sprinter,Chasis Cabina 311cdi Compacto Td,2023,08,2 km,Diesel,114 CV,manual,2 puertas,Blanco Ártico,Profesional,https://www.coches.com/km0/seminuevo-mercedes-sprinter-chasis-cabina-311cdi-compacto-td-en-rioja+la.htm?id=7952824,42800
35,Mercedes,Sprinter,Chasis Cabina 317cdi Largo Tt,2023,08,8 km,Diesel,170 CV,manual,2 puertas,Blanco Ártico,Profesional,https://www.coches.com/km0/seminuevo-mercedes-sprinter-chasis-cabina-317cdi-largo-tt-en-rioja+la.htm?id=7948450,51900
36,Mercedes,Sprinter,Furgón 316cdi Largo T.e. Tt,2020,,183.000 km,Diesel,163 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-316cdi-largo-te-tt-en-granada.htm?id=7948046,35490
37,Mercedes,Sprinter,Combi 313cdi Largo T.e.,2011,,235.433 km,Diesel,129 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-combi-313cdi-largo-te-en-sevilla.htm?id=7938675,21999
38,Mercedes,Sprinter,Furgón 316cdi Largo T.e. Tt,2018,,151.000 km,Diesel,163 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-sprinter-furgon-316cdi-largo-te-tt-en-coruna+a.htm?id=7932019,31800
