,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mitsubishi,Asx,160di-d Motion,2017,,130.456 km,Diesel,114 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-160di-d-motion-en-madrid.htm?id=8122195,14150
1,Mitsubishi,Asx,180di-d Motion,2012,,121.000 km,Diesel,116 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-180di-d-motion-en-alicante.htm?id=8050500,9999
2,Mitsubishi,Asx,160 Mpi Challenge,2011,,174.000 km,Gasolina,117 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-160-mpi-challenge-en-sevilla.htm?id=7904185,8900
3,Mitsubishi,Asx,160 Hev Kaiteki,2023,,NUEVO,Híbrido,145 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-asx-160-hev-kaiteki-en-madrid.htm?id=8106878,30975
4,Mitsubishi,Asx,160 Hev Kaiteki,2023,,NUEVO,Híbrido,145 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-asx-160-hev-kaiteki-en-madrid.htm?id=8089692,30954
5,Mitsubishi,Asx,160 Mpi Motion,2018,,77.706 km,Gasolina,117 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-160-mpi-motion-en-tenerife.htm?id=7970324,17490
6,Mitsubishi,Asx,200di-d Kaiteki 4wd,2013,05,70.745 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-200di-d-kaiteki-4wd-en-barcelona.htm?id=8103782,13499
7,Mitsubishi,Asx,160 Mpi Motion,2013,11,189.999 km,Gasolina,117 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-160-mpi-motion-en-barcelona.htm?id=8084174,9999
8,Mitsubishi,Asx,130t Mhev Kaiteki,2023,,8.000 km,Gasolina,140 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-asx-130t-mhev-kaiteki-en-madrid.htm?id=8083481,25450
9,Mitsubishi,Asx,160 Mpi Motion,2014,06,53.333 km,Gasolina,117 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-asx-160-mpi-motion-en-toledo.htm?id=8127074,13899
