,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Almera,1.5 Visia,2004,,283.000 km,Gasolina,98 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-15-visia-en-vizcaya.htm?id=8023435,2500
1,Nissan,Almera,2.2di Acenta,2002,,320.000 km,Diesel,110 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-22di-acenta-en-alicante.htm?id=8097982,1200
2,Nissan,Almera,1.4 Gx,1998,,88.421 km,Gasolina,87 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-14-gx-en-vizcaya.htm?id=7970170,950
3,Nissan,Almera,2.2 Di Comfort,2001,,347.311 km,Diesel,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-22-di-comfort-en-alicante.htm?id=7763584,1000
4,Nissan,Almera,2.2 Di Sport,2001,,240.000 km,Diesel,110 CV,manual,3 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-22-di-sport-en-madrid.htm?id=7678527,1500
5,Nissan,Almera,1.8 Sport,2001,,208.000 km,Gasolina,114 CV,manual,3 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-18-sport-en-tarragona.htm?id=7946911,1500
6,Nissan,Almera,1.6 Gx 4p.,1997,,123.000 km,Gasolina,100 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-16-gx-4p-en-toledo.htm?id=7908968,990
7,Nissan,Almera,1.4 Lx,1998,,117.580 km,Gasolina,87 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-14-lx-en-jaen.htm?id=7809006,2200
8,Nissan,Almera,2.2 Di Luxury,2001,,271.255 km,Diesel,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-22-di-luxury-en-madrid.htm?id=7064622,1500
9,Nissan,Almera,2.2 Di Comfort,2002,,340.350 km,Diesel,110 CV,manual,3 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-22-di-comfort-en-segovia.htm?id=7770174,700
10,Nissan,Almera,2.2 Di Comfort,2001,,370.000 km,Diesel,110 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-22-di-comfort-en-coruna+a.htm?id=7703994,1000
11,Nissan,Almera,2.2 Di Comfort,2000,,194.204 km,Diesel,110 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-22-di-comfort-en-illes+balears.htm?id=7701019,3000
12,Nissan,Almera,Tino 1.8 Acenta,2005,,157.000 km,Gasolina,116 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-tino-18-acenta-en-illes+balears.htm?id=7696779,4000
13,Nissan,Almera,1.5 Visia,2005,,285.000 km,Gasolina,98 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-15-visia-en-palmas+las.htm?id=7790458,3000
14,Nissan,Almera,2.2dci Line Up,2006,,160.000 km,Diesel,112 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-22dci-line-up-en-castellon.htm?id=7368887,1500
15,Nissan,Almera,2.2dci Visia,2004,11,183.922 km,Diesel,112 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-almera-22dci-visia-en-cantabria.htm?id=8124736,1999
