,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Nv250,Furgón 1.5dci Óptima L2h1 3pl. 95,2020,,86.450 km,Diesel,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-optima-l2h1-3pl-95-en-sevilla.htm?id=7815329,18490
1,Nissan,Nv250,Furgón 1.5dci Comfort L1h1 2pl. 95,2020,,80.000 km,Diesel,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-comfort-l1h1-2pl-95-en-sevilla.htm?id=7749970,11200
2,Nissan,Nv250,Furgón 1.5dci Óptima L2h1 2pl. 115,2021,08,71.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-optima-l2h1-2pl-115-en-lleida.htm?id=8001028,17550
3,Nissan,Nv250,Furgón 1.5dci Óptima L1h1 2pl. 95,2021,03,31.004 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-optima-l1h1-2pl-95-en-murcia.htm?id=8074215,19250
4,Nissan,Nv250,Furgón 1.5dci Comfort L2h1 4pl. 115,2021,08,49.994 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-comfort-l2h1-4pl-115-en-madrid.htm?id=8070061,19990
5,Nissan,Nv250,Furgón 1.5dci Comfort L2h1 3pl. 95,2019,01,57.000 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-comfort-l2h1-3pl-95-en-madrid.htm?id=8049728,15990
6,Nissan,Nv250,Furgón 1.5dci Óptima L1h1 2pl. 95,2020,08,78.104 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-optima-l1h1-2pl-95-en-alicante.htm?id=8039963,16995
7,Nissan,Nv250,Furgón 1.5dci Comfort L2h1 4pl. 95,2021,12,16.000 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-comfort-l2h1-4pl-95-en-madrid.htm?id=8012842,16490
8,Nissan,Nv250,Furgón 1.5dci Óptima L1h1 2pl. 95,2021,03,70.154 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-optima-l1h1-2pl-95-en-albacete.htm?id=7999548,17995
9,Nissan,Nv250,Furgón 1.5dci Comfort L1h1 2pl. 80,2021,11,11.600 km,Diesel,80 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-comfort-l1h1-2pl-80-en-lugo.htm?id=7980950,17900
10,Nissan,Nv250,Furgón 1.5dci Óptima L1h1 2pl. 95,2021,03,70.154 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-optima-l1h1-2pl-95-en-alicante.htm?id=7868214,17995
11,Nissan,Nv250,Furgón 1.5dci Óptima L1h1 2pl. 95,2021,03,31.004 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-optima-l1h1-2pl-95-en-alicante.htm?id=7866082,19250
12,Nissan,Nv250,Furgón 1.5dci Comfort L1h1 2pl. 80,2019,11,112.247 km,Diesel,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv250-furgon-15dci-comfort-l1h1-2pl-80-en-madrid.htm?id=7789477,12590
