,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Qashqai,E-power N-connecta 4x2 140kw,2023,,2.400 km,Gasolina,190 CV,"directo, sin caja de cambios",5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-e-power-n-connecta-4x2-140kw-en-albacete.htm?id=8015749,34950
1,Nissan,Qashqai,1.5dci Acenta Dct 4x2 85kw,2020,11,38.752 km,Diesel,115 CV,automática secuencial,5 puertas,Oro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-dct-4x2-85kw-en-barcelona.htm?id=7827099,19900
2,Nissan,Qashqai,1.3 Dig-t N-connecta 4x2 Dct 117kw,2022,11,17.000 km,Gasolina,160 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-n-connecta-4x2-dct-117kw-en-palmas+las.htm?id=8090864,34995
3,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2021,11,25.000 km,Gasolina,140 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-madrid.htm?id=8080257,23995
4,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2020,,102.100 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-sevilla.htm?id=8068986,20490
5,Nissan,Qashqai,1.5dci Acenta 4x2 85kw,2018,,70.729 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-85kw-en-sevilla.htm?id=8015455,18950
6,Nissan,Qashqai,1.3 Dig-t N-connecta 4x2 Dct 117kw,2019,01,55.853 km,Gasolina,160 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-n-connecta-4x2-dct-117kw-en-alicante.htm?id=7994825,23700
7,Nissan,Qashqai,1.3 Dig-t N-connecta 4x2 Dct 117kw,2019,01,55.853 km,Gasolina,160 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-n-connecta-4x2-dct-117kw-en-alicante.htm?id=7994824,23700
8,Nissan,Qashqai,1.3 Dig-t N-connecta 4x2 103kw,2022,03,8.134 km,Gasolina,140 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-n-connecta-4x2-103kw-en-barcelona.htm?id=7878241,29500
9,Nissan,Qashqai,1.3 Dig-t Mhev 12v N-connecta 4x2 103kw,2022,,6.278 km,Gasolina,140 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-n-connecta-4x2-103kw-en-toledo.htm?id=8105301,29950
10,Nissan,Qashqai,1.3 Dig-t Mhev 12v N-connecta 4x2 Aut. 116kw,2023,,4.000 km,Gasolina,158 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-n-connecta-4x2-aut-116kw-en-albacete.htm?id=7795930,33650
11,Nissan,Qashqai,1.3 Dig-t Mhev 12v Acenta 4x2 103kw,2023,,NUEVO,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-acenta-4x2-103kw-en-burgos.htm?id=8062525,31250
12,Nissan,Qashqai,1.3 Dig-t Mhev 12v N-connecta 4x2 Aut. 116kw,2023,,NUEVO,Gasolina,158 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-n-connecta-4x2-aut-116kw-en-burgos.htm?id=8062318,35045
13,Nissan,Qashqai,1.7dci Acenta 4x4-i,2019,,98.245 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-17dci-acenta-4x4-i-en-ciudad+real.htm?id=8112235,16990
14,Nissan,Qashqai,1.6 Dig-t Acenta 4x2,2018,01,62.044 km,Gasolina,163 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-16-dig-t-acenta-4x2-en-toledo.htm?id=8070196,17299
15,Nissan,Qashqai,1.6dci Visia 4x4-i,2017,,119.000 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-16dci-visia-4x4-i-en-barcelona.htm?id=8067107,13999
16,Nissan,Qashqai,1.3 Dig-t Mhev 12v Acenta 4x2 103kw,2022,,7.681 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-acenta-4x2-103kw-en-toledo.htm?id=8057783,25450
17,Nissan,Qashqai,1.6dci S&s Tekna Premium 4x2 18´´,2012,,236.094 km,Diesel,130 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-16dci-s_s-tekna-premium-4x2-18-en-madrid.htm?id=8056339,7900
18,Nissan,Qashqai,1.3 Dig-t Mhev 12v Acenta 4x2 103kw,2022,10,12.963 km,Gasolina,140 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-mhev-12v-acenta-4x2-103kw-en-barcelona.htm?id=8040867,24500
19,Nissan,Qashqai,1.3 Dig-t Mhev 12v Acenta 4x2 103kw,2023,03,10 km,Gasolina,140 CV,manual,5 puertas,Oro,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-acenta-4x2-103kw-en-barcelona.htm?id=8008671,26900
20,Nissan,Qashqai,1.3 Dig-t Mhev 12v N-go 4x2 Aut. 116kw,2022,05,9.000 km,Gasolina,158 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-n-go-4x2-aut-116kw-en-barcelona.htm?id=7828980,27900
21,Nissan,Qashqai,E-power Tekna 4x2 140kw,2022,10,2.431 km,Gasolina,190 CV,"directo, sin caja de cambios",5 puertas,BLANCO PERLADO AZUL,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-e-power-tekna-4x2-140kw-en-valencia.htm?id=7817063,35900
22,Nissan,Qashqai,E-power Tekna 4x2 140kw,2022,10,7.008 km,Gasolina,190 CV,"directo, sin caja de cambios",5 puertas,BLANCO PERLADO AZUL,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-e-power-tekna-4x2-140kw-en-valencia.htm?id=7817061,35900
23,Nissan,Qashqai,2.0dci Acenta 4x2,2011,,193.000 km,Diesel,150 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-20dci-acenta-4x2-en-madrid.htm?id=8128203,7999
24,Nissan,Qashqai,2.0 Tekna Sport 4x2 18´´,2010,,140.000 km,Gasolina,140 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-20-tekna-sport-4x2-18-en-barcelona.htm?id=8125562,8400
25,Nissan,Qashqai,1.5dci Acenta 4x2 85kw,2019,,34.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-85kw-en-cadiz.htm?id=8123945,17900
26,Nissan,Qashqai,1.6 Visia 4x2,2009,,200.000 km,Gasolina,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-16-visia-4x2-en-sevilla.htm?id=8119816,5800
27,Nissan,Qashqai,1.7dci Acenta 4x4-i,2019,,93.900 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-17dci-acenta-4x4-i-en-barcelona.htm?id=8107113,17990
28,Nissan,Qashqai,1.6dci Visia 4x4-i,2017,,148.000 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-16dci-visia-4x4-i-en-palmas+las.htm?id=8097493,13490
29,Nissan,Qashqai,E-power N-connecta 4x2 140kw,2023,,6.000 km,Gasolina,190 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-e-power-n-connecta-4x2-140kw-en-toledo.htm?id=8082427,32450
30,Nissan,Qashqai,Q+2 1.6dci Acenta 4x2,2012,,240.000 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-q+2-16dci-acenta-4x2-en-tarragona.htm?id=8082105,7500
31,Nissan,Qashqai,Q+2 1.6dci Acenta 4x2,2012,,240.000 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-q+2-16dci-acenta-4x2-en-tarragona.htm?id=8082104,7500
32,Nissan,Qashqai,E-power Black Edition 4x2 140kw,2023,11,1 km,Gasolina,190 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-e-power-black-edition-4x2-140kw-en-barcelona.htm?id=8048835,36500
33,Nissan,Qashqai,1.5dci Acenta 4x2,2017,08,87.875 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-en-toledo.htm?id=8046672,14699
34,Nissan,Qashqai,1.2 Dig-t N-tec,2014,03,118.999 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-12-dig-t-n-tec-en-barcelona.htm?id=8028082,13995
35,Nissan,Qashqai,1.3 Dig-t Mhev 12v Acenta 4x2 Aut. 116kw,2023,03,10 km,Gasolina,158 CV,automática continua,5 puertas,Oro,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-acenta-4x2-aut-116kw-en-barcelona.htm?id=8012401,30900
36,Nissan,Qashqai,1.5dci Tekna Premium 4x2,2015,04,80.990 km,Diesel,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-tekna-premium-4x2-en-toledo.htm?id=8128893,13899
37,Nissan,Qashqai,E-power N-connecta 4x2 140kw,2022,01,18.392 km,Gasolina,190 CV,"directo, sin caja de cambios",5 puertas,BLANCO PERLADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-e-power-n-connecta-4x2-140kw-en-vizcaya.htm?id=8110787,34750
38,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2020,,93.900 km,Gasolina,140 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-malaga.htm?id=8101268,16899
39,Nissan,Qashqai,1.5dci Acenta 4x2,2016,03,89.801 km,Diesel,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-en-toledo.htm?id=8099630,14199
40,Nissan,Qashqai,1.2 Dig-t Tekna 4x2,2015,06,89.000 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-12-dig-t-tekna-4x2-en-tarragona.htm?id=8078304,12999
41,Nissan,Qashqai,1.6dci Acenta 4x4-i,2017,,156.000 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-16dci-acenta-4x4-i-en-badajoz.htm?id=8070304,13900
42,Nissan,Qashqai,1.3 Dig-t Mhev 12v Acenta 4x2 103kw,2023,,NUEVO,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-acenta-4x2-103kw-en-burgos.htm?id=8062528,28765
43,Nissan,Qashqai,1.3 Dig-t Mhev 12v Acenta 4x2 103kw,2023,,NUEVO,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-acenta-4x2-103kw-en-burgos.htm?id=8062527,28530
44,Nissan,Qashqai,1.3 Dig-t Mhev 12v Acenta 4x2 103kw,2023,,NUEVO,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-13-dig-t-mhev-12v-acenta-4x2-103kw-en-burgos.htm?id=8062516,28535
45,Nissan,Qashqai,1.3 Dig-t Mhev 12v N-connecta 4x2 Aut. 116kw,2023,,26.000 km,Gasolina,158 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-mhev-12v-n-connecta-4x2-aut-116kw-en-toledo.htm?id=8057853,29950
46,Nissan,Qashqai,1.3 Dig-t Mhev 12v N-connecta 4x2 Aut. 116kw,2023,,25.000 km,Gasolina,158 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-mhev-12v-n-connecta-4x2-aut-116kw-en-toledo.htm?id=8057832,29950
47,Nissan,Qashqai,1.3 Dig-t Mhev 12v N-connecta 4x2 Aut. 116kw,2023,,28.090 km,Gasolina,158 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-mhev-12v-n-connecta-4x2-aut-116kw-en-toledo.htm?id=8057819,29450
48,Nissan,Qashqai,E-power Tekna 4x2 140kw,2023,05,1.500 km,Gasolina,190 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-nissan-qashqai-e-power-tekna-4x2-140kw-en-barcelona.htm?id=7985042,36900
49,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2019,,69.000 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-zaragoza.htm?id=8125227,17900
50,Nissan,Qashqai,1.5dci Acenta 4x2 85kw,2019,12,61.040 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-85kw-en-valencia.htm?id=8116849,17989
51,Nissan,Qashqai,1.7dci Acenta 4x4-i,2019,,187.031 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-17dci-acenta-4x4-i-en-toledo.htm?id=8112608,15450
52,Nissan,Qashqai,1.5dci Acenta 4x2,2018,,62.138 km,Diesel,110 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-15dci-acenta-4x2-en-guadalajara.htm?id=8104389,17500
53,Nissan,Qashqai,Q+2 2.0 Acenta 4x2,2009,,274.000 km,Gasolina,140 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-q+2-20-acenta-4x2-en-salamanca.htm?id=8101058,6500
