,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Antara,2.0cdti 16v Cosmo,2008,,198.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-16v-cosmo-en-murcia.htm?id=8100980,6600
1,Opel,Antara,2.0cdti 16v Cosmo Aut.,2007,,169.000 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-16v-cosmo-aut-en-murcia.htm?id=7997307,7900
2,Opel,Antara,2.0cdti Energy Aut. 150,2009,,158.000 km,Diesel,150 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-energy-aut-150-en-granada.htm?id=7708340,13500
3,Opel,Antara,2.0cdti Cosmo Plus 150,2010,,185.000 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-cosmo-plus-150-en-malaga.htm?id=8014475,8995
4,Opel,Antara,2.2cdti Excellence S&s 4x4 184,2014,,140.000 km,Diesel,184 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-22cdti-excellence-s_s-4x4-184-en-almeria.htm?id=7803287,7600
5,Opel,Antara,2.0cdti 16v Cosmo,2008,,83.000 km,Diesel,150 CV,manual,5 puertas,marrón,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-16v-cosmo-en-navarra.htm?id=7913101,7500
6,Opel,Antara,2.2cdti Cosmo 184,2011,,194.000 km,Diesel,184 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-22cdti-cosmo-184-en-madrid.htm?id=7998207,8690
7,Opel,Antara,2.0cdti 16v Cosmo Aut.,2007,,199.000 km,Diesel,150 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-16v-cosmo-aut-en-navarra.htm?id=7962129,6500
8,Opel,Antara,2.0cdti 16v Cosmo Aut.,2007,,186.000 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-16v-cosmo-aut-en-madrid.htm?id=7796734,5700
9,Opel,Antara,2.0cdti 16v Cosmo Aut.,2007,,200.000 km,Diesel,150 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-16v-cosmo-aut-en-tenerife.htm?id=7661975,7000
10,Opel,Antara,2.0cdti 16v Cosmo,2008,,270.000 km,Diesel,150 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-16v-cosmo-en-teruel.htm?id=7735482,4900
11,Opel,Antara,2.0cdti Cosmo Plus 150,2009,,201.000 km,Diesel,150 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-cosmo-plus-150-en-vizcaya.htm?id=8097776,6000
12,Opel,Antara,2.0cdti 16v Cosmo,2007,,270.000 km,Diesel,150 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-16v-cosmo-en-navarra.htm?id=7842201,4500
13,Opel,Antara,2.2cdti Selective S&s 4x2,2013,10,117.000 km,Diesel,163 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-22cdti-selective-s_s-4x2-en-asturias.htm?id=8124584,10900
14,Opel,Antara,2.0cdti Cosmo Plus 150,2008,07,262.000 km,Diesel,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-cosmo-plus-150-en-madrid.htm?id=8106222,3650
15,Opel,Antara,2.2cdti Selective S&s 4x2,2012,01,165.306 km,Diesel,163 CV,manual,5 puertas,PLATA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-22cdti-selective-s_s-4x2-en-rioja+la.htm?id=8080956,10500
16,Opel,Antara,2.2cdti Excellence 4x4 Aut. 184,2013,01,165.000 km,Diesel,184 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-22cdti-excellence-4x4-aut-184-en-alicante.htm?id=8074748,11999
17,Opel,Antara,2.0cdti Cosmo Plus 150,2009,06,314.576 km,Diesel,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-20cdti-cosmo-plus-150-en-coruna+a.htm?id=8055753,7750
18,Opel,Antara,2.2cdti Selective S&s 4x2,2013,09,148.000 km,Diesel,163 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-22cdti-selective-s_s-4x2-en-madrid.htm?id=8053066,7970
19,Opel,Antara,2.2cdti Selective S&s 4x2,2013,08,158.310 km,Diesel,163 CV,manual,5 puertas,Blanco Alpino (sólido),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-antara-22cdti-selective-s_s-4x2-en-zaragoza.htm?id=8024395,9995
