,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Astra,1.6t Phev S/s Elegance Aut. 180,2023,01,1 km,Híbrido,180 CV,automática,5 puertas,Kristall Silver,Profesional,https://www.coches.com/km0/seminuevo-opel-astra-16t-phev-ss-elegance-aut-180-en-madrid.htm?id=8059963,32500
1,Opel,Astra,1.2t Xhl S/s Edition 110,2023,,NUEVO,Gasolina,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-opel-astra-12t-xhl-ss-edition-110-en-valencia.htm?id=7958174,21990
2,Opel,Astra,1.5d S/s 2020 105,2020,,112.000 km,Diesel,105 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-15d-ss-2020-105-en-jaen.htm?id=8123049,11800
3,Opel,Astra,St 1.6cdti Dynamic 110,2019,,135.000 km,Diesel,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-st-16cdti-dynamic-110-en-sevilla.htm?id=8107143,10990
4,Opel,Astra,1.2t S/s Edition 110,2021,,55.410 km,Gasolina,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-12t-ss-edition-110-en-zaragoza.htm?id=8021145,16500
5,Opel,Astra,1.2t Xht S/s Elegance Aut. 130,2023,08,1.500 km,Gasolina,130 CV,automática,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-astra-12t-xht-ss-elegance-aut-130-en-barcelona.htm?id=7993314,25900
6,Opel,Astra,1.6cdti S/s Excellence 136,2016,,100.452 km,Diesel,136 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-16cdti-ss-excellence-136-en-barcelona.htm?id=7982667,12499
7,Opel,Astra,1.6t Phev S/s Gse Aut. 225,2023,05,6.500 km,Híbrido,225 CV,automática,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-astra-16t-phev-ss-gse-aut-225-en-jaen.htm?id=7836359,36950
8,Opel,Astra,Sedán 1.7cdti Edition110,2009,,284.445 km,Diesel,110 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-sedan-17cdti-edition110-en-ciudad+real.htm?id=8091571,3950
9,Opel,Astra,1.4t Excellence Aut.,2013,,118.000 km,Gasolina,140 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-14t-excellence-aut-en-madrid.htm?id=8125646,7995
