,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Insignia Country Tourer,2.0cdti S&s 4x4 170,2015,06,155.000 km,Diesel,170 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-4x4-170-en-barcelona.htm?id=8088931,8999
1,Opel,Insignia Country Tourer,2.0cdti S&s Aut. 170,2014,03,77.000 km,Diesel,170 CV,automática secuencial,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-aut-170-en-barcelona.htm?id=7922554,13699
2,Opel,Insignia Country Tourer,2.0cdti S&s Aut. 170,2016,05,214.000 km,Diesel,170 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-aut-170-en-barcelona.htm?id=8069450,8999
3,Opel,Insignia Country Tourer,2.0cdti S&s Aut. 170,2013,03,149.000 km,Diesel,170 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-aut-170-en-barcelona.htm?id=7988769,10499
4,Opel,Insignia Country Tourer,2.0cdti S&s 4x4 170,2018,03,89.670 km,Diesel,170 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-4x4-170-en-valencia.htm?id=7843848,21970
5,Opel,Insignia Country Tourer,2.0cdti S&s Aut. 170,2015,09,169.102 km,Diesel,170 CV,automática secuencial,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-aut-170-en-madrid.htm?id=8113405,9490
6,Opel,Insignia Country Tourer,2.0cdti S&s Aut. 170,2019,09,47.645 km,Diesel,170 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-aut-170-en-alicante.htm?id=8106106,21995
7,Opel,Insignia Country Tourer,2.0cdti S&s Aut. 170,2019,06,88.849 km,Diesel,170 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-aut-170-en-alicante.htm?id=8106087,20775
8,Opel,Insignia Country Tourer,2.0cdti S&s Aut. 170,2019,07,79.129 km,Diesel,170 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-aut-170-en-alicante.htm?id=8106085,20775
9,Opel,Insignia Country Tourer,2.0cdti S&s Aut. 170,2019,06,88.849 km,Diesel,170 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-aut-170-en-murcia.htm?id=8105365,20775
10,Opel,Insignia Country Tourer,2.0cdti S&s 4x4 170,2018,03,122.438 km,Diesel,170 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-4x4-170-en-sevilla.htm?id=8097671,13900
11,Opel,Insignia Country Tourer,2.0cdti S&s Aut. 170,2015,09,87.463 km,Diesel,170 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-aut-170-en-granada.htm?id=8064107,11990
12,Opel,Insignia Country Tourer,2.0cdti S&s Aut. 170,2018,12,95.572 km,Diesel,170 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-aut-170-en-madrid.htm?id=8031594,17990
13,Opel,Insignia Country Tourer,2.0cdti S&s 4x4 170,2018,05,137.000 km,Diesel,170 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia+country+tourer-20cdti-s_s-4x4-170-en-madrid.htm?id=8029552,13990
