,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Meriva,1.6cdti S&s Selective,2014,04,59.541 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-16cdti-s_s-selective-en-toledo.htm?id=8108424,9699
1,Opel,Meriva,1.6cdti S&s Selective,2015,07,279.331 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-16cdti-s_s-selective-en-sevilla.htm?id=8034182,5450
2,Opel,Meriva,1.4 Nel Selective 120,2014,,110.000 km,Gasolina,120 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-14-nel-selective-120-en-palmas+las.htm?id=8120735,8990
3,Opel,Meriva,1.4 Nel Selective Aut. 120,2016,,73.000 km,Gasolina,120 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-14-nel-selective-aut-120-en-alicante.htm?id=8104385,12999
4,Opel,Meriva,1.7cdti Enjoy 110,2011,01,247.800 km,Diesel,110 CV,manual,5 puertas,PLATA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-17cdti-enjoy-110-en-madrid.htm?id=8056328,5900
5,Opel,Meriva,1.4 Nel Selective 120,2017,,48.100 km,Gasolina,120 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-14-nel-selective-120-en-illes+balears.htm?id=8035122,14200
6,Opel,Meriva,1.6cdti S&s Ecoflex Selective,2017,,96.800 km,Diesel,110 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-16cdti-s_s-ecoflex-selective-en-huelva.htm?id=7766609,11950
7,Opel,Meriva,1.3cdti Enjoy,2006,,156.000 km,Diesel,75 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-13cdti-enjoy-en-barcelona.htm?id=8123641,3990
8,Opel,Meriva,1.7cdti Enjoy,2008,,191.000 km,Diesel,100 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-17cdti-enjoy-en-malaga.htm?id=8100923,4995
9,Opel,Meriva,1.6 Xep Cosmo,2008,,203.000 km,Gasolina,105 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-16-xep-cosmo-en-toledo.htm?id=8091021,4575
10,Opel,Meriva,1.4 Nel Selective 120,2016,,900.000 km,Gasolina,120 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-14-nel-selective-120-en-sevilla.htm?id=8030159,8900
11,Opel,Meriva,1.4 Nel Selective,2013,06,114.000 km,Gasolina,120 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-14-nel-selective-en-coruna+a.htm?id=7992838,8990
12,Opel,Meriva,1.6cdti S&s Ecoflex Selective,2017,09,119.578 km,Diesel,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-meriva-16cdti-s_s-ecoflex-selective-en-palmas+las.htm?id=7902618,10995
