,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Zafira,Tourer 2.0cdti Excellence 165,2013,,225.000 km,Diesel,165 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-tourer-20cdti-excellence-165-en-madrid.htm?id=8125751,6995
1,Opel,Zafira,2.0cdti S/s Excellence 170,2017,06,47.858 km,Diesel,170 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-20cdti-ss-excellence-170-en-toledo.htm?id=8061098,15199
2,Opel,Zafira,Tourer 1.6cdti S/s Selective 136,2016,,160.000 km,Diesel,136 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-tourer-16cdti-ss-selective-136-en-ciudad+real.htm?id=7968956,9990
3,Opel,Zafira,1.7cdti Family 110,2014,,140.000 km,Diesel,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-17cdti-family-110-en-sevilla.htm?id=7968592,7500
4,Opel,Zafira,1.9cdti Cosmo 120,2007,,217.000 km,Diesel,120 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-19cdti-cosmo-120-en-madrid.htm?id=8125639,3750
5,Opel,Zafira,Tourer 2.0cdti Excellence 165 Aut.,2012,,165.000 km,Diesel,165 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-tourer-20cdti-excellence-165-aut-en-barcelona.htm?id=8086927,9990
6,Opel,Zafira,Tourer 2.0cdti Selective 165,2013,01,105.507 km,Diesel,165 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-tourer-20cdti-selective-165-en-toledo.htm?id=8068649,11199
7,Opel,Zafira,1.7cdti Family 110,2014,,124.200 km,Diesel,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-17cdti-family-110-en-zaragoza.htm?id=8120850,11950
8,Opel,Zafira,Tourer 1.6cdti S/s Selective 136,2017,06,133.000 km,Diesel,136 CV,manual,5 puertas,Gris claro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-tourer-16cdti-ss-selective-136-en-cordoba.htm?id=8106498,15480
9,Opel,Zafira,1.6cdti S/s Expression 120,2016,,213.684 km,Diesel,120 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-16cdti-ss-expression-120-en-castellon.htm?id=8082480,12500
10,Opel,Zafira,Tourer 1.6cdti S/s Excellence 136,2015,12,40.000 km,Diesel,136 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-tourer-16cdti-ss-excellence-136-en-barcelona.htm?id=8072078,14990
11,Opel,Zafira,1.6 T S/s 120 Aniversario,2019,01,50.297 km,Gasolina,136 CV,manual,5 puertas,GRIS ACERO MET C501BE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-16-t-ss-120-aniversario-en-vizcaya.htm?id=8068445,18700
