,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Peugeot,407,1.8 Sr Confort 123,2006,,130.000 km,Gasolina,123 CV,manual,4 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-18-sr-confort-123-en-valencia.htm?id=8104718,4200
1,Peugeot,407,Coupé 3.0hdi V6 Aut.,2010,,189.000 km,Diesel,240 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-coupe-30hdi-v6-aut-en-toledo.htm?id=8066957,8900
2,Peugeot,407,Sw 2.0 Confort,2008,04,143.400 km,Gasolina,140 CV,manual,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-sw-20-confort-en-barcelona.htm?id=7828919,3699
3,Peugeot,407,Sw 2.0hdi St Sport Pack,2005,,230.000 km,Diesel,136 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-sw-20hdi-st-sport-pack-en-malaga.htm?id=8104403,4990
4,Peugeot,407,Sw 2.0hdi St Confort,2005,,231.000 km,Diesel,136 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-sw-20hdi-st-confort-en-malaga.htm?id=8104396,4990
5,Peugeot,407,2.0hdi Sport,2008,,190.000 km,Diesel,136 CV,automática,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-20hdi-sport-en-vizcaya.htm?id=7790079,5500
6,Peugeot,407,Coupé 2.2 Pack,2006,03,200.000 km,Gasolina,163 CV,manual,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-coupe-22-pack-en-coruna+a.htm?id=7916522,7990
7,Peugeot,407,1.6hdi Confort,2007,,170.000 km,Diesel,110 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-16hdi-confort-en-sevilla.htm?id=8038309,2900
8,Peugeot,407,2.0 St Confort 143,2006,,195.000 km,Gasolina,143 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-20-st-confort-143-en-avila.htm?id=7758741,3490
9,Peugeot,407,1.6hdi Sport,2007,,334.000 km,Diesel,110 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-16hdi-sport-en-avila.htm?id=7703846,2290
10,Peugeot,407,1.6hdi Sport,2008,,202.500 km,Diesel,110 CV,manual,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-16hdi-sport-en-sevilla.htm?id=8116083,3600
11,Peugeot,407,1.6hdi St Sport,2007,,185.000 km,Diesel,110 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-16hdi-st-sport-en-navarra.htm?id=8078267,2950
12,Peugeot,407,2.0hdi Premium,2009,,196.000 km,Diesel,136 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-20hdi-premium-en-tarragona.htm?id=8122949,3000
13,Peugeot,407,2.0hdi St Sport,2004,,190.000 km,Diesel,136 CV,manual,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-20hdi-st-sport-en-madrid.htm?id=8110744,2900
14,Peugeot,407,2.0hdi St Confort Pack,2004,,199.900 km,Diesel,136 CV,manual,4 puertas,beige,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-20hdi-st-confort-pack-en-murcia.htm?id=8074494,2900
15,Peugeot,407,2.0hdi St Confort Pack,2006,,175.000 km,Diesel,136 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-20hdi-st-confort-pack-en-albacete.htm?id=8093023,1900
16,Peugeot,407,1.6hdi St Confort,2005,,156.000 km,Diesel,110 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-16hdi-st-confort-en-valladolid.htm?id=8001620,3500
17,Peugeot,407,2.0hdi St Confort,2005,,230.000 km,Diesel,136 CV,manual,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-20hdi-st-confort-en-ciudad+real.htm?id=8033563,3500
18,Peugeot,407,2.0hdi Sport,2007,,407.400 km,Diesel,136 CV,manual,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-407-20hdi-sport-en-madrid.htm?id=8030693,3300
