,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Peugeot,Rifter,1.5bluehdi S&s Long Access 100,2020,06,121.500 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-access-100-en-ourense.htm?id=7951601,13500
1,Peugeot,Rifter,1.5bluehdi S&s Long Active 100,2019,10,112.061 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-active-100-en-coruna+a.htm?id=7892223,13885
2,Peugeot,Rifter,1.5bluehdi S&s Standard Access 100,2020,,90.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-standard-access-100-en-malaga.htm?id=8051512,15999
3,Peugeot,Rifter,1.5bluehdi S&s Standard Active 100,2020,,23.000 km,Diesel,100 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-standard-active-100-en-madrid.htm?id=8117073,16990
4,Peugeot,Rifter,1.5bluehdi S&s Active Pack Business Long 100,2023,10,5 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-peugeot-rifter-15bluehdi-s_s-active-pack-business-long-100-en-sevilla.htm?id=8076679,21900
5,Peugeot,Rifter,1.2 Puretech Long Access 110,2019,03,58.890 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-12-puretech-long-access-110-en-toledo.htm?id=8056944,16199
6,Peugeot,Rifter,1.2 Puretech Standard Gt Line 110,2019,08,70.000 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-12-puretech-standard-gt-line-110-en-palmas+las.htm?id=8056932,18990
7,Peugeot,Rifter,1.2 Puretech Standard Gt Line 110,2019,08,70.000 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-12-puretech-standard-gt-line-110-en-palmas+las.htm?id=8056409,18990
8,Peugeot,Rifter,1.5bluehdi S&s Standard Access 100,2020,,29.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-standard-access-100-en-palmas+las.htm?id=8042237,15900
9,Peugeot,Rifter,1.5bluehdi S&s Long Access 100,2020,06,121.500 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-access-100-en-coruna+a.htm?id=7952205,13500
10,Peugeot,Rifter,1.5bluehdi S&s Long Access 100,2020,06,121.500 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-access-100-en-pontevedra.htm?id=7952098,13500
11,Peugeot,Rifter,1.5bluehdi S&s Long Access 100,2020,06,121.500 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-access-100-en-lugo.htm?id=7951602,13500
12,Peugeot,Rifter,1.5bluehdi Standard Allure 100,2020,02,32.434 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-standard-allure-100-en-madrid.htm?id=7918885,17890
13,Peugeot,Rifter,1.5bluehdi S&s Long Active 100,2019,03,89.776 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-active-100-en-pontevedra.htm?id=7904365,15500
14,Peugeot,Rifter,1.5bluehdi S&s Long Active 100,2019,03,89.776 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-active-100-en-lugo.htm?id=7904206,15500
15,Peugeot,Rifter,1.5bluehdi S&s Long Active 100,2019,03,89.776 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-active-100-en-ourense.htm?id=7904200,15500
16,Peugeot,Rifter,1.5bluehdi S&s Long Active 100,2019,03,89.776 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-active-100-en-coruna+a.htm?id=7904183,15500
17,Peugeot,Rifter,1.5bluehdi S&s Standard Access 100,2020,02,32.434 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-standard-access-100-en-sevilla.htm?id=7892487,17890
18,Peugeot,Rifter,1.5bluehdi S&s Long Active 100,2019,10,112.061 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-active-100-en-pontevedra.htm?id=7892404,13885
19,Peugeot,Rifter,1.5bluehdi S&s Long Active 100,2019,10,112.061 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-rifter-15bluehdi-s_s-long-active-100-en-lugo.htm?id=7892255,13885
