,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Arkana,1.6 E-tech Techno 105kw,2023,,6.435 km,Híbrido,145 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-arkana-16-e-tech-techno-105kw-en-jaen.htm?id=8086830,29500
1,Renault,Arkana,1.3 Tce Techno Edc 103kw,2023,,15.543 km,Gasolina,140 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-13-tce-techno-edc-103kw-en-madrid.htm?id=8101108,26950
2,Renault,Arkana,1.6 E-tech Zen 105kw,2022,,24.940 km,Híbrido,145 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-16-e-tech-zen-105kw-en-madrid.htm?id=8116813,27950
3,Renault,Arkana,1.3 Tce Techno Edc 103kw,2023,,23.149 km,Gasolina,140 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-13-tce-techno-edc-103kw-en-madrid.htm?id=8110931,26650
4,Renault,Arkana,1.3 Tce Techno Edc 103kw,2023,,20.219 km,Gasolina,140 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-13-tce-techno-edc-103kw-en-madrid.htm?id=8099909,26950
5,Renault,Arkana,1.3 Tce Intens Edc 103kw,2021,05,38.600 km,Gasolina,140 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-13-tce-intens-edc-103kw-en-barcelona.htm?id=8123074,23990
6,Renault,Arkana,1.3 Tce Techno Edc 103kw,2023,,23.305 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-13-tce-techno-edc-103kw-en-rioja+la.htm?id=8092879,27750
7,Renault,Arkana,1.3 Tce Techno Edc 103kw,2023,,20.867 km,Gasolina,140 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-13-tce-techno-edc-103kw-en-rioja+la.htm?id=8086699,27750
8,Renault,Arkana,1.6 E-tech Engineered 105kw,2023,,14.306 km,Híbrido,145 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-16-e-tech-engineered-105kw-en-ciudad+real.htm?id=8126905,32000
9,Renault,Arkana,1.3 Tce Techno Edc 103kw,2022,,8.790 km,Gasolina,140 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-arkana-13-tce-techno-edc-103kw-en-ciudad+real.htm?id=8126903,28500
10,Renault,Arkana,1.6 E-tech R.s.line 105kw,2022,,24.784 km,Híbrido,145 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-16-e-tech-rsline-105kw-en-madrid.htm?id=8123797,31150
11,Renault,Arkana,1.3 Tce R.s. Line Edc 103kw,2023,,1 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-renault-arkana-13-tce-rs-line-edc-103kw-en-rioja+la.htm?id=8104683,31450
12,Renault,Arkana,1.6 E-tech R.s.line 105kw,2022,,19.048 km,Híbrido,145 CV,automática,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-16-e-tech-rsline-105kw-en-madrid.htm?id=8104280,31550
13,Renault,Arkana,1.6 E-tech Engineered 105kw,2023,,20.195 km,Híbrido,145 CV,automática,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-16-e-tech-engineered-105kw-en-rioja+la.htm?id=8098265,31950
14,Renault,Arkana,1.3 Tce R.s. Line Edc 103kw,2021,12,5.000 km,Gasolina,140 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-13-tce-rs-line-edc-103kw-en-sevilla.htm?id=8028464,28000
15,Renault,Arkana,1.6 E-tech Techno 105kw,2023,,NUEVO,Híbrido,145 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-renault-arkana-16-e-tech-techno-105kw-en-madrid.htm?id=8022127,29990
16,Renault,Arkana,1.6 E-tech Techno 105kw,2023,07,15 km,Híbrido,145 CV,automática,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-arkana-16-e-tech-techno-105kw-en-sevilla.htm?id=8017200,32600
17,Renault,Arkana,1.3 Tce Intens Edc 103kw,2021,06,41.580 km,Gasolina,140 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-13-tce-intens-edc-103kw-en-murcia.htm?id=8001824,25200
18,Renault,Arkana,1.6 E-tech Engineered 105kw,2023,01,50.738 km,Híbrido,145 CV,automática,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-arkana-16-e-tech-engineered-105kw-en-sevilla.htm?id=7969943,26400
19,Renault,Arkana,1.6 E-tech Zen 105kw,2023,05,10 km,Híbrido,145 CV,automática,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-arkana-16-e-tech-zen-105kw-en-sevilla.htm?id=7897326,34500
20,Renault,Arkana,1.3 Tce Techno Edc 103kw,2023,,NUEVO,Gasolina,140 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-arkana-13-tce-techno-edc-103kw-en-madrid.htm?id=7797391,29050
