,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Captur,1.5dci Energy Eco2 Zen 66kw,2019,,51.950 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-15dci-energy-eco2-zen-66kw-en-valencia.htm?id=8127891,16500
1,Renault,Captur,Tce Zen 67kw,2022,,8.460 km,Gasolina,90 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/km0/seminuevo-renault-captur-tce-zen-67kw-en-toledo.htm?id=8062755,21800
2,Renault,Captur,E-tech Híbrido Enchufable Zen 117kw,2021,06,34.850 km,Híbrido,160 CV,automática,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-e-tech-hibrido-enchufable-zen-117kw-en-murcia.htm?id=8040216,25500
3,Renault,Captur,Tce Zen 67kw,2022,06,11.902 km,Gasolina,90 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-tce-zen-67kw-en-murcia.htm?id=8001149,21500
4,Renault,Captur,1.5dci Energy Zen 81kw,2018,02,86.000 km,Diesel,110 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-15dci-energy-zen-81kw-en-madrid.htm?id=8112964,15990
5,Renault,Captur,1.5dci Energy Zen 81kw,2018,,39.000 km,Diesel,110 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-15dci-energy-zen-81kw-en-malaga.htm?id=6822865,18500
6,Renault,Captur,Tce Gpf Limited 96kw,2019,03,85.446 km,Gasolina,130 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-tce-gpf-limited-96kw-en-valencia.htm?id=7814827,18900
7,Renault,Captur,1.5dci Energy Eco2 Life 66kw,2018,,128.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-15dci-energy-eco2-life-66kw-en-segovia.htm?id=7733333,13900
8,Renault,Captur,Tce Zen 67kw,2022,,29.617 km,Gasolina,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-tce-zen-67kw-en-jaen.htm?id=8074357,21500
9,Renault,Captur,1.5dci Energy Eco2 Zen 66kw,2019,,83.700 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-15dci-energy-eco2-zen-66kw-en-navarra.htm?id=8127982,16200
