,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Espace,1.6dci Tt Energy Zen Edc 118kw,2017,,128.444 km,Diesel,160 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-espace-16dci-tt-energy-zen-edc-118kw-en-navarra.htm?id=8064684,17500
1,Renault,Espace,Grand  2.0dci Privilege 175,2007,,157.000 km,Diesel,175 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-espace-grand--20dci-privilege-175-en-madrid.htm?id=8122750,7950
2,Renault,Espace,1.6dci Tt En. Initiale Paris Edc 118kw,2015,12,70.931 km,Diesel,160 CV,automática secuencial,5 puertas,Violeta,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-espace-16dci-tt-en-initiale-paris-edc-118kw-en-toledo.htm?id=8113608,19899
3,Renault,Espace,1.6dci Tt En. Initiale Paris Edc 118kw,2017,,158.624 km,Diesel,160 CV,automática secuencial,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-espace-16dci-tt-en-initiale-paris-edc-118kw-en-ciudad+real.htm?id=8067017,17990
4,Renault,Espace,1.6dci Energy Intens 96kw,2017,,110.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-espace-16dci-energy-intens-96kw-en-ciudad+real.htm?id=7826032,16490
5,Renault,Espace,Blue Dci Initiale Paris Edc 139kw,2023,,100 km,Diesel,190 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-renault-espace-blue-dci-initiale-paris-edc-139kw-en-madrid.htm?id=8112199,59250
6,Renault,Espace,2.0dci Tt Initiale Paris Blue Edc 147kw,2019,,56.000 km,Diesel,200 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-espace-20dci-tt-initiale-paris-blue-edc-147kw-en-madrid.htm?id=8083536,39000
7,Renault,Espace,1.6dci Tt Energy Zen Edc 118kw,2016,02,129.850 km,Diesel,160 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-espace-16dci-tt-energy-zen-edc-118kw-en-vizcaya.htm?id=8082908,18900
8,Renault,Espace,Blue Dci Initiale Paris Edc 139kw,2023,09,18 km,Diesel,190 CV,automática secuencial,5 puertas,ROJO INTENSO,Profesional,https://www.coches.com/km0/seminuevo-renault-espace-blue-dci-initiale-paris-edc-139kw-en-murcia.htm?id=8057022,53200
9,Renault,Espace,1.6dci Tt Energy Limited Edc 118kw,2018,08,50.656 km,Diesel,160 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-espace-16dci-tt-energy-limited-edc-118kw-en-murcia.htm?id=8031417,28775
