,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Zoe,Intens 50 R110 80kw,2022,,43.000 km,Eléctrico,110 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-intens-50-r110-80kw-en-toledo.htm?id=8077728,19500
1,Renault,Zoe,Intens 40 R90 68kw,2018,,86.756 km,Eléctrico,92 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-intens-40-r90-68kw-en-toledo.htm?id=8062769,13900
2,Renault,Zoe,Life 40 R110 80kw,2020,,23.000 km,Eléctrico,110 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-life-40-r110-80kw-en-illes+balears.htm?id=8086596,20500
3,Renault,Zoe,Intens 50 R135 100kw,2020,07,51.309 km,Eléctrico,135 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-intens-50-r135-100kw-en-pontevedra.htm?id=8049870,14700
4,Renault,Zoe,Intens 50 R135 100kw,2020,09,47.270 km,Eléctrico,135 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-intens-50-r135-100kw-en-pontevedra.htm?id=8049868,14700
5,Renault,Zoe,Intens 50 R110 80kw,2022,,48.000 km,Eléctrico,110 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-intens-50-r110-80kw-en-toledo.htm?id=8077643,19500
6,Renault,Zoe,Life 40 R110 80kw,2020,07,25.914 km,Eléctrico,110 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-life-40-r110-80kw-en-madrid.htm?id=8001837,17290
7,Renault,Zoe,Life 40 R110 80kw,2020,07,25.914 km,Eléctrico,110 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-life-40-r110-80kw-en-sevilla.htm?id=8001732,17290
8,Renault,Zoe,Life 40 R110 80kw,2020,07,25.914 km,Eléctrico,110 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-life-40-r110-80kw-en-malaga.htm?id=8000581,17290
9,Renault,Zoe,Limited 40 R110 80kw,2018,,86.621 km,Eléctrico,109 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-zoe-limited-40-r110-80kw-en-madrid.htm?id=8125191,12950
