,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Seat,Córdoba,1.9sdi Stella,2003,,152.559 km,Diesel,64 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19sdi-stella-en-malaga.htm?id=8110646,2500
1,Seat,Córdoba,1.9 Tdi Dream,1999,,222.000 km,Diesel,90 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19-tdi-dream-en-almeria.htm?id=8123794,1499
2,Seat,Córdoba,1.9tdi Stella,2003,,164.000 km,Diesel,101 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19tdi-stella-en-valencia.htm?id=8115654,3500
3,Seat,Córdoba,1.9tdi Stella,2003,,164.000 km,Diesel,101 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19tdi-stella-en-valencia.htm?id=8091749,3500
4,Seat,Córdoba,1.9sdi Top,2004,,213.000 km,Diesel,64 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19sdi-top-en-vizcaya.htm?id=8012652,3990
5,Seat,Córdoba,1.9tdi Reference,2007,,160.000 km,Diesel,100 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19tdi-reference-en-sevilla.htm?id=8042223,4990
6,Seat,Córdoba,1.9tdi Reference,2005,,141.000 km,Diesel,100 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19tdi-reference-en-badajoz.htm?id=8069230,2500
7,Seat,Córdoba,1.9tdi Reference,2004,,141.192 km,Diesel,100 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19tdi-reference-en-badajoz.htm?id=8067522,2500
8,Seat,Córdoba,1.4i Clx,1994,,105.000 km,Gasolina,60 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-14i-clx-en-lugo.htm?id=8098325,3000
9,Seat,Córdoba,1.4 16 Stella 75,2004,,186.000 km,Gasolina,75 CV,manual,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-14-16-stella-75-en-valencia.htm?id=7668557,1900
10,Seat,Córdoba,1.6 16v Reference 105,2007,,89.000 km,Gasolina,105 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-16-16v-reference-105-en-barcelona.htm?id=8038215,5290
11,Seat,Córdoba,1.4tdi Reference 80,2009,,278.000 km,Diesel,80 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-14tdi-reference-80-en-pontevedra.htm?id=8005865,3950
12,Seat,Córdoba,1.4 16v Top 75,2005,,200.000 km,Gasolina,75 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-14-16v-top-75-en-madrid.htm?id=7979838,2400
13,Seat,Córdoba,1.4tdi Reference 75,2005,,200.000 km,Diesel,75 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-14tdi-reference-75-en-madrid.htm?id=7877051,2500
14,Seat,Córdoba,1.4 16v Stella,2000,,10.000 km,Gasolina,75 CV,manual,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-14-16v-stella-en-palmas+las.htm?id=7989772,1500
15,Seat,Córdoba,1.4 16v Signa 75,2004,,108.000 km,Gasolina,75 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-14-16v-signa-75-en-valencia.htm?id=7647265,3000
16,Seat,Córdoba,1.9tdi Reference,2006,,149.000 km,Diesel,100 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19tdi-reference-en-madrid.htm?id=8011309,4480
17,Seat,Córdoba,1.9tdi Reference,2006,,149.000 km,Diesel,100 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19tdi-reference-en-madrid.htm?id=8011307,4480
18,Seat,Córdoba,1.6 Signo-a,2000,,192.000 km,Gasolina,100 CV,manual,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-16-signo-a-en-illes+balears.htm?id=7893708,1500
19,Seat,Córdoba,1.9tdi Sportrider,2007,,382.000 km,Diesel,100 CV,manual,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-cordoba-19tdi-sportrider-en-alicante.htm?id=7854691,1700
