,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Skoda,Enyaq Iv,Coupé 80 150kw,2023,04,53 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-coupe-80-150kw-en-barcelona.htm?id=7870019,41990
1,Skoda,Enyaq Iv,Coupé 80 150kw,2023,09,5.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-coupe-80-150kw-en-palmas+las.htm?id=8107005,40490
2,Skoda,Enyaq Iv,Sportline 80 150kw,2023,09,6.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-sportline-80-150kw-en-palmas+las.htm?id=8101527,40490
3,Skoda,Enyaq Iv,60 132kw,2021,12,14.902 km,Eléctrico,180 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-enyaq+iv-60-132kw-en-palmas+las.htm?id=8106448,27800
4,Skoda,Enyaq Iv,80 150kw,2023,03,10.939 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-enyaq+iv-80-150kw-en-palmas+las.htm?id=8101334,38990
5,Skoda,Enyaq Iv,60 132kw,2022,10,7.494 km,Eléctrico,180 CV,"directo, sin caja de cambios",5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-60-132kw-en-palmas+las.htm?id=8101321,32990
6,Skoda,Enyaq Iv,Rs 195kw,2023,04,6.386 km,Eléctrico,299 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-rs-195kw-en-madrid.htm?id=8032407,55900
7,Skoda,Enyaq Iv,60 132kw,2022,10,15.600 km,Eléctrico,180 CV,"directo, sin caja de cambios",5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-enyaq+iv-60-132kw-en-palmas+las.htm?id=8109165,36990
8,Skoda,Enyaq Iv,Sportline 80 150kw,2023,08,3.660 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-sportline-80-150kw-en-palmas+las.htm?id=8101544,42990
9,Skoda,Enyaq Iv,80 150kw,2023,02,12.069 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-enyaq+iv-80-150kw-en-palmas+las.htm?id=8101312,38990
10,Skoda,Enyaq Iv,80 150kw,2023,,3 km,Eléctrico,204 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-80-150kw-en-barcelona.htm?id=8032180,45490
11,Skoda,Enyaq Iv,80 150kw,2023,02,10 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-80-150kw-en-barcelona.htm?id=8014640,44900
12,Skoda,Enyaq Iv,60 132kw,2023,06,3.732 km,Eléctrico,180 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-60-132kw-en-palmas+las.htm?id=8101438,41990
13,Skoda,Enyaq Iv,Sportline 80 150kw,2023,04,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,GRIS,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-sportline-80-150kw-en-castellon.htm?id=7946838,49083
14,Skoda,Enyaq Iv,Sportline 80 150kw,2023,04,22 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-sportline-80-150kw-en-madrid.htm?id=7905932,48000
15,Skoda,Enyaq Iv,80 150kw,2022,04,22.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-enyaq+iv-80-150kw-en-ciudad+real.htm?id=7934434,43500
16,Skoda,Enyaq Iv,80 150kw,2021,01,21.080 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,PLATA ARCTIC METALIZADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-enyaq+iv-80-150kw-en-vizcaya.htm?id=7936870,41900
17,Skoda,Enyaq Iv,Rs 195kw,2023,06,511 km,Eléctrico,299 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-rs-195kw-en-almeria.htm?id=7875941,57500
