,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Skoda,Kodiaq,1.5 Tsi Sportline 4x2 110kw,2022,,24.000 km,Gasolina,150 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-15-tsi-sportline-4x2-110kw-en-palmas+las.htm?id=8107076,27950
1,Skoda,Kodiaq,1.5 Tsi Ambition 4x2 110kw,2023,09,5.000 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-kodiaq-15-tsi-ambition-4x2-110kw-en-palmas+las.htm?id=8107007,28990
2,Skoda,Kodiaq,1.5 Tsi Ambition 4x2 110kw,2023,04,4.831 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-skoda-kodiaq-15-tsi-ambition-4x2-110kw-en-palmas+las.htm?id=8106409,29990
3,Skoda,Kodiaq,1.5 Tsi Sportline 4x2 110kw,2019,09,78.406 km,Gasolina,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-15-tsi-sportline-4x2-110kw-en-palmas+las.htm?id=8104826,20990
4,Skoda,Kodiaq,2.0tdi Ab Tech Ambition 4x2 Dsg 110kw,2023,,10.000 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-kodiaq-20tdi-ab-tech-ambition-4x2-dsg-110kw-en-madrid.htm?id=8073814,33490
5,Skoda,Kodiaq,2.0tdi Ab Tech Ambition 4x2 Dsg 110kw,2023,,12.100 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-20tdi-ab-tech-ambition-4x2-dsg-110kw-en-barcelona.htm?id=7806526,34990
6,Skoda,Kodiaq,2.0 Tsi Rs 4x4 Dsg 180kw,2022,,12.000 km,Gasolina,245 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-20-tsi-rs-4x4-dsg-180kw-en-madrid.htm?id=8022228,44490
7,Skoda,Kodiaq,2.0tdi Ab Tech Style 4x2 Dsg 110kw,2023,06,1.256 km,Diesel,150 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-skoda-kodiaq-20tdi-ab-tech-style-4x2-dsg-110kw-en-tarragona.htm?id=7902913,41200
8,Skoda,Kodiaq,2.0tdi Ab Tech Style 4x2 Dsg 110kw,2020,01,79.998 km,Diesel,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-20tdi-ab-tech-style-4x2-dsg-110kw-en-sevilla.htm?id=8126283,27890
9,Skoda,Kodiaq,2.0tdi Ab Tech Style 4x2 Dsg 110kw,2020,01,79.998 km,Diesel,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-20tdi-ab-tech-style-4x2-dsg-110kw-en-madrid.htm?id=8126267,27890
10,Skoda,Kodiaq,2.0tdi Ab Tech Sportline 4x2 Dsg 110kw,2023,,7.000 km,Diesel,150 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-skoda-kodiaq-20tdi-ab-tech-sportline-4x2-dsg-110kw-en-madrid.htm?id=8125599,40990
11,Skoda,Kodiaq,2.0tdi Ab Tech Style 4x2 Dsg 110kw,2020,01,79.998 km,Diesel,150 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-20tdi-ab-tech-style-4x2-dsg-110kw-en-malaga.htm?id=8124743,27890
12,Skoda,Kodiaq,2.0tdi Ab Tech Sportline 4x2 Dsg 110kw,2023,,5.000 km,Diesel,150 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-skoda-kodiaq-20tdi-ab-tech-sportline-4x2-dsg-110kw-en-madrid.htm?id=8122259,41990
13,Skoda,Kodiaq,2.0tdi Ab Tech Style 4x2 Dsg 110kw,2018,,115.000 km,Diesel,150 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-20tdi-ab-tech-style-4x2-dsg-110kw-en-malaga.htm?id=8117322,24900
14,Skoda,Kodiaq,2.0tdi Rs 4x4 Dsg 176kw,2019,,117.500 km,Diesel,240 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-20tdi-rs-4x4-dsg-176kw-en-madrid.htm?id=8117015,34990
15,Skoda,Kodiaq,2.0 Tsi Style 4x4 Dsg,2017,04,125.679 km,Gasolina,179 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-20-tsi-style-4x4-dsg-en-toledo.htm?id=8115244,24699
16,Skoda,Kodiaq,2.0tdi Ab Tech Ambition 4x4 Dsg 110kw,2020,08,169.000 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kodiaq-20tdi-ab-tech-ambition-4x4-dsg-110kw-en-murcia.htm?id=8097289,22990
17,Skoda,Kodiaq,2.0tdi Ab Tech Sportline 4x2 Dsg 110kw,2023,,4.900 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-kodiaq-20tdi-ab-tech-sportline-4x2-dsg-110kw-en-madrid.htm?id=8079098,39990
