,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Skoda,Enyaq Iv,80 150kw,2023,02,10 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-80-150kw-en-barcelona.htm?id=8014640,44900
1,Skoda,Karoq,1.5 Tsi Sportline Act Dsg,2023,02,8.720 km,Gasolina,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-15-tsi-sportline-act-dsg-en-barcelona.htm?id=8094432,33990
2,Skoda,Scala,1.0 Tsi Ambition 81kw,2022,01,13.500 km,Gasolina,110 CV,manual,5 puertas,Rojo Velvet Metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-10-tsi-ambition-81kw-en-cordoba.htm?id=7871255,20100
3,Skoda,Enyaq Iv,Coupé 80 150kw,2023,04,53 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-coupe-80-150kw-en-barcelona.htm?id=7870019,41990
4,Skoda,Superb,1.4 Tsi P-hev Sportline Dsg,2023,04,15 km,Híbrido,218 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-superb-14-tsi-p-hev-sportline-dsg-en-barcelona.htm?id=7827448,41990
5,Skoda,Enyaq Iv,Rs 195kw,2023,04,6.386 km,Eléctrico,299 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-enyaq+iv-rs-195kw-en-madrid.htm?id=8032407,55900
6,Skoda,Kamiq,1.0 Tsi Ambition 70kw,2022,08,16.237 km,Gasolina,95 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kamiq-10-tsi-ambition-70kw-en-barcelona.htm?id=7901866,17990
7,Skoda,Octavia,1.4tsi Phev Ambition Dsg,2022,05,19.050 km,Híbrido,204 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-14tsi-phev-ambition-dsg-en-madrid.htm?id=7550719,31300
8,Skoda,Octavia,1.4tsi Phev Ambition Dsg,2022,05,18.436 km,Híbrido,204 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-14tsi-phev-ambition-dsg-en-madrid.htm?id=7550657,31400
9,Skoda,Kamiq,1.0 Tsi Ambition 70kw,2022,08,25.292 km,Gasolina,95 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kamiq-10-tsi-ambition-70kw-en-barcelona.htm?id=7945984,17990
10,Skoda,Kamiq,1.0 Tsi Ambition 70kw,2022,04,24.654 km,Gasolina,95 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kamiq-10-tsi-ambition-70kw-en-barcelona.htm?id=7921870,17990
11,Skoda,Kamiq,1.0 Tsi Ambition 70kw,2022,04,24.655 km,Gasolina,95 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kamiq-10-tsi-ambition-70kw-en-barcelona.htm?id=7921869,17990
12,Skoda,Kamiq,1.0 Tsi Ambition 81kw,2021,05,23.230 km,Gasolina,110 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kamiq-10-tsi-ambition-81kw-en-barcelona.htm?id=7826540,18990
13,Skoda,Octavia,2.0tdi Ambition 110kw,2023,02,17.200 km,Diesel,150 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-20tdi-ambition-110kw-en-madrid.htm?id=7816490,27500
14,Skoda,Octavia,Combi 2.0tdi Ambition 110kw,2022,12,24.408 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-combi-20tdi-ambition-110kw-en-barcelona.htm?id=8088490,28900
15,Skoda,Kamiq,1.5 Tsi Sport Dsg,2021,09,39.303 km,Gasolina,150 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-kamiq-15-tsi-sport-dsg-en-madrid.htm?id=8065057,25100
16,Skoda,Fabia,Combi 1.0 Tsi Ambition 70kw,2022,01,15.031 km,Gasolina,95 CV,manual,5 puertas,BLANCO BILA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-fabia-combi-10-tsi-ambition-70kw-en-illes+balears.htm?id=8057870,16990
