,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Skoda,Spaceback,1.4 Tsi Ambition Dsg 92kw,2016,,71.300 km,Gasolina,125 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-14-tsi-ambition-dsg-92kw-en-barcelona.htm?id=8002398,11900
1,Skoda,Spaceback,1.6tdi Green Tec Active 77kw,2015,06,157.932 km,Diesel,105 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-16tdi-green-tec-active-77kw-en-sevilla.htm?id=8124434,9750
2,Skoda,Spaceback,1.2 Tsi Like 66kw,2017,,91.480 km,Gasolina,90 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-12-tsi-like-66kw-en-malaga.htm?id=8091881,11500
3,Skoda,Spaceback,1.4tdi Active,2016,,168.000 km,Diesel,90 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-14tdi-active-en-cadiz.htm?id=8080987,11900
4,Skoda,Spaceback,1.6tdi Cr Ambition 77kw,2014,04,101.266 km,Diesel,105 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-16tdi-cr-ambition-77kw-en-madrid.htm?id=7751489,10800
5,Skoda,Spaceback,1.0 Tsi Like 81kw,2017,06,50.500 km,Gasolina,110 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-10-tsi-like-81kw-en-valencia.htm?id=7996857,13400
6,Skoda,Spaceback,1.4tdi Like,2018,,122.577 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-14tdi-like-en-sevilla.htm?id=7987738,13900
7,Skoda,Spaceback,1.0 Tsi Ambition Dsg 81kw,2018,04,87.845 km,Gasolina,110 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-10-tsi-ambition-dsg-81kw-en-lugo.htm?id=7840111,14300
8,Skoda,Spaceback,1.2 Tsi Ambition 66kw,2017,03,61.200 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-12-tsi-ambition-66kw-en-alicante.htm?id=7508482,9800
9,Skoda,Spaceback,1.6tdi Cr Like 85kw,2016,,111.217 km,Diesel,115 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-16tdi-cr-like-85kw-en-lleida.htm?id=7975927,10500
10,Skoda,Spaceback,1.6tdi Cr Active 66kw,2015,,85.000 km,Diesel,90 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-16tdi-cr-active-66kw-en-barcelona.htm?id=8118876,9500
11,Skoda,Spaceback,1.6tdi Cr Style 85kw,2017,,150.000 km,Diesel,115 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-16tdi-cr-style-85kw-en-toledo.htm?id=7968422,10900
12,Skoda,Spaceback,1.6tdi Cr Ambition 77kw,2013,,65.000 km,Diesel,105 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-16tdi-cr-ambition-77kw-en-barcelona.htm?id=7780550,10000
13,Skoda,Spaceback,1.0 Tsi Like 70kw,2019,,32.000 km,Gasolina,95 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-10-tsi-like-70kw-en-madrid.htm?id=7808478,15000
14,Skoda,Spaceback,1.6tdi Cr Style 85kw,2017,04,157.074 km,Diesel,115 CV,manual,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-16tdi-cr-style-85kw-en-madrid.htm?id=8127382,12490
15,Skoda,Spaceback,1.4tdi Ambition,2017,11,134.555 km,Diesel,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-14tdi-ambition-en-sevilla.htm?id=8121207,12995
16,Skoda,Spaceback,1.0 Tsi Ambition 70kw,2019,03,71.251 km,Gasolina,95 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-10-tsi-ambition-70kw-en-malaga.htm?id=8105030,13000
17,Skoda,Spaceback,1.0 Tsi Ambition 70kw,2019,03,47.779 km,Gasolina,95 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-10-tsi-ambition-70kw-en-illes+balears.htm?id=8103550,14050
18,Skoda,Spaceback,1.0 Tsi Ambition 70kw,2019,03,48.800 km,Gasolina,95 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-10-tsi-ambition-70kw-en-illes+balears.htm?id=8103440,14150
19,Skoda,Spaceback,1.0 Tsi Ambition 70kw,2019,03,50.400 km,Gasolina,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-spaceback-10-tsi-ambition-70kw-en-illes+balears.htm?id=8103312,14050
