,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ssangyong,Tivoli,G16 Premium 4x2,2018,,36.854 km,Gasolina,128 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g16-premium-4x2-en-tenerife.htm?id=8087800,13850
1,Ssangyong,Tivoli,G15 Limited 4x2,2023,01,0 km,Gasolina,163 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-tivoli-g15-limited-4x2-en-tarragona.htm?id=7991557,26646
2,Ssangyong,Tivoli,Grand G15 Urban Plus 4x2,2024,,1 km,Gasolina,163 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-tivoli-grand-g15-urban-plus-4x2-en-alava.htm?id=8127963,25735
3,Ssangyong,Tivoli,G12 Urban 4x2,2020,,49.800 km,Gasolina,128 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g12-urban-4x2-en-alava.htm?id=8120992,16500
4,Ssangyong,Tivoli,D16t Premium 4x2,2016,,175.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-d16t-premium-4x2-en-vizcaya.htm?id=8095757,10999
5,Ssangyong,Tivoli,G15 Limited 4x2,2022,01,36.656 km,Gasolina,163 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g15-limited-4x2-en-madrid.htm?id=7995312,25200
6,Ssangyong,Tivoli,G15 Urban 4x2,2019,12,45.585 km,Gasolina,163 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g15-urban-4x2-en-pontevedra.htm?id=8013469,16990
7,Ssangyong,Tivoli,D16t Premium 4x4,2018,12,66.000 km,Diesel,115 CV,manual,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-d16t-premium-4x4-en-cadiz.htm?id=7952665,16890
8,Ssangyong,Tivoli,G12 Urban Plus 4x2,2023,,1 km,Gasolina,128 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-tivoli-g12-urban-plus-4x2-en-alava.htm?id=7788451,24735
9,Ssangyong,Tivoli,D16t Limited 4x2,2018,07,45.793 km,Diesel,115 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-d16t-limited-4x2-en-alicante.htm?id=7543195,16990
10,Ssangyong,Tivoli,G12 Glp Urban 4x2,2020,,45.900 km,Gasolina,128 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g12-glp-urban-4x2-en-alava.htm?id=7538530,18700
11,Ssangyong,Tivoli,G16 Line 4x2,2019,,65.000 km,Gasolina,128 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g16-line-4x2-en-alicante.htm?id=7439242,14990
12,Ssangyong,Tivoli,D16t Limited 4x2 Aut.,2016,05,125.050 km,Diesel,115 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-d16t-limited-4x2-aut-en-pontevedra.htm?id=8013460,15990
13,Ssangyong,Tivoli,G15 Limited 4x2,2023,,5 km,Gasolina,163 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-tivoli-g15-limited-4x2-en-guadalajara.htm?id=7997286,24935
14,Ssangyong,Tivoli,G15 Eco Limited 4x2 Aut.,2023,,5 km,Gasolina,163 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-tivoli-g15-eco-limited-4x2-aut-en-guadalajara.htm?id=7775249,26535
15,Ssangyong,Tivoli,G12 Urban Plus 4x2,2022,07,14.000 km,Gasolina,128 CV,manual,5 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g12-urban-plus-4x2-en-burgos.htm?id=7981041,19500
16,Ssangyong,Tivoli,G15 Urban Plus 4x2,2023,08,NUEVO,Gasolina,163 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-tivoli-g15-urban-plus-4x2-en-burgos.htm?id=7959767,22990
17,Ssangyong,Tivoli,G15 Urban Plus 4x2,2023,08,NUEVO,Gasolina,163 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-tivoli-g15-urban-plus-4x2-en-burgos.htm?id=7955075,23950
18,Ssangyong,Tivoli,G16 Limited 4x2,2017,,118.000 km,Gasolina,128 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g16-limited-4x2-en-barcelona.htm?id=7782250,12990
19,Ssangyong,Tivoli,D16t Premium 4x2,2015,,142.600 km,Diesel,115 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-d16t-premium-4x2-en-madrid.htm?id=8026051,10700
20,Ssangyong,Tivoli,G12 Urban 4x2,2021,,44.000 km,Gasolina,128 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g12-urban-4x2-en-barcelona.htm?id=7790243,16000
21,Ssangyong,Tivoli,G12 Urban 4x2,2020,,16.800 km,Gasolina,128 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g12-urban-4x2-en-tarragona.htm?id=8115414,16500
22,Ssangyong,Tivoli,G15 Glp Eco Limited 4x2 Aut.,2023,,14.000 km,Gasolina,163 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g15-glp-eco-limited-4x2-aut-en-madrid.htm?id=8040267,22000
23,Ssangyong,Tivoli,Grand G15 Glp Urban Plus 4x2,2021,,30.000 km,Gasolina,163 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-grand-g15-glp-urban-plus-4x2-en-girona.htm?id=7838150,20999
24,Ssangyong,Tivoli,G16 Limited 4x2,2015,,77.700 km,Gasolina,128 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g16-limited-4x2-en-barcelona.htm?id=8084652,12000
25,Ssangyong,Tivoli,G12 Urban Plus 4x2,2021,09,17.200 km,Gasolina,128 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g12-urban-plus-4x2-en-madrid.htm?id=8129944,19490
26,Ssangyong,Tivoli,D16t Limited 4x2,2016,11,78.617 km,Diesel,115 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-d16t-limited-4x2-en-madrid.htm?id=8126581,12990
27,Ssangyong,Tivoli,D16t Limited 4x2,2016,07,105.059 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-d16t-limited-4x2-en-madrid.htm?id=8124829,13500
28,Ssangyong,Tivoli,G15 Urban Plus 4x2 Aut.,2023,02,16.699 km,Gasolina,163 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g15-urban-plus-4x2-aut-en-pontevedra.htm?id=8123573,20990
29,Ssangyong,Tivoli,D16t Limited 4x2,2019,08,28.000 km,Diesel,115 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-d16t-limited-4x2-en-madrid.htm?id=8121214,15900
30,Ssangyong,Tivoli,G16 Limited 4x2,2017,09,39.427 km,Gasolina,128 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g16-limited-4x2-en-toledo.htm?id=8118511,13399
31,Ssangyong,Tivoli,G16 Limited 4x2 Aut.,2019,06,14.000 km,Gasolina,128 CV,automática secuencial,5 puertas,NARANJA TECHO BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g16-limited-4x2-aut-en-murcia.htm?id=8111687,18950
32,Ssangyong,Tivoli,G16 Line 4x2,2019,03,87.000 km,Gasolina,128 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-tivoli-g16-line-4x2-en-palmas+las.htm?id=8106438,10990
