,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Swm,G01,1.5t Basic,2023,06,150 km,Gasolina,131 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-swm-g01-15t-basic-en-toledo.htm?id=7871116,22490
1,Swm,G01,1.5t Premium Aut.,2023,03,5 km,Gasolina,131 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-swm-g01-15t-premium-aut-en-alava.htm?id=7814429,24900
2,Swm,G01,1.5t Basic,2023,06,300 km,Gasolina,131 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-swm-g01-15t-basic-en-toledo.htm?id=7994122,24990
3,Swm,G01,1.5t Basic,2023,,NUEVO,Gasolina,131 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-swm-g01-15t-basic-en-malaga.htm?id=7884032,22895
4,Swm,G01,1.5t Elite,2021,10,25.000 km,Gasolina,131 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-swm-g01-15t-elite-en-burgos.htm?id=7558697,25990
5,Swm,G01,1.5t Luxury,2023,01,19.500 km,Gasolina,131 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-swm-g01-15t-luxury-en-malaga.htm?id=8093535,23600
6,Swm,G01,1.5t Eco Premium Aut.,2022,03,14.000 km,Gasolina,131 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-swm-g01-15t-eco-premium-aut-en-albacete.htm?id=8072419,25490
7,Swm,G01,1.5t Luxury,2023,01,19.000 km,Gasolina,131 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-swm-g01-15t-luxury-en-malaga.htm?id=8028170,22800
8,Swm,G01,1.5t Luxury,2022,01,7.883 km,Gasolina,131 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-swm-g01-15t-luxury-en-madrid.htm?id=7993846,24490
9,Swm,G01,1.5t Premium Aut.,2024,01,7 km,Gasolina,131 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-swm-g01-15t-premium-aut-en-almeria.htm?id=7771881,32700
