,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Auris,130 Feel! Multidrive,2014,,73.119 km,Gasolina,132 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-130-feel-multidrive-en-barcelona.htm?id=7982668,12499
1,Toyota,Auris,120d Active,2014,,168.000 km,Diesel,124 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-120d-active-en-barcelona.htm?id=8045544,9980
2,Toyota,Auris,Hybrid 140h Advance,2018,09,41.386 km,Híbrido,136 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-hybrid-140h-advance-en-toledo.htm?id=8044573,16099
3,Toyota,Auris,Hybrid 140h Active Business Plus,2018,,85.000 km,Híbrido,136 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-hybrid-140h-active-business-plus-en-tenerife.htm?id=8130289,14990
4,Toyota,Auris,120d Live,2015,06,65.468 km,Diesel,124 CV,manual,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-120d-live-en-toledo.htm?id=8130074,11799
5,Toyota,Auris,130 Active,2015,05,131.723 km,Gasolina,132 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-130-active-en-toledo.htm?id=8128891,10399
6,Toyota,Auris,Hybrid 140h Active,2018,01,119.462 km,Híbrido,136 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-hybrid-140h-active-en-toledo.htm?id=8088921,13999
7,Toyota,Auris,1.4d-4d Ts,2010,,195.000 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-14d-4d-ts-en-murcia.htm?id=8086743,5601
8,Toyota,Auris,120t Active,2018,,84.000 km,Gasolina,116 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-120t-active-en-palmas+las.htm?id=8007475,13490
9,Toyota,Auris,120t Active,2018,,78.000 km,Gasolina,116 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-120t-active-en-palmas+las.htm?id=7974849,13490
