,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Land Cruiser,D-4d Gx,2018,,69.173 km,Diesel,177 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-land+cruiser-d-4d-gx-en-navarra.htm?id=8116729,25990
1,Toyota,Land Cruiser,D-4d Gx,2020,,58.625 km,Diesel,177 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-land+cruiser-d-4d-gx-en-ciudad+real.htm?id=8125096,36990
2,Toyota,Land Cruiser,D-4d Gx,2019,,140.329 km,Diesel,177 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-land+cruiser-d-4d-gx-en-sevilla.htm?id=8122838,29900
3,Toyota,Land Cruiser,D-4d Gx,2019,,134.352 km,Diesel,177 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-land+cruiser-d-4d-gx-en-navarra.htm?id=8116723,28990
4,Toyota,Land Cruiser,D-4d Gx,2023,,NUEVO,Diesel,204 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-land+cruiser-d-4d-gx-en-salamanca.htm?id=7933570,50250
5,Toyota,Land Cruiser,D-4d Gx 7 Plazas,2023,,NUEVO,Diesel,204 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-land+cruiser-d-4d-gx-7-plazas-en-leon.htm?id=7933007,51650
6,Toyota,Land Cruiser,D-4d Gx,2018,,199.000 km,Diesel,177 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-land+cruiser-d-4d-gx-en-madrid.htm?id=8084918,22990
7,Toyota,Land Cruiser,D-4d Gx,2020,,20.000 km,Diesel,177 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-land+cruiser-d-4d-gx-en-ciudad+real.htm?id=8078942,39490
8,Toyota,Land Cruiser,D-4d Gx,2018,,109.000 km,Diesel,177 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-land+cruiser-d-4d-gx-en-tarragona.htm?id=8072702,31500
9,Toyota,Land Cruiser,D-4d Gx,2023,,NUEVO,Diesel,204 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-land+cruiser-d-4d-gx-en-madrid.htm?id=8064068,49820
