,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Prius,1.5 16v Vvt-i Hsd Sol,2008,,544.000 km,Híbrido,111 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-prius-15-16v-vvt-i-hsd-sol-en-barcelona.htm?id=8019638,4150
1,Toyota,Prius,Plug-in Híbrido 1.8 Advance,2021,,22.530 km,Híbrido,122 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-prius-plug-in-hibrido-18-advance-en-barcelona.htm?id=8130459,28490
2,Toyota,Prius,1.8 Hsd Advance,2012,,227.000 km,Híbrido,136 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-prius-18-hsd-advance-en-madrid.htm?id=8112547,8990
3,Toyota,Prius,1.8 Advance,2016,,123.133 km,Híbrido,122 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-prius-18-advance-en-barcelona.htm?id=8130692,17990
4,Toyota,Prius,1.8 Hsd Advance,2011,09,97.000 km,Híbrido,136 CV,automática continua,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-prius-18-hsd-advance-en-barcelona.htm?id=8021706,12499
5,Toyota,Prius,1.8 Advance,2016,,146.704 km,Híbrido,122 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-prius-18-advance-en-barcelona.htm?id=8130691,18990
6,Toyota,Prius,1.8,2018,05,74.950 km,Híbrido,122 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-prius-18-en-palmas+las.htm?id=8061184,26495
7,Toyota,Prius,1.8 Advance,2017,,84.000 km,Híbrido,122 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-prius-18-advance-en-cadiz.htm?id=8038310,18500
8,Toyota,Prius,1.8,2018,05,90.048 km,Híbrido,122 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-prius-18-en-palmas+las.htm?id=7912742,19995
9,Toyota,Prius,1.8 Advance,2016,,111.000 km,Híbrido,122 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-prius-18-advance-en-barcelona.htm?id=7905673,17900
