,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volkswagen,California,2.0tdi Bmt Beach Ed. T.e. 114,2012,,184.567 km,Diesel,114 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-ed-te-114-en-sevilla.htm?id=8101061,22499
1,Volkswagen,California,2.0tdi Bmt Beach Tour Dsg 110kw,2022,07,16.052 km,Diesel,150 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-tour-dsg-110kw-en-sevilla.htm?id=8116397,56890
2,Volkswagen,California,2.0tdi Bmt Beach Tour Dsg 110kw,2022,07,16.052 km,Diesel,150 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-tour-dsg-110kw-en-madrid.htm?id=8116362,56890
3,Volkswagen,California,2.0tdi Bmt Beach Tour Dsg 110kw,2022,07,16.052 km,Diesel,150 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-tour-dsg-110kw-en-malaga.htm?id=8114916,56890
4,Volkswagen,California,2.0tdi Bmt Beach 84kw,2019,,95.000 km,Diesel,114 CV,manual,5 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-84kw-en-cadiz.htm?id=8111082,46500
5,Volkswagen,California,2.0tdi Bmt Beach Ed. T.e. 114,2012,,229.876 km,Diesel,114 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-ed-te-114-en-sevilla.htm?id=8036168,32999
6,Volkswagen,California,2.0tdi Bmt Ocean Dsg 110kw,2023,04,0 km,Diesel,149 CV,automática secuencial,5 puertas,Blanco Candy,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-california-20tdi-bmt-ocean-dsg-110kw-en-barcelona.htm?id=7756868,75699
7,Volkswagen,California,2.0tdi Bmt Ocean Dsg 110kw,2023,04,0 km,Diesel,149 CV,automática secuencial,5 puertas,Blanco Candy,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-california-20tdi-bmt-ocean-dsg-110kw-en-barcelona.htm?id=7756867,75524
8,Volkswagen,California,2.0tdi Bmt Beach 84kw,2019,08,79.686 km,Diesel,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-84kw-en-palmas+las.htm?id=8037450,45995
9,Volkswagen,California,2.0tdi Bmt Beach Edition Corto 140,2015,,58.000 km,Diesel,140 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-edition-corto-140-en-malaga.htm?id=8007094,38990
10,Volkswagen,California,2.0tdi Bmt Beach 75kw,2017,,44.000 km,Diesel,102 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-75kw-en-alava.htm?id=7992924,49500
11,Volkswagen,California,2.0tdi Bmt Ocean Dsg 110kw,2023,04,NUEVO,Diesel,149 CV,automática secuencial,5 puertas,Blanco Candy,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-california-20tdi-bmt-ocean-dsg-110kw-en-barcelona.htm?id=7934712,75699
12,Volkswagen,California,2.0tdi Bmt Ocean Dsg 110kw,2023,04,NUEVO,Diesel,149 CV,automática secuencial,5 puertas,Blanco Candy,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-california-20tdi-bmt-ocean-dsg-110kw-en-barcelona.htm?id=7934711,75524
13,Volkswagen,California,2.0tdi Bmt Beach Camper 110kw,2023,07,NUEVO,Diesel,150 CV,manual,5 puertas,Otros,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-california-20tdi-bmt-beach-camper-110kw-en-alicante.htm?id=7912658,56700
14,Volkswagen,California,2.0tdi Bmt Beach Tour Dsg 110kw,2023,06,NUEVO,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-california-20tdi-bmt-beach-tour-dsg-110kw-en-alicante.htm?id=7799181,66900
15,Volkswagen,California,2.0tdi Bmt Beach 110kw,2019,01,61.565 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-110kw-en-palmas+las.htm?id=7728443,45995
16,Volkswagen,California,2.0tdi Bmt Beach Tour Dsg 110kw,2023,10,650 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-california-20tdi-bmt-beach-tour-dsg-110kw-en-almeria.htm?id=8021642,61500
17,Volkswagen,California,2.0tdi Bmt Beach Camper Dsg 110kw,2023,,NUEVO,Diesel,149 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-california-20tdi-bmt-beach-camper-dsg-110kw-en-caceres.htm?id=8014649,69490
18,Volkswagen,California,2.5tdi Comfortline,2008,,171.000 km,Diesel,130 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-25tdi-comfortline-en-barcelona.htm?id=8119823,31500
19,Volkswagen,California,2.0bi-tdi Comfortline,2010,,174.026 km,Diesel,180 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20bi-tdi-comfortline-en-coruna+a.htm?id=8093726,39990
20,Volkswagen,California,2.0tdi Beach Edition T.e.,2011,,110.450 km,Diesel,102 CV,manual,4 puertas,amarillo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-beach-edition-te-en-cantabria.htm?id=8090500,34500
21,Volkswagen,California,2.0tdi Bmt Beach Dsg 110kw,2019,,97.000 km,Diesel,150 CV,automática secuencial,5 puertas,amarillo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-dsg-110kw-en-illes+balears.htm?id=8065960,54900
22,Volkswagen,California,2.0tdi Bmt Beach 110kw,2016,,155.000 km,Diesel,150 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-110kw-en-tarragona.htm?id=8059620,43000
23,Volkswagen,California,2.0tdi Bmt Beach 75kw,2017,,99.500 km,Diesel,102 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-california-20tdi-bmt-beach-75kw-en-tenerife.htm?id=8107234,43500
