,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volvo,V50,1.8 Kinetic,2007,,160.000 km,Gasolina,125 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v50-18-kinetic-en-barcelona.htm?id=8067042,5990
1,Volvo,V50,2.0d Momentum,2009,,107.233 km,Diesel,136 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v50-20d-momentum-en-huelva.htm?id=8044072,7950
2,Volvo,V50,1.6d Drive Momentum,2009,,183.931 km,Diesel,109 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v50-16d-drive-momentum-en-huelva.htm?id=8029958,5500
3,Volvo,V50,2.0d Momentum,2009,,188.000 km,Diesel,136 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v50-20d-momentum-en-huelva.htm?id=7676185,6500
4,Volvo,V50,2.0d Momentum,2006,,391.000 km,Diesel,136 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v50-20d-momentum-en-barcelona.htm?id=8095274,2000
5,Volvo,V50,1.6d Momentum,2007,,267.000 km,Diesel,109 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v50-16d-momentum-en-valencia.htm?id=8054421,2300
6,Volvo,V50,1.6d Momentum,2004,,317.000 km,Diesel,109 CV,manual,5 puertas,azul celeste,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v50-16d-momentum-en-valencia.htm?id=7825219,3300
7,Volvo,V50,2.0d Momentum,2005,,293.000 km,Diesel,136 CV,manual,5 puertas,azul marino metalizado,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v50-20d-momentum-en-cordoba.htm?id=7679005,4300
8,Volvo,V50,2.0d Momentum,2005,,298.000 km,Diesel,136 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v50-20d-momentum-en-madrid.htm?id=8002161,1000
9,Volvo,V50,1.8 Momentum,2005,,110.000 km,Gasolina,125 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v50-18-momentum-en-alicante.htm?id=7890465,5000
