,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Abarth,500,C 1.4t Jet Secuencial 140,2015,12,55.363 km,Gasolina,140 CV,automática secuencial,2 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-c-14t-jet-secuencial-140-en-madrid.htm?id=8037051,13990
1,Abarth,500,595c 1.4t Jet Competizione 160,2014,,98.000 km,Gasolina,160 CV,manual,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-competizione-160-en-lleida.htm?id=8040551,13900
2,Abarth,500,1.4t Jet Secuencial,2015,,105.469 km,Gasolina,140 CV,automática secuencial,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-14t-jet-secuencial-en-tenerife.htm?id=8128032,17340
3,Abarth,500,595 1.4t Jet Competizione Secuencial,2022,04,8.541 km,Gasolina,135 CV,automática secuencial,3 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-abarth-500-595-14t-jet-competizione-secuencial-en-barcelona.htm?id=8101775,25900
4,Abarth,500,595c 1.4t Jet,2020,03,32.402 km,Gasolina,135 CV,manual,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-toledo.htm?id=8090215,21999
5,Abarth,500,595c 1.4t Jet,2022,01,30 km,Gasolina,135 CV,manual,2 puertas,GRIS MATE,Profesional,https://www.coches.com/km0/seminuevo-abarth-500-595c-14t-jet-en-barcelona.htm?id=8073800,30400
6,Abarth,500,595c 1.4t Jet,2018,11,63.266 km,Gasolina,135 CV,manual,2 puertas,BLANCO COMPTETICION,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-barcelona.htm?id=8039691,15900
7,Abarth,500,595c 1.4t Jet,2018,11,31.394 km,Gasolina,135 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=8036227,17600
8,Abarth,500,595 1.4t Jet Turismo 160,2017,06,57.474 km,Gasolina,160 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-turismo-160-en-madrid.htm?id=8020784,17490
9,Abarth,500,1.4t Jet,2020,01,20.000 km,Gasolina,135 CV,manual,3 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-14t-jet-en-palmas+las.htm?id=7991384,27990
10,Abarth,500,595c 1.4t Jet,2021,01,31.000 km,Gasolina,135 CV,manual,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-madrid.htm?id=7942270,20995
11,Abarth,500,595c 1.4t Jet,2020,09,25.284 km,Gasolina,135 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595c-14t-jet-en-valencia.htm?id=7940150,19990
12,Abarth,500,595c 1.4t Jet,2022,02,7.042 km,Gasolina,135 CV,manual,2 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-abarth-500-595c-14t-jet-en-barcelona.htm?id=7826817,22950
13,Abarth,500,595c 1.4t Jet,2022,02,8.500 km,Gasolina,135 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-abarth-500-595c-14t-jet-en-barcelona.htm?id=7826816,22950
14,Abarth,500,595 1.4t Jet Turismo 160,2019,04,75.730 km,Gasolina,160 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-595-14t-jet-turismo-160-en-malaga.htm?id=7434987,19490
15,Abarth,500,Cabrio E Turismo,2022,05,13.653 km,Eléctrico,154 CV,"directo, sin caja de cambios",3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-abarth-cabrio-e-turismo-en-madrid.htm?id=8041369,27490
16,Abarth,500,Cabrio E Scorpionissima,2023,10,5 km,Eléctrico,154 CV,"directo, sin caja de cambios",3 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-abarth-500-abarth-cabrio-e-scorpionissima-en-avila.htm?id=8010643,44490
17,Abarth,500,Cabrio E Scorpionissima,2023,10,NUEVO,Eléctrico,154 CV,"directo, sin caja de cambios",3 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-abarth-500-abarth-cabrio-e-scorpionissima-en-avila.htm?id=8010635,44490
18,Abarth,500,695 Tributo Ferrari Amarillo Modena Aut.,2020,05,33.258 km,Gasolina,180 CV,automática secuencial,3 puertas,COLORE ESTERNO (BLANCO GA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-abarth-500-695-tributo-ferrari-amarillo-modena-aut-en-valencia.htm?id=7985182,33900
19,Abarth,500,E Turismo,2023,08,10 km,Eléctrico,154 CV,"directo, sin caja de cambios",3 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-abarth-500-abarth-e-turismo-en-avila.htm?id=7955918,40800
