,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Alfa Romeo,Giulia,2.2 Diesel Veloce Q4 Aut. 210,2023,05,10 km,Diesel,210 CV,automática secuencial,4 puertas,Azul claro,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-22-diesel-veloce-q4-aut-210-en-valencia.htm?id=7821505,45990
1,Alfa Romeo,Giulia,2.2 Diesel Ti Q4 Aut. 210,2022,,10 km,Diesel,210 CV,automática secuencial,4 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-22-diesel-ti-q4-aut-210-en-barcelona.htm?id=8101047,45890
2,Alfa Romeo,Giulia,2.2 Diesel Veloce Atx 210,2021,12,47.916 km,Diesel,210 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulia-22-diesel-veloce-atx-210-en-toledo.htm?id=8086240,32399
3,Alfa Romeo,Giulia,2.9 T Quadrifoglio Aut. 510,2021,06,6.000 km,Gasolina,510 CV,automática secuencial,4 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulia-29-t-quadrifoglio-aut-510-en-barcelona.htm?id=8084177,88999
4,Alfa Romeo,Giulia,2.2 Diesel Executive Aut. 190,2019,03,69.000 km,Diesel,190 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulia-22-diesel-executive-aut-190-en-madrid.htm?id=8024002,26990
5,Alfa Romeo,Giulia,2.0 Super Aut. 200,2018,01,60.685 km,Gasolina,200 CV,automática secuencial,4 puertas,NEGRO VULCANO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulia-20-super-aut-200-en-barcelona.htm?id=8014190,26900
6,Alfa Romeo,Giulia,2.2 Diesel Super Aut. 180,2019,01,98.000 km,Diesel,180 CV,automática secuencial,4 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulia-22-diesel-super-aut-180-en-asturias.htm?id=7961825,24590
7,Alfa Romeo,Giulia,2.2 Diesel Super Aut. 180,2017,03,121.657 km,Diesel,180 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulia-22-diesel-super-aut-180-en-madrid.htm?id=7902814,20450
8,Alfa Romeo,Giulia,2.2 Diesel Super 150,2017,12,116.300 km,Diesel,150 CV,manual,4 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulia-22-diesel-super-150-en-madrid.htm?id=7898612,18450
9,Alfa Romeo,Giulia,2.0 Sprint Aut. 200,2022,01,7.497 km,Gasolina,200 CV,automática secuencial,4 puertas,ROJO,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-20-sprint-aut-200-en-asturias.htm?id=7845075,42590
10,Alfa Romeo,Giulia,2.0 Sprint Aut. 200,2023,05,0 km,Gasolina,200 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-20-sprint-aut-200-en-cordoba.htm?id=7788531,43700
11,Alfa Romeo,Giulia,2.2 Diesel Veloce Q4 Aut. 210,2023,06,NUEVO,Diesel,210 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-22-diesel-veloce-q4-aut-210-en-sevilla.htm?id=7704079,54690
12,Alfa Romeo,Giulia,2.2 Diesel Veloce Q4 Aut. 210,2023,06,NUEVO,Diesel,210 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-22-diesel-veloce-q4-aut-210-en-sevilla.htm?id=7704024,54690
13,Alfa Romeo,Giulia,2.2 Diesel Veloce Q4 Aut. 210,2017,10,123.000 km,Diesel,210 CV,automática secuencial,4 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulia-22-diesel-veloce-q4-aut-210-en-madrid.htm?id=7700171,25990
